TABLE=036 | AREA=Xã An Viễn | SECTION=non-agricultural | SEGMENTS=1
P=1300 | X=0111.170-0370.750 | Y=0316.660-0327.900 | cao su xã An Viễn có hiện trạng là đường nhựa, bê tông xi
P=1300 | X=0111.170-0139.170 | Y=0327.940-0339.180 | măng:
P=1300 | X=0094.820-0105.940 | Y=0335.820-0345.140 | 77
P=1300 | X=0414.380-0431.020 | Y=0335.820-0345.140 | 900
P=1300 | X=0461.930-0478.570 | Y=0335.820-0345.140 | 630
P=1300 | X=0505.390-0522.030 | Y=0335.820-0345.140 | 540
P=1300 | X=0111.170-0352.280 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1300 | X=0111.170-0153.310 | Y=0358.860-0368.180 | >1.000m.
P=1300 | X=0111.170-0334.810 | Y=0374.520-0385.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1300 | X=0300.360-0379.030 | Y=0392.280-0403.520 | Bên phải, đến hết
P=1300 | X=0300.360-0373.900 | Y=0403.800-0415.040 | ranh thửa đất số
P=1300 | X=0300.360-0373.670 | Y=0415.320-0426.560 | 189 tờ BĐĐC số
P=1300 | X=0094.820-0183.510 | Y=0426.840-0438.080 | 78 Đường Lê Duẩn
P=1300 | X=0300.360-0373.900 | Y=0426.840-0438.080 | 31; Bên trái, đến
P=1300 | X=0219.430-0262.500 | Y=0428.720-0438.040 | Quốc lộ 1
P=1300 | X=0406.220-0431.270 | Y=0428.720-0438.040 | 8.600
P=1300 | X=0453.770-0478.820 | Y=0428.720-0438.040 | 6.000
P=1300 | X=0497.230-0522.280 | Y=0428.720-0438.040 | 5.200
P=1300 | X=0300.360-0377.350 | Y=0438.360-0449.600 | hết ranh thửa đất
P=1300 | X=0300.360-0376.520 | Y=0449.900-0461.140 | số 784, tờ BĐĐC
P=1300 | X=0300.360-0324.680 | Y=0463.300-0472.620 | số 31
P=1300 | X=0111.170-0373.410 | Y=0479.180-0490.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=1300 | X=0111.170-0381.430 | Y=0490.460-0501.700 | Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất
P=1300 | X=0111.170-0366.700 | Y=0501.980-0513.220 | số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh thửa đất số
P=1300 | X=0111.170-0380.110 | Y=0513.500-0524.740 | 784, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi
P=1300 | X=0094.820-0139.170 | Y=0525.020-0536.460 | 79 măng:
P=1300 | X=0406.220-0431.270 | Y=0527.140-0536.460 | 3.900
P=1300 | X=0453.770-0478.820 | Y=0527.140-0536.460 | 2.700
P=1300 | X=0497.230-0522.280 | Y=0527.140-0536.460 | 2.300
P=1300 | X=0111.170-0342.250 | Y=0542.570-0553.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1300 | X=0111.170-0352.280 | Y=0560.090-0571.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1300 | X=0111.170-0144.690 | Y=0571.610-0582.850 | ≤500m.
P=1300 | X=0111.170-0373.410 | Y=0589.370-0600.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=1300 | X=0111.170-0381.430 | Y=0600.890-0612.130 | Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất
P=1300 | X=0111.170-0366.700 | Y=0612.410-0623.650 | số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh thửa đất số
P=1300 | X=0111.170-0380.110 | Y=0623.950-0635.190 | 784, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi
P=1300 | X=0111.170-0139.170 | Y=0635.470-0646.710 | măng:
P=1300 | X=0094.820-0105.940 | Y=0646.230-0655.550 | 80
P=1300 | X=0406.220-0431.270 | Y=0646.230-0655.550 | 2.800
P=1300 | X=0453.770-0478.820 | Y=0646.230-0655.550 | 2.000
P=1300 | X=0497.230-0522.280 | Y=0646.230-0655.550 | 1.700
P=1300 | X=0111.170-0342.720 | Y=0652.750-0663.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1300 | X=0111.170-0364.480 | Y=0670.270-0681.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1300 | X=0111.170-0206.120 | Y=0681.790-0693.030 | >500m đến ≤1.000m.
P=1300 | X=0111.170-0334.340 | Y=0699.310-0710.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1301 | X=0111.170-0373.410 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=1301 | X=0111.170-0381.430 | Y=0090.020-0101.260 | Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất
P=1301 | X=0111.170-0366.700 | Y=0101.540-0112.780 | số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh thửa đất số
P=1301 | X=0111.170-0380.110 | Y=0113.060-0124.300 | 784, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi
P=1301 | X=0094.820-0139.170 | Y=0124.610-0136.050 | 81 măng:
P=1301 | X=0406.220-0431.270 | Y=0126.730-0136.050 | 1.600
P=1301 | X=0453.770-0478.820 | Y=0126.730-0136.050 | 1.100
P=1301 | X=0505.390-0522.030 | Y=0126.730-0136.050 | 960
P=1301 | X=0111.170-0352.280 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1301 | X=0111.170-0153.310 | Y=0155.290-0164.610 | >1.000m.
P=1301 | X=0111.170-0334.810 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1301 | X=0111.170-0384.700 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1301 | X=0111.170-0378.550 | Y=0200.230-0211.470 | ra Đường Lê Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết
P=1301 | X=0111.170-0376.280 | Y=0211.750-0222.990 | ranh thửa đất số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh
P=1301 | X=0111.170-0358.520 | Y=0223.270-0234.510 | thửa đất số 784, tờ BĐĐC số 31 có hiện trạng là đường
P=1301 | X=0094.820-0214.280 | Y=0234.790-0246.230 | 82 nhựa, bê tông xi măng:
P=1301 | X=0406.220-0431.270 | Y=0236.910-0246.230 | 3.500
P=1301 | X=0453.770-0478.820 | Y=0236.910-0246.230 | 2.500
P=1301 | X=0497.230-0522.280 | Y=0236.910-0246.230 | 2.100
P=1301 | X=0111.170-0342.250 | Y=0252.310-0263.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1301 | X=0111.170-0352.280 | Y=0269.830-0281.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1301 | X=0111.170-0144.690 | Y=0281.380-0292.620 | ≤500m.
P=1301 | X=0111.170-0384.680 | Y=0299.140-0310.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1301 | X=0111.170-0378.550 | Y=0310.660-0321.900 | ra Đường Lê Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết
P=1301 | X=0111.170-0376.280 | Y=0321.940-0333.180 | ranh thửa đất số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh
P=1301 | X=0111.170-0358.520 | Y=0333.460-0344.700 | thửa đất số 784, tờ BĐĐC số 31 có hiện trạng là đường
P=1301 | X=0111.170-0214.280 | Y=0344.980-0356.220 | nhựa, bê tông xi măng:
P=1301 | X=0094.820-0105.940 | Y=0355.980-0365.300 | 83
P=1301 | X=0406.220-0431.270 | Y=0355.980-0365.300 | 2.500
P=1301 | X=0453.770-0478.820 | Y=0355.980-0365.300 | 1.800
P=1301 | X=0497.230-0522.280 | Y=0355.980-0365.300 | 1.500
P=1301 | X=0111.170-0342.720 | Y=0362.500-0373.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1301 | X=0111.170-0364.480 | Y=0380.040-0391.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1301 | X=0111.170-0206.120 | Y=0391.560-0402.800 | >500m đến ≤1.000m.
P=1301 | X=0111.170-0334.340 | Y=0409.080-0420.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1301 | X=0111.170-0384.680 | Y=0426.840-0438.080 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1301 | X=0111.170-0378.550 | Y=0438.360-0449.600 | ra Đường Lê Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết
P=1301 | X=0111.170-0376.280 | Y=0449.900-0461.140 | ranh thửa đất số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh
P=1301 | X=0111.170-0358.520 | Y=0461.420-0472.660 | thửa đất số 784, tờ BĐĐC số 31 có hiện trạng là đường
P=1301 | X=0094.820-0214.280 | Y=0472.940-0484.380 | 84 nhựa, bê tông xi măng:
P=1301 | X=0406.220-0431.270 | Y=0475.060-0484.380 | 1.400
P=1301 | X=0461.930-0478.570 | Y=0475.060-0484.380 | 980
P=1301 | X=0505.390-0522.030 | Y=0475.060-0484.380 | 840
P=1301 | X=0111.170-0352.280 | Y=0490.220-0501.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1301 | X=0111.170-0153.310 | Y=0503.620-0512.940 | >1.000m.
P=1301 | X=0111.170-0334.810 | Y=0519.260-0530.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1301 | X=0094.820-0192.400 | Y=0537.050-0548.290 | 85 Đường Vườn Ngô
P=1301 | X=0219.430-0370.530 | Y=0537.050-0548.290 | Đường Lê Duẩn Đường tỉnh 777
P=1301 | X=0406.220-0431.270 | Y=0538.930-0548.250 | 6.900
P=1301 | X=0453.770-0478.820 | Y=0538.930-0548.250 | 4.800
P=1301 | X=0497.230-0522.280 | Y=0538.930-0548.250 | 4.100
P=1301 | X=0111.170-0359.490 | Y=0554.810-0566.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1301 | X=0111.170-0375.800 | Y=0566.330-0577.570 | Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có
P=1301 | X=0111.170-0304.780 | Y=0577.850-0589.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=1301 | X=0094.820-0105.940 | Y=0591.490-0600.810 | 86
P=1301 | X=0406.220-0431.270 | Y=0591.490-0600.810 | 3.200
P=1301 | X=0453.770-0478.820 | Y=0591.490-0600.810 | 2.200
P=1301 | X=0497.230-0522.280 | Y=0591.490-0600.810 | 1.900
P=1301 | X=0111.170-0342.250 | Y=0595.370-0606.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1301 | X=0111.170-0352.280 | Y=0612.890-0624.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1301 | X=0111.170-0144.690 | Y=0624.430-0635.670 | ≤500m.
P=1301 | X=0111.170-0359.490 | Y=0642.190-0653.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1301 | X=0111.170-0375.800 | Y=0653.710-0664.950 | Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có
P=1301 | X=0111.170-0304.780 | Y=0665.230-0676.470 | hiện trạng là đường nhựa, bê tông xi măng:
P=1301 | X=0094.820-0105.940 | Y=0673.110-0682.430 | 87
P=1301 | X=0406.220-0431.270 | Y=0673.110-0682.430 | 2.100
P=1301 | X=0453.770-0478.820 | Y=0673.110-0682.430 | 1.500
P=1301 | X=0497.230-0522.280 | Y=0673.110-0682.430 | 1.300
P=1301 | X=0111.170-0342.720 | Y=0682.510-0693.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1301 | X=0111.170-0364.480 | Y=0700.050-0711.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1302 | X=0111.170-0206.120 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1302 | X=0111.170-0334.340 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1302 | X=0111.170-0359.490 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1302 | X=0111.170-0375.800 | Y=0119.330-0130.570 | Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có
P=1302 | X=0111.170-0304.780 | Y=0130.850-0142.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=1302 | X=0094.820-0105.940 | Y=0144.490-0153.810 | 88
P=1302 | X=0406.220-0431.270 | Y=0144.490-0153.810 | 1.400
P=1302 | X=0461.930-0478.570 | Y=0144.490-0153.810 | 980
P=1302 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 840
P=1302 | X=0111.170-0352.280 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1302 | X=0111.170-0153.310 | Y=0161.530-0170.850 | >1.000m.
P=1302 | X=0111.170-0334.810 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1302 | X=0111.170-0384.680 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1302 | X=0111.170-0370.070 | Y=0206.470-0217.710 | ra Đường Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường
P=1302 | X=0111.170-0356.420 | Y=0217.990-0229.230 | tỉnh 777 có hiện trạng là đường nhựa, bê tông xi măng:
P=1302 | X=0094.820-0105.940 | Y=0231.630-0240.950 | 89
P=1302 | X=0406.220-0431.270 | Y=0231.630-0240.950 | 2.900
P=1302 | X=0453.770-0478.820 | Y=0231.630-0240.950 | 2.000
P=1302 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 1.700
P=1302 | X=0111.170-0342.250 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1302 | X=0111.170-0352.280 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1302 | X=0111.170-0144.690 | Y=0264.550-0275.790 | ≤500m.
P=1302 | X=0111.170-0384.680 | Y=0282.340-0293.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1302 | X=0111.170-0370.070 | Y=0293.860-0305.100 | ra Đường Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường
P=1302 | X=0111.170-0356.440 | Y=0305.380-0316.620 | tỉnh 777 có hiện trạng là đường nhựa, bê tông xi măng:
P=1302 | X=0094.820-0342.720 | Y=0322.900-0336.980 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1302 | X=0406.220-0431.270 | Y=0327.660-0336.980 | 1.900
P=1302 | X=0453.770-0478.820 | Y=0327.660-0336.980 | 1.300
P=1302 | X=0497.230-0522.280 | Y=0327.660-0336.980 | 1.100
P=1302 | X=0111.170-0364.480 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1302 | X=0111.170-0206.120 | Y=0351.700-0362.940 | >500m đến ≤1.000m.
P=1302 | X=0111.170-0334.340 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1302 | X=0111.170-0384.700 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1302 | X=0111.170-0370.070 | Y=0398.520-0409.760 | ra Đường Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường
P=1302 | X=0111.170-0356.420 | Y=0410.040-0421.280 | tỉnh 777 có hiện trạng là đường nhựa, bê tông xi măng:
P=1302 | X=0094.820-0105.940 | Y=0423.680-0433.000 | 91
P=1302 | X=0406.220-0431.270 | Y=0423.680-0433.000 | 1.300
P=1302 | X=0461.930-0478.570 | Y=0423.680-0433.000 | 910
P=1302 | X=0505.390-0522.030 | Y=0423.680-0433.000 | 780
P=1302 | X=0111.170-0352.280 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1302 | X=0111.170-0153.310 | Y=0440.960-0450.280 | >1.000m.
P=1302 | X=0111.170-0334.810 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1302 | X=0219.430-0289.620 | Y=0474.380-0485.620 | Đường bao khu
P=1302 | X=0300.360-0386.630 | Y=0482.020-0491.340 | Giáp ranh xã Trảng
P=1302 | X=0094.820-0154.210 | Y=0487.780-0497.100 | 92 Quốc lộ 1
P=1302 | X=0219.430-0294.660 | Y=0487.780-0497.100 | công nghiệp Bàu
P=1302 | X=0406.220-0431.270 | Y=0487.780-0497.100 | 9.400
P=1302 | X=0453.770-0478.820 | Y=0487.780-0497.100 | 6.600
P=1302 | X=0497.230-0522.280 | Y=0487.780-0497.100 | 5.600
P=1302 | X=0300.360-0320.990 | Y=0493.540-0502.860 | Bom
P=1302 | X=0219.430-0237.040 | Y=0499.300-0508.620 | Xéo
P=1302 | X=0111.170-0370.780 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=1302 | X=0111.170-0383.000 | Y=0526.460-0537.700 | đoạn từ Đường bao khu công nghiệp Bàu Xéo đến Giáp ranh
P=1302 | X=0111.170-0383.790 | Y=0538.010-0549.250 | xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1302 | X=0094.820-0105.940 | Y=0551.650-0560.970 | 93
P=1302 | X=0406.220-0431.270 | Y=0551.650-0560.970 | 3.100
P=1302 | X=0453.770-0478.820 | Y=0551.650-0560.970 | 2.200
P=1302 | X=0497.230-0522.280 | Y=0551.650-0560.970 | 1.900
P=1302 | X=0111.170-0342.250 | Y=0555.530-0566.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1302 | X=0111.170-0352.280 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1302 | X=0111.170-0144.690 | Y=0584.570-0595.810 | ≤500m.
P=1302 | X=0111.170-0370.780 | Y=0602.330-0613.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=1302 | X=0111.170-0383.000 | Y=0613.850-0625.090 | đoạn từ Đường bao khu công nghiệp Bàu Xéo đến Giáp ranh
P=1302 | X=0111.170-0383.790 | Y=0625.390-0636.630 | xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1302 | X=0094.820-0342.720 | Y=0642.910-0656.990 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1302 | X=0406.220-0431.270 | Y=0647.670-0656.990 | 2.200
P=1302 | X=0453.770-0478.820 | Y=0647.670-0656.990 | 1.500
P=1302 | X=0497.230-0522.280 | Y=0647.670-0656.990 | 1.300
P=1302 | X=0111.170-0364.480 | Y=0660.430-0671.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1302 | X=0111.170-0206.120 | Y=0671.950-0683.190 | >500m đến ≤1.000m.
P=1302 | X=0111.170-0334.340 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1302 | X=0094.820-0370.780 | Y=0707.250-0718.490 | 95 Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=1302 | X=0406.220-0431.270 | Y=0709.140-0718.460 | 1.600
P=1302 | X=0453.770-0478.820 | Y=0709.140-0718.460 | 1.100
P=1302 | X=0505.390-0522.030 | Y=0709.140-0718.460 | 960
P=1303 | X=0111.170-0383.000 | Y=0072.500-0083.740 | đoạn từ Đường bao khu công nghiệp Bàu Xéo đến Giáp ranh
P=1303 | X=0111.170-0383.790 | Y=0084.020-0095.260 | xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1303 | X=0111.170-0352.280 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1303 | X=0111.170-0153.310 | Y=0114.940-0124.260 | >1.000m.
P=1303 | X=0111.170-0334.810 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1303 | X=0111.170-0384.680 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1303 | X=0111.170-0373.890 | Y=0159.650-0170.890 | ra Quốc lộ 1 đoạn từ Đường bao khu công nghiệp Bàu Xéo
P=1303 | X=0111.170-0387.100 | Y=0171.170-0182.410 | đến Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê
P=1303 | X=0111.170-0171.330 | Y=0182.690-0193.930 | tông xi măng:
P=1303 | X=0094.820-0105.940 | Y=0190.570-0199.890 | 96
P=1303 | X=0406.220-0431.270 | Y=0190.570-0199.890 | 2.800
P=1303 | X=0453.770-0478.820 | Y=0190.570-0199.890 | 2.000
P=1303 | X=0497.230-0522.280 | Y=0190.570-0199.890 | 1.700
P=1303 | X=0111.170-0342.250 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1303 | X=0111.170-0352.280 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1303 | X=0111.170-0144.690 | Y=0229.270-0240.510 | ≤500m.
P=1303 | X=0111.170-0384.680 | Y=0247.030-0258.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1303 | X=0111.170-0373.890 | Y=0258.550-0269.790 | ra Quốc lộ 1 đoạn từ Đường bao khu công nghiệp Bàu Xéo
P=1303 | X=0111.170-0387.100 | Y=0270.070-0281.310 | đến Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê
P=1303 | X=0111.170-0171.360 | Y=0281.620-0292.860 | tông xi măng:
P=1303 | X=0094.820-0342.720 | Y=0298.140-0310.380 | 97 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1303 | X=0406.220-0431.270 | Y=0298.140-0307.460 | 2.000
P=1303 | X=0453.770-0478.820 | Y=0298.140-0307.460 | 1.400
P=1303 | X=0497.230-0522.280 | Y=0298.140-0307.460 | 1.200
P=1303 | X=0111.170-0364.480 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1303 | X=0111.170-0206.120 | Y=0327.940-0339.180 | >500m đến ≤1.000m.
P=1303 | X=0111.170-0334.340 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1303 | X=0111.170-0384.680 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1303 | X=0111.170-0373.890 | Y=0374.760-0386.000 | ra Quốc lộ 1 đoạn từ Đường bao khu công nghiệp Bàu Xéo
P=1303 | X=0111.170-0387.100 | Y=0386.280-0397.520 | đến Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê
P=1303 | X=0111.170-0171.330 | Y=0397.800-0409.040 | tông xi măng:
P=1303 | X=0094.820-0105.940 | Y=0405.680-0415.000 | 98
P=1303 | X=0406.220-0431.270 | Y=0405.680-0415.000 | 1.400
P=1303 | X=0461.930-0478.570 | Y=0405.680-0415.000 | 980
P=1303 | X=0505.390-0522.030 | Y=0405.680-0415.000 | 840
P=1303 | X=0111.170-0352.280 | Y=0415.320-0426.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1303 | X=0111.170-0153.310 | Y=0428.720-0438.040 | >1.000m.
P=1303 | X=0111.170-0334.810 | Y=0444.360-0455.600 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1303 | X=0300.360-0376.150 | Y=0462.140-0473.380 | Ngã ba (thửa đất
P=1303 | X=0111.170-0205.820 | Y=0467.900-0479.140 | Đường bao khu công
P=1303 | X=0300.360-0376.520 | Y=0473.660-0484.900 | số 716, tờ BĐĐC
P=1303 | X=0094.820-0105.940 | Y=0475.540-0484.860 | 99
P=1303 | X=0219.430-0262.500 | Y=0475.540-0484.860 | Quốc lộ 1
P=1303 | X=0406.220-0431.270 | Y=0475.540-0484.860 | 7.200
P=1303 | X=0453.770-0478.820 | Y=0475.540-0484.860 | 5.000
P=1303 | X=0497.230-0522.280 | Y=0475.540-0484.860 | 4.300
P=1303 | X=0111.170-0182.290 | Y=0481.300-0490.620 | nghiệp Bàu Xéo
P=1303 | X=0300.360-0382.220 | Y=0487.060-0496.380 | số 11, xã An Viễn)
P=1303 | X=0111.170-0378.930 | Y=0502.940-0514.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường bao
P=1303 | X=0111.170-0363.090 | Y=0514.220-0525.460 | khu công nghiệp Bàu Xéo đoạn từ Quốc lộ 1 đến Ngã ba
P=1303 | X=0111.170-0386.610 | Y=0525.740-0536.980 | (thửa đất số 716, tờ BĐĐC số 11, xã An Viễn) có hiện trạng là
P=1303 | X=0111.170-0246.940 | Y=0537.290-0548.530 | đường nhựa, bê tông xi măng:
P=1303 | X=0091.940-0108.580 | Y=0545.170-0554.490 | 100
P=1303 | X=0406.220-0431.270 | Y=0545.170-0554.490 | 3.300
P=1303 | X=0453.770-0478.820 | Y=0545.170-0554.490 | 2.300
P=1303 | X=0497.230-0522.280 | Y=0545.170-0554.490 | 2.000
P=1303 | X=0111.170-0342.250 | Y=0554.810-0566.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1303 | X=0111.170-0352.280 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1303 | X=0111.170-0144.690 | Y=0583.850-0595.090 | ≤500m.
P=1303 | X=0111.170-0378.930 | Y=0601.610-0612.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường bao
P=1303 | X=0111.170-0363.090 | Y=0613.130-0624.370 | khu công nghiệp Bàu Xéo đoạn từ Quốc lộ 1 đến Ngã ba
P=1303 | X=0111.170-0386.610 | Y=0624.670-0635.910 | (thửa đất số 716, tờ BĐĐC số 11, xã An Viễn) có hiện trạng là
P=1303 | X=0111.170-0246.940 | Y=0636.190-0647.430 | đường nhựa, bê tông xi măng:
P=1303 | X=0091.940-0342.720 | Y=0652.710-0664.950 | 101 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1303 | X=0406.220-0431.270 | Y=0652.710-0662.030 | 2.000
P=1303 | X=0453.770-0478.820 | Y=0652.710-0662.030 | 1.400
P=1303 | X=0497.230-0522.280 | Y=0652.710-0662.030 | 1.200
P=1303 | X=0111.170-0364.480 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1303 | X=0111.170-0206.120 | Y=0682.510-0693.750 | >500m đến ≤1.000m.
P=1303 | X=0111.170-0334.340 | Y=0700.050-0711.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1304 | X=0111.170-0378.930 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường bao
P=1304 | X=0111.170-0363.090 | Y=0090.020-0101.260 | khu công nghiệp Bàu Xéo đoạn từ Quốc lộ 1 đến Ngã ba
P=1304 | X=0111.170-0386.610 | Y=0101.540-0112.780 | (thửa đất số 716, tờ BĐĐC số 11, xã An Viễn) có hiện trạng là
P=1304 | X=0111.170-0246.950 | Y=0113.060-0124.300 | đường nhựa, bê tông xi măng:
P=1304 | X=0091.940-0108.580 | Y=0120.970-0130.290 | 102
P=1304 | X=0406.220-0431.270 | Y=0120.970-0130.290 | 1.300
P=1304 | X=0461.930-0478.570 | Y=0120.970-0130.290 | 910
P=1304 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 780
P=1304 | X=0111.170-0352.280 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1304 | X=0111.170-0153.310 | Y=0144.010-0153.330 | >1.000m.
P=1304 | X=0111.170-0334.810 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông >200m.
