TABLE=002 | AREA=Phường Trấn Biên | SECTION=non-agricultural | SEGMENTS=1
P=0085 | X=0114.290-0384.930 | Y=0399.240-0410.480 | Thị Vân (từ đường Trần Quốc Toản đến đường N9 - khu dân
P=0085 | X=0114.290-0384.460 | Y=0410.760-0422.000 | cư An Bình) đoạn từ Đường Trần Quốc Toản đến Đường N9
P=0085 | X=0114.290-0380.110 | Y=0422.280-0433.520 | (Khu dân cư An Bình) có hiện trạng là đường nhựa, bê tông
P=0085 | X=0093.380-0152.120 | Y=0433.800-0445.240 | 474 xi măng:
P=0085 | X=0400.700-0425.750 | Y=0435.920-0445.240 | 4.800
P=0085 | X=0437.210-0462.260 | Y=0435.920-0445.240 | 3.400
P=0085 | X=0497.230-0522.280 | Y=0435.920-0445.240 | 2.900
P=0085 | X=0114.290-0355.400 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0085 | X=0114.290-0148.050 | Y=0464.740-0474.060 | >600m.
P=0085 | X=0114.290-0337.930 | Y=0480.380-0491.620 | - Có bồ rộng <3m, cách đường giao thông >200m.
P=0085 | X=0114.290-0387.800 | Y=0498.380-0509.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0085 | X=0114.290-0384.940 | Y=0509.900-0521.140 | ra Đường Lê Thị Vân (từ đường Trần Quốc Toản đến đường
P=0085 | X=0114.290-0374.860 | Y=0521.420-0532.660 | N9 - khu dân cư An Bình) đoạn từ Đường Trần Quốc Toản
P=0085 | X=0114.290-0384.460 | Y=0532.970-0544.210 | đến Đường N9 (Khu dân cư An Bình) có hiện trạng là đường
P=0085 | X=0093.380-0217.400 | Y=0544.250-0555.690 | 475 nhựa, bê tông xi măng:
P=0085 | X=0400.700-0425.750 | Y=0546.370-0555.690 | 9.200
P=0085 | X=0437.210-0462.260 | Y=0546.370-0555.690 | 6.400
P=0085 | X=0497.230-0522.280 | Y=0546.370-0555.690 | 5.500
P=0085 | X=0114.290-0337.200 | Y=0561.770-0573.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0085 | X=0114.290-0355.400 | Y=0579.290-0590.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0085 | X=0114.290-0147.810 | Y=0590.810-0602.050 | ≤400m.
P=0085 | X=0114.290-0387.800 | Y=0608.810-0620.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0085 | X=0114.290-0384.940 | Y=0620.350-0631.590 | ra Đường Lê Thị Vân (từ đường Trần Quốc Toản đến đường
P=0085 | X=0114.290-0374.860 | Y=0631.870-0643.110 | N9 - khu dân cư An Bình) đoạn từ Đường Trần Quốc Toản
P=0085 | X=0114.290-0384.460 | Y=0643.390-0654.630 | đến Đường N9 (Khu dân cư An Bình) có hiện trạng là đường
P=0085 | X=0093.380-0217.400 | Y=0654.910-0666.350 | 476 nhựa, bê tông xi măng:
P=0085 | X=0400.700-0425.750 | Y=0657.030-0666.350 | 5.900
P=0085 | X=0437.210-0462.260 | Y=0657.030-0666.350 | 4.100
P=0085 | X=0497.230-0522.280 | Y=0657.030-0666.350 | 3.500
P=0085 | X=0114.290-0337.460 | Y=0672.430-0683.670 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0085 | X=0114.290-0367.600 | Y=0689.950-0701.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0085 | X=0114.290-0200.840 | Y=0701.490-0712.730 | >400m đến ≤600m.
P=0086 | X=0114.290-0337.460 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0086 | X=0114.290-0387.800 | Y=0096.740-0107.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0086 | X=0114.290-0384.940 | Y=0108.260-0119.500 | ra Đường Lê Thị Vân (từ đường Trần Quốc Toản đến đường
P=0086 | X=0114.290-0374.860 | Y=0119.810-0131.050 | N9 - khu dân cư An Bình) đoạn từ Đường Trần Quốc Toản
P=0086 | X=0114.290-0384.460 | Y=0131.330-0142.570 | đến Đường N9 (Khu dân cư An Bình) có hiện trạng là đường
P=0086 | X=0093.380-0217.400 | Y=0142.850-0154.290 | 477 nhựa, bê tông xi măng:
P=0086 | X=0400.700-0425.750 | Y=0144.970-0154.290 | 4.300
P=0086 | X=0437.210-0462.260 | Y=0144.970-0154.290 | 3.000
P=0086 | X=0497.230-0522.280 | Y=0144.970-0154.290 | 2.600
P=0086 | X=0114.290-0355.400 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0086 | X=0114.290-0148.050 | Y=0173.530-0182.850 | >600m.
P=0086 | X=0114.290-0340.580 | Y=0189.170-0200.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0086 | X=0114.290-0203.420 | Y=0207.190-0218.430 | Đường Hàn Thuyên
P=0086 | X=0215.110-0270.420 | Y=0212.950-0224.190 | Đường Trần
P=0086 | X=0093.380-0202.680 | Y=0218.710-0229.950 | 478 (đường 4 KCN Biên
P=0086 | X=0295.560-0351.790 | Y=0220.590-0229.910 | Xa lộ Hà Nội
P=0086 | X=0395.180-0462.260 | Y=0220.590-0229.910 | 15.200 10.600
P=0086 | X=0497.230-0522.280 | Y=0220.590-0229.910 | 9.100
P=0086 | X=0215.110-0264.900 | Y=0226.350-0235.670 | Quốc Toản
P=0086 | X=0114.290-0144.290 | Y=0232.110-0241.430 | Hòa 1)
P=0086 | X=0114.290-0383.730 | Y=0248.230-0259.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàn
P=0086 | X=0114.290-0366.470 | Y=0259.750-0270.990 | Thuyên (đường 4 KCN Biên Hòa 1) đoạn từ Đường Trần
P=0086 | X=0114.290-0374.950 | Y=0271.270-0282.510 | Quốc Toản đến Xa lộ Hà Nội có hiện trạng là đường nhựa,
P=0086 | X=0114.290-0188.360 | Y=0282.820-0294.060 | bê tông xi măng:
P=0086 | X=0093.380-0110.020 | Y=0290.700-0300.020 | 479
P=0086 | X=0400.700-0425.750 | Y=0290.700-0300.020 | 8.900
P=0086 | X=0437.210-0462.260 | Y=0290.700-0300.020 | 6.200
P=0086 | X=0497.230-0522.280 | Y=0290.700-0300.020 | 5.300
P=0086 | X=0114.290-0337.200 | Y=0300.340-0311.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0086 | X=0114.290-0355.400 | Y=0317.860-0329.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0086 | X=0114.290-0147.810 | Y=0329.380-0340.620 | ≤400m.
P=0086 | X=0114.290-0383.730 | Y=0347.380-0358.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàn
P=0086 | X=0114.290-0366.470 | Y=0358.900-0370.140 | Thuyên (đường 4 KCN Biên Hòa 1) đoạn từ Đường Trần
P=0086 | X=0114.290-0374.950 | Y=0370.200-0381.440 | Quốc Toản đến Xa lộ Hà Nội có hiện trạng là đường nhựa,
P=0086 | X=0114.290-0188.370 | Y=0381.720-0392.960 | bê tông xi măng:
P=0086 | X=0093.380-0337.460 | Y=0398.480-0410.480 | 480 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0086 | X=0400.700-0425.750 | Y=0398.480-0407.800 | 5.300
P=0086 | X=0437.210-0462.260 | Y=0398.480-0407.800 | 3.700
P=0086 | X=0497.230-0522.280 | Y=0398.480-0407.800 | 3.200
P=0086 | X=0114.290-0367.600 | Y=0416.760-0428.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0086 | X=0114.290-0200.840 | Y=0428.280-0439.520 | >400m đến ≤600m.
P=0086 | X=0114.290-0337.460 | Y=0445.800-0457.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0086 | X=0114.290-0383.730 | Y=0463.820-0475.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàn
P=0086 | X=0114.290-0366.470 | Y=0475.340-0486.580 | Thuyên (đường 4 KCN Biên Hòa 1) đoạn từ Đường Trần
P=0086 | X=0114.290-0374.950 | Y=0486.860-0498.100 | Quốc Toản đến Xa lộ Hà Nội có hiện trạng là đường nhựa,
P=0086 | X=0114.290-0188.370 | Y=0498.380-0509.620 | bê tông xi măng:
P=0086 | X=0093.380-0110.020 | Y=0506.260-0515.580 | 481
P=0086 | X=0400.700-0425.750 | Y=0506.260-0515.580 | 3.900
P=0086 | X=0437.210-0462.260 | Y=0506.260-0515.580 | 2.700
P=0086 | X=0497.230-0522.280 | Y=0506.260-0515.580 | 2.300
P=0086 | X=0114.290-0355.400 | Y=0515.900-0527.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0086 | X=0114.290-0148.050 | Y=0529.300-0538.620 | >600m.
P=0086 | X=0114.290-0337.930 | Y=0544.970-0556.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0086 | X=0114.290-0387.800 | Y=0562.970-0574.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0086 | X=0114.290-0376.250 | Y=0574.250-0585.490 | ra Đường Hàn Thuyên (đường 4 KCN Biên Hòa 1) đoạn từ
P=0086 | X=0114.290-0371.230 | Y=0585.770-0597.010 | Đường Trần Quốc Toản đến Xa lộ Hà Nội có hiện trạng là
P=0086 | X=0114.290-0250.060 | Y=0597.290-0608.530 | đường nhựa, bê tông xi măng:
P=0086 | X=0093.380-0110.020 | Y=0605.170-0614.490 | 482
P=0086 | X=0400.700-0425.750 | Y=0605.170-0614.490 | 8.000
P=0086 | X=0437.210-0462.260 | Y=0605.170-0614.490 | 5.600
P=0086 | X=0497.230-0522.280 | Y=0605.170-0614.490 | 4.800
P=0086 | X=0114.290-0337.200 | Y=0614.810-0626.050 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0086 | X=0114.290-0355.400 | Y=0632.350-0643.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0086 | X=0114.290-0147.810 | Y=0643.870-0655.110 | ≤400m.
P=0086 | X=0114.290-0387.800 | Y=0661.870-0673.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0086 | X=0114.290-0376.250 | Y=0673.390-0684.630 | ra Đường Hàn Thuyên (đường 4 KCN Biên Hòa 1) đoạn từ
P=0086 | X=0093.380-0110.020 | Y=0681.030-0690.350 | 483
P=0086 | X=0400.700-0425.750 | Y=0681.030-0690.350 | 4.800
P=0086 | X=0437.210-0462.260 | Y=0681.030-0690.350 | 3.400
P=0086 | X=0497.230-0522.280 | Y=0681.030-0690.350 | 2.900
P=0086 | X=0114.290-0371.230 | Y=0684.910-0696.150 | Đường Trần Quốc Toản đến Xa lộ Hà Nội có hiện trạng là
P=0086 | X=0114.290-0250.060 | Y=0696.430-0707.670 | đường nhựa, bê tông xi măng:
P=0087 | X=0114.290-0337.460 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0087 | X=0114.290-0367.600 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0087 | X=0114.290-0200.840 | Y=0107.780-0119.020 | >400m đến ≤600m.
P=0087 | X=0114.290-0337.460 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0087 | X=0114.290-0387.800 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0087 | X=0114.290-0376.250 | Y=0154.850-0166.090 | ra Đường Hàn Thuyên (đường 4 KCN Biên Hòa 1) đoạn từ
P=0087 | X=0114.290-0371.230 | Y=0166.370-0177.610 | Đường Trần Quốc Toản đến Xa lộ Hà Nội có hiện trạng là
P=0087 | X=0114.290-0250.060 | Y=0177.650-0188.890 | đường nhựa, bê tông xi măng:
P=0087 | X=0093.380-0110.020 | Y=0185.530-0194.850 | 484
P=0087 | X=0400.700-0425.750 | Y=0185.530-0194.850 | 3.500
P=0087 | X=0437.210-0462.260 | Y=0185.530-0194.850 | 2.500
P=0087 | X=0497.230-0522.280 | Y=0185.530-0194.850 | 2.100
P=0087 | X=0114.290-0355.400 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0087 | X=0114.290-0148.050 | Y=0208.590-0217.910 | >600m.
P=0087 | X=0114.290-0337.930 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0087 | X=0215.110-0268.030 | Y=0242.230-0253.470 | Đường Hàn
P=0087 | X=0295.080-0368.620 | Y=0247.990-0259.230 | Đường Vũ Hồng
P=0087 | X=0093.380-0293.220 | Y=0253.750-0264.990 | 485 Đường Nguyễn Thông Thuyên (đường 4
P=0087 | X=0395.180-0462.260 | Y=0255.630-0264.950 | 20.300 14.200
P=0087 | X=0491.710-0522.280 | Y=0255.630-0264.950 | 12.200
P=0087 | X=0295.080-0312.920 | Y=0261.390-0270.710 | Phô
P=0087 | X=0215.110-0291.890 | Y=0267.150-0276.470 | KCN Biên Hòa 1)
P=0087 | X=0114.290-0362.610 | Y=0283.300-0294.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0087 | X=0114.290-0377.250 | Y=0294.820-0306.060 | Nguyễn Thông đoạn từ Đường Hàn Thuyên (đường 4 KCN
P=0087 | X=0114.290-0387.340 | Y=0306.340-0317.580 | Biên Hòa 1) đến Đường Vũ Hồng Phô có hiện trạng là đường
P=0087 | X=0114.290-0217.400 | Y=0317.860-0329.100 | nhựa, bê tông xi măng:
P=0087 | X=0093.380-0110.020 | Y=0325.740-0335.060 | 486
P=0087 | X=0395.180-0425.750 | Y=0325.740-0335.060 | 11.400
P=0087 | X=0437.210-0462.260 | Y=0325.740-0335.060 | 8.000
P=0087 | X=0497.230-0522.280 | Y=0325.740-0335.060 | 6.800
P=0087 | X=0114.290-0337.200 | Y=0335.380-0346.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0087 | X=0114.290-0355.400 | Y=0352.900-0364.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0087 | X=0114.290-0147.810 | Y=0364.180-0375.420 | ≤400m.
P=0087 | X=0114.290-0362.610 | Y=0382.200-0393.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0087 | X=0114.290-0377.250 | Y=0393.720-0404.960 | Nguyễn Thông đoạn từ Đường Hàn Thuyên (đường 4 KCN
P=0087 | X=0114.290-0387.340 | Y=0405.240-0416.480 | Biên Hòa 1) đến Đường Vũ Hồng Phô có hiện trạng là đường
P=0087 | X=0114.290-0217.400 | Y=0416.760-0428.000 | nhựa, bê tông xi măng:
P=0087 | X=0093.380-0337.460 | Y=0433.520-0445.520 | 487 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0087 | X=0400.700-0425.750 | Y=0433.520-0442.840 | 5.800
P=0087 | X=0437.210-0462.260 | Y=0433.520-0442.840 | 4.100
P=0087 | X=0497.230-0522.280 | Y=0433.520-0442.840 | 3.500
P=0087 | X=0114.290-0367.600 | Y=0451.820-0463.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0087 | X=0114.290-0200.840 | Y=0463.340-0474.580 | >400m đến ≤600m.
P=0087 | X=0114.290-0337.460 | Y=0480.860-0492.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0087 | X=0114.290-0362.610 | Y=0498.860-0510.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0087 | X=0114.290-0377.250 | Y=0510.380-0521.620 | Nguyễn Thông đoạn từ Đường Hàn Thuyên (đường 4 KCN
P=0087 | X=0114.290-0387.340 | Y=0521.900-0533.140 | Biên Hòa 1) đến Đường Vũ Hồng Phô có hiện trạng là đường
P=0087 | X=0114.290-0217.410 | Y=0533.450-0544.690 | nhựa, bê tông xi măng:
P=0087 | X=0093.380-0110.020 | Y=0541.330-0550.650 | 488
P=0087 | X=0400.700-0425.750 | Y=0541.330-0550.650 | 4.300
P=0087 | X=0437.210-0462.260 | Y=0541.330-0550.650 | 3.000
P=0087 | X=0497.230-0522.280 | Y=0541.330-0550.650 | 2.600
P=0087 | X=0114.290-0355.400 | Y=0550.970-0562.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0087 | X=0114.290-0148.050 | Y=0564.130-0573.450 | >600m.
P=0087 | X=0114.290-0337.930 | Y=0579.770-0591.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0087 | X=0114.290-0387.800 | Y=0597.770-0609.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0087 | X=0114.290-0355.150 | Y=0609.290-0620.530 | ra Đường Nguyễn Thông đoạn từ Đường Hàn Thuyên
P=0087 | X=0114.290-0386.870 | Y=0620.830-0632.070 | (đường 4 KCN Biên Hòa 1) đến Đường Vũ Hồng Phô có hiện
P=0087 | X=0114.290-0286.100 | Y=0632.350-0643.590 | trạng là đường nhựa, bê tông xi măng:
P=0087 | X=0093.380-0110.020 | Y=0640.230-0649.550 | 489
P=0087 | X=0395.180-0425.750 | Y=0640.230-0649.550 | 10.300
P=0087 | X=0437.210-0462.260 | Y=0640.230-0649.550 | 7.200
P=0087 | X=0497.230-0522.280 | Y=0640.230-0649.550 | 6.200
P=0087 | X=0114.290-0337.200 | Y=0649.870-0661.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0087 | X=0114.290-0355.400 | Y=0667.390-0678.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0087 | X=0114.290-0147.810 | Y=0678.910-0690.150 | ≤400m.
P=0087 | X=0114.290-0387.800 | Y=0696.910-0708.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0087 | X=0093.380-0110.020 | Y=0704.580-0713.900 | 490
P=0087 | X=0400.700-0425.750 | Y=0704.580-0713.900 | 5.200
P=0087 | X=0437.210-0462.260 | Y=0704.580-0713.900 | 3.600
P=0087 | X=0497.230-0522.280 | Y=0704.580-0713.900 | 3.100
P=0087 | X=0114.290-0355.150 | Y=0708.450-0719.690 | ra Đường Nguyễn Thông đoạn từ Đường Hàn Thuyên
P=0088 | X=0114.290-0386.870 | Y=0072.740-0083.980 | (đường 4 KCN Biên Hòa 1) đến Đường Vũ Hồng Phô có hiện
P=0088 | X=0114.290-0286.070 | Y=0084.260-0095.500 | trạng là đường nhựa, bê tông xi măng:
P=0088 | X=0114.290-0337.460 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0088 | X=0114.290-0367.600 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0088 | X=0114.290-0200.840 | Y=0130.850-0142.090 | >400m đến ≤600m.
P=0088 | X=0114.290-0337.460 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0088 | X=0114.290-0387.800 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0088 | X=0114.290-0355.150 | Y=0177.650-0188.890 | ra Đường Nguyễn Thông đoạn từ Đường Hàn Thuyên
P=0088 | X=0114.290-0386.870 | Y=0189.170-0200.410 | (đường 4 KCN Biên Hòa 1) đến Đường Vũ Hồng Phô có hiện
P=0088 | X=0114.290-0286.070 | Y=0200.710-0211.950 | trạng là đường nhựa, bê tông xi măng:
P=0088 | X=0093.380-0110.020 | Y=0208.590-0217.910 | 491
P=0088 | X=0400.700-0425.750 | Y=0208.590-0217.910 | 3.900
P=0088 | X=0437.210-0462.260 | Y=0208.590-0217.910 | 2.700
P=0088 | X=0497.230-0522.280 | Y=0208.590-0217.910 | 2.300
P=0088 | X=0114.290-0355.400 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0088 | X=0114.290-0148.050 | Y=0231.630-0240.950 | >600m.
P=0088 | X=0114.290-0337.930 | Y=0247.270-0258.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0088 | X=0215.110-0371.980 | Y=0267.150-0276.470 | Vòng xoay Tam Hết ranh giới tỉnh
P=0088 | X=0093.380-0170.540 | Y=0272.910-0282.230 | 492 Xa lộ Hà Nội
P=0088 | X=0395.180-0462.260 | Y=0272.910-0282.230 | 28.600 20.000
P=0088 | X=0491.710-0522.280 | Y=0272.910-0282.230 | 17.200
P=0088 | X=0295.080-0336.680 | Y=0276.790-0288.030 | Đồng Nai
P=0088 | X=0215.110-0235.860 | Y=0278.670-0287.990 | Hiệp
P=0088 | X=0114.290-0387.090 | Y=0294.820-0306.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Xa lộ Hà Nội
P=0088 | X=0114.290-0388.300 | Y=0306.340-0317.580 | đoạn từ Vòng xoay Tam Hiệp đến Hết ranh giới tỉnh Đồng Nai
P=0088 | X=0114.290-0321.140 | Y=0317.860-0329.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0088 | X=0093.380-0110.020 | Y=0331.500-0340.820 | 493
P=0088 | X=0395.180-0425.750 | Y=0331.500-0340.820 | 11.200
P=0088 | X=0437.210-0462.260 | Y=0331.500-0340.820 | 7.800
P=0088 | X=0497.230-0522.280 | Y=0331.500-0340.820 | 6.700
P=0088 | X=0114.290-0337.200 | Y=0335.380-0346.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0088 | X=0114.290-0355.400 | Y=0352.900-0364.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0088 | X=0114.290-0147.810 | Y=0364.180-0375.420 | ≤400m.
P=0088 | X=0114.290-0387.090 | Y=0382.200-0393.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Xa lộ Hà Nội
P=0088 | X=0114.290-0388.300 | Y=0393.720-0404.960 | đoạn từ Vòng xoay Tam Hiệp đến Hết ranh giới tỉnh Đồng Nai
P=0088 | X=0114.290-0321.140 | Y=0405.240-0416.480 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0088 | X=0093.380-0337.460 | Y=0422.760-0437.080 | 494 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0088 | X=0400.700-0425.750 | Y=0427.760-0437.080 | 6.700
P=0088 | X=0437.210-0462.260 | Y=0427.760-0437.080 | 4.700
P=0088 | X=0497.230-0522.280 | Y=0427.760-0437.080 | 4.000
P=0088 | X=0114.290-0367.600 | Y=0440.280-0451.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0088 | X=0114.290-0200.840 | Y=0451.820-0463.060 | >400m đến ≤600m.
P=0088 | X=0114.290-0337.460 | Y=0469.340-0480.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0088 | X=0114.290-0387.090 | Y=0487.340-0498.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Xa lộ Hà Nội
P=0088 | X=0114.290-0388.300 | Y=0498.860-0510.100 | đoạn từ Vòng xoay Tam Hiệp đến Hết ranh giới tỉnh Đồng Nai
P=0088 | X=0114.290-0321.140 | Y=0510.380-0521.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0088 | X=0093.380-0110.020 | Y=0524.020-0533.340 | 495
P=0088 | X=0400.700-0425.750 | Y=0524.020-0533.340 | 5.000
P=0088 | X=0437.210-0462.260 | Y=0524.020-0533.340 | 3.500
P=0088 | X=0497.230-0522.280 | Y=0524.020-0533.340 | 3.000
P=0088 | X=0114.290-0355.400 | Y=0527.900-0539.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0088 | X=0114.290-0148.050 | Y=0541.330-0550.650 | >600m.
P=0088 | X=0114.290-0337.930 | Y=0556.970-0568.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0088 | X=0114.290-0387.800 | Y=0574.970-0586.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0088 | X=0114.290-0376.050 | Y=0586.250-0597.490 | ra Xa lộ Hà Nội đoạn từ Vòng xoay Tam Hiệp đến Hết ranh
P=0088 | X=0114.290-0373.400 | Y=0597.770-0609.010 | giới tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi
P=0088 | X=0114.290-0142.290 | Y=0609.290-0620.530 | măng:
P=0088 | X=0093.380-0110.020 | Y=0617.170-0626.490 | 496
P=0088 | X=0395.180-0425.750 | Y=0617.170-0626.490 | 10.100
P=0088 | X=0437.210-0462.260 | Y=0617.170-0626.490 | 7.100
P=0088 | X=0497.230-0522.280 | Y=0617.170-0626.490 | 6.100
P=0088 | X=0114.290-0337.200 | Y=0626.830-0638.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0088 | X=0114.290-0355.400 | Y=0644.350-0655.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0088 | X=0114.290-0147.810 | Y=0655.870-0667.110 | ≤400m.
P=0088 | X=0114.290-0387.800 | Y=0673.870-0685.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0088 | X=0114.290-0376.050 | Y=0685.390-0696.630 | ra Xa lộ Hà Nội đoạn từ Vòng xoay Tam Hiệp đến Hết ranh
P=0088 | X=0093.380-0110.020 | Y=0693.030-0702.350 | 497
P=0088 | X=0400.700-0425.750 | Y=0693.030-0702.350 | 6.000
P=0088 | X=0437.210-0462.260 | Y=0693.030-0702.350 | 4.200
P=0088 | X=0497.230-0522.280 | Y=0693.030-0702.350 | 3.600
P=0088 | X=0114.290-0373.400 | Y=0696.910-0708.150 | giới tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi
P=0088 | X=0114.290-0142.290 | Y=0708.450-0719.690 | măng:
P=0089 | X=0114.290-0337.460 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0089 | X=0114.290-0367.600 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0089 | X=0114.290-0200.840 | Y=0107.780-0119.020 | >400m đến ≤600m.
P=0089 | X=0114.290-0337.460 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0089 | X=0114.290-0387.800 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0089 | X=0114.290-0376.050 | Y=0154.850-0166.090 | ra Xa lộ Hà Nội đoạn từ Vòng xoay Tam Hiệp đến Hết ranh
P=0089 | X=0114.290-0373.400 | Y=0166.370-0177.610 | giới tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi
P=0089 | X=0114.290-0142.290 | Y=0177.650-0188.890 | măng:
P=0089 | X=0093.380-0110.020 | Y=0185.530-0194.850 | 498
P=0089 | X=0400.700-0425.750 | Y=0185.530-0194.850 | 4.500
P=0089 | X=0437.210-0462.260 | Y=0185.530-0194.850 | 3.200
P=0089 | X=0497.230-0522.280 | Y=0185.530-0194.850 | 2.700
P=0089 | X=0114.290-0355.400 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0089 | X=0114.290-0148.050 | Y=0208.590-0217.910 | >600m.
P=0089 | X=0114.290-0337.930 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0089 | X=0114.290-0284.930 | Y=0242.230-0253.470 | Đường Bùi Văn Hòa Vòng xoay Tam
P=0089 | X=0093.380-0110.020 | Y=0249.870-0259.190 | 499
P=0089 | X=0295.080-0343.640 | Y=0249.870-0259.190 | Quốc lộ 51
P=0089 | X=0395.180-0462.260 | Y=0249.870-0259.190 | 27.000 18.900
P=0089 | X=0491.710-0522.280 | Y=0249.870-0259.190 | 16.200
P=0089 | X=0114.290-0235.620 | Y=0255.630-0264.950 | (Quốc lộ 15 nối dài) Hiệp
P=0089 | X=0114.290-0379.870 | Y=0271.750-0282.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi
