TABLE=025 | AREA=Xã Xuân Hòa | SECTION=non-agricultural | SEGMENTS=1
P=0952 | X=0112.130-0215.240 | Y=0659.950-0671.190 | nhựa, bê tông xi măng:
P=0952 | X=0095.330-0106.450 | Y=0667.830-0677.150 | 83
P=0952 | X=0408.140-0424.780 | Y=0667.830-0677.150 | 660
P=0952 | X=0444.410-0461.050 | Y=0667.830-0677.150 | 460
P=0952 | X=0505.390-0522.030 | Y=0667.830-0677.150 | 400
P=0952 | X=0112.130-0343.680 | Y=0677.470-0688.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0952 | X=0112.130-0365.440 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0952 | X=0112.130-0207.080 | Y=0706.290-0717.530 | >500m đến ≤1.000m.
P=0953 | X=0112.130-0335.300 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0953 | X=0112.130-0385.640 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0953 | X=0112.130-0383.030 | Y=0107.780-0119.020 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn
P=0953 | X=0112.130-0377.260 | Y=0119.330-0130.570 | 200m đến Ranh giới xã Xuân Thành có hiện trạng là đường
P=0953 | X=0112.130-0215.240 | Y=0130.850-0142.090 | nhựa, bê tông xi măng:
P=0953 | X=0095.330-0106.450 | Y=0138.730-0148.050 | 84
P=0953 | X=0408.140-0424.780 | Y=0138.730-0148.050 | 520
P=0953 | X=0444.410-0461.050 | Y=0138.730-0148.050 | 360
P=0953 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 310
P=0953 | X=0112.130-0353.240 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0953 | X=0112.130-0154.270 | Y=0161.530-0170.850 | >1.000m.
P=0953 | X=0112.130-0335.770 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0953 | X=0320.520-0387.320 | Y=0194.930-0206.170 | Hết Văn phòng
P=0953 | X=0112.130-0218.310 | Y=0206.470-0217.710 | Đường tỉnh 779 (đường
P=0953 | X=0320.520-0375.260 | Y=0206.470-0217.710 | ấp 5 (ngã tư
P=0953 | X=0095.330-0106.450 | Y=0214.110-0223.430 | 85
P=0953 | X=0243.460-0286.500 | Y=0214.110-0223.430 | Quốc lộ 1
P=0953 | X=0399.980-0425.030 | Y=0214.110-0223.430 | 2.300
P=0953 | X=0436.250-0461.300 | Y=0214.110-0223.430 | 1.600
P=0953 | X=0497.230-0522.280 | Y=0214.110-0223.430 | 1.400
P=0953 | X=0112.130-0220.410 | Y=0217.990-0229.230 | Xuân Tâm - Xuân Đông)
P=0953 | X=0320.520-0389.310 | Y=0217.990-0229.230 | đường sau chợ
P=0953 | X=0320.520-0362.530 | Y=0229.510-0240.750 | Xuân Đà)
P=0953 | X=0112.130-0379.670 | Y=0247.270-0258.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0953 | X=0112.130-0378.470 | Y=0258.790-0270.030 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1 đến
P=0953 | X=0112.130-0388.060 | Y=0270.310-0281.550 | Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện
P=0953 | X=0095.330-0283.940 | Y=0281.860-0293.300 | 86 trạng là đường nhựa, bê tông xi măng:
P=0953 | X=0399.980-0425.030 | Y=0283.980-0293.300 | 1.200
P=0953 | X=0444.410-0461.050 | Y=0283.980-0293.300 | 840
P=0953 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 720
P=0953 | X=0112.130-0343.210 | Y=0299.380-0310.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0953 | X=0112.130-0389.320 | Y=0316.900-0328.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0953 | X=0112.130-0379.670 | Y=0334.660-0345.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0953 | X=0112.130-0378.470 | Y=0345.940-0357.180 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1 đến
P=0953 | X=0112.130-0388.060 | Y=0357.460-0368.700 | Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện
P=0953 | X=0112.130-0283.910 | Y=0369.000-0380.240 | trạng là đường nhựa, bê tông xi măng:
P=0953 | X=0095.330-0343.680 | Y=0385.760-0397.760 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0953 | X=0408.140-0424.780 | Y=0385.760-0395.080 | 800
P=0953 | X=0444.410-0461.050 | Y=0385.760-0395.080 | 560
P=0953 | X=0505.390-0522.030 | Y=0385.760-0395.080 | 480
P=0953 | X=0112.130-0365.440 | Y=0404.040-0415.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0953 | X=0112.130-0207.080 | Y=0415.560-0426.800 | >500m đến ≤1.000m.
P=0953 | X=0112.130-0335.300 | Y=0433.080-0444.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0953 | X=0112.130-0379.670 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0953 | X=0112.130-0378.470 | Y=0462.380-0473.620 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1 đến
P=0953 | X=0112.130-0388.060 | Y=0473.900-0485.140 | Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện
P=0953 | X=0112.130-0283.910 | Y=0485.420-0496.660 | trạng là đường nhựa, bê tông xi măng:
P=0953 | X=0095.330-0106.450 | Y=0493.300-0502.620 | 88
P=0953 | X=0408.140-0424.780 | Y=0493.300-0502.620 | 580
P=0953 | X=0444.410-0461.050 | Y=0493.300-0502.620 | 410
P=0953 | X=0505.390-0522.030 | Y=0493.300-0502.620 | 350
P=0953 | X=0112.130-0353.240 | Y=0502.940-0514.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0953 | X=0112.130-0154.270 | Y=0516.100-0525.420 | >1.000m.
P=0953 | X=0112.130-0335.770 | Y=0531.740-0542.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0953 | X=0112.130-0385.640 | Y=0549.530-0560.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0953 | X=0112.130-0378.410 | Y=0561.050-0572.290 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0953 | X=0112.130-0372.750 | Y=0572.570-0583.810 | Quốc lộ 1 đến Hết Văn phòng ấp 5 (ngã tư đường sau chợ
P=0953 | X=0095.330-0363.850 | Y=0584.090-0595.530 | 89 Xuân Đà) có hiện trạng là đường nhựa, bê tông xi măng:
P=0953 | X=0399.980-0425.030 | Y=0586.210-0595.530 | 1.100
P=0953 | X=0444.410-0461.050 | Y=0586.210-0595.530 | 770
P=0953 | X=0505.390-0522.030 | Y=0586.210-0595.530 | 660
P=0953 | X=0112.130-0343.210 | Y=0601.610-0612.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0953 | X=0112.130-0389.320 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0953 | X=0112.130-0385.640 | Y=0636.910-0648.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0953 | X=0112.130-0378.410 | Y=0648.430-0659.670 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0953 | X=0112.130-0372.760 | Y=0659.950-0671.190 | Quốc lộ 1 đến Hết Văn phòng ấp 5 (ngã tư đường sau chợ
P=0953 | X=0095.330-0363.850 | Y=0671.470-0682.910 | 90 Xuân Đà) có hiện trạng là đường nhựa, bê tông xi măng:
P=0953 | X=0408.140-0424.780 | Y=0673.590-0682.910 | 720
P=0953 | X=0444.410-0461.050 | Y=0673.590-0682.910 | 500
P=0953 | X=0505.390-0522.030 | Y=0673.590-0682.910 | 430
P=0953 | X=0112.130-0343.680 | Y=0688.750-0699.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0953 | X=0112.130-0365.440 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0954 | X=0112.130-0207.080 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=0954 | X=0112.130-0335.300 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0954 | X=0112.130-0385.640 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0954 | X=0112.130-0378.410 | Y=0119.330-0130.570 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0954 | X=0112.130-0372.760 | Y=0130.850-0142.090 | Quốc lộ 1 đến Hết Văn phòng ấp 5 (ngã tư đường sau chợ
P=0954 | X=0112.130-0363.850 | Y=0142.370-0153.610 | Xuân Đà) có hiện trạng là đường nhựa, bê tông xi măng:
P=0954 | X=0095.330-0106.450 | Y=0150.250-0159.570 | 91
P=0954 | X=0408.140-0424.780 | Y=0150.250-0159.570 | 520
P=0954 | X=0444.410-0461.050 | Y=0150.250-0159.570 | 360
P=0954 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 310
P=0954 | X=0112.130-0353.240 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0954 | X=0112.130-0154.270 | Y=0173.050-0182.370 | >1.000m.
P=0954 | X=0112.130-0335.770 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0954 | X=0243.460-0310.260 | Y=0206.470-0217.710 | Hết Văn phòng
P=0954 | X=0112.130-0218.310 | Y=0217.990-0229.230 | Đường tỉnh 779 (đường
P=0954 | X=0243.460-0298.190 | Y=0217.990-0229.230 | ấp 5 (ngã tư
P=0954 | X=0320.520-0387.340 | Y=0217.990-0229.230 | Hết kho xưởng
P=0954 | X=0095.330-0106.450 | Y=0225.630-0234.950 | 92
P=0954 | X=0399.980-0425.030 | Y=0225.630-0234.950 | 2.000
P=0954 | X=0436.250-0461.300 | Y=0225.630-0234.950 | 1.400
P=0954 | X=0497.230-0522.280 | Y=0225.630-0234.950 | 1.200
P=0954 | X=0112.130-0220.410 | Y=0229.510-0240.750 | Xuân Tâm - Xuân Đông)
P=0954 | X=0243.460-0387.720 | Y=0229.510-0240.750 | đường sau chợ (Nguyễn Sáng)
P=0954 | X=0243.460-0285.470 | Y=0241.030-0252.270 | Xuân Đà)
P=0954 | X=0112.130-0379.670 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0954 | X=0112.130-0382.770 | Y=0270.310-0281.550 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Hết Văn phòng
P=0954 | X=0112.130-0372.220 | Y=0281.860-0293.100 | ấp 5 (ngã tư đường sau chợ Xuân Đà) đến Hết kho xưởng
P=0954 | X=0095.330-0389.060 | Y=0293.380-0304.820 | 93 (Nguyễn Sáng) có hiện trạng là đường nhựa, bê tông xi măng:
P=0954 | X=0399.980-0425.030 | Y=0295.500-0304.820 | 1.000
P=0954 | X=0444.410-0461.050 | Y=0295.500-0304.820 | 700
P=0954 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 600
P=0954 | X=0112.130-0343.210 | Y=0310.900-0322.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0954 | X=0112.130-0389.320 | Y=0328.420-0339.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0954 | X=0112.130-0379.670 | Y=0345.940-0357.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0954 | X=0112.130-0382.770 | Y=0357.460-0368.700 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Hết Văn phòng
P=0954 | X=0112.130-0372.220 | Y=0369.000-0380.240 | ấp 5 (ngã tư đường sau chợ Xuân Đà) đến Hết kho xưởng
P=0954 | X=0112.130-0389.060 | Y=0380.520-0391.760 | (Nguyễn Sáng) có hiện trạng là đường nhựa, bê tông xi măng:
P=0954 | X=0095.330-0343.680 | Y=0397.280-0409.280 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0954 | X=0408.140-0424.780 | Y=0397.280-0406.600 | 800
P=0954 | X=0444.410-0461.050 | Y=0397.280-0406.600 | 560
P=0954 | X=0505.390-0522.030 | Y=0397.280-0406.600 | 480
P=0954 | X=0112.130-0365.440 | Y=0415.560-0426.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0954 | X=0112.130-0207.080 | Y=0427.080-0438.320 | >500m đến ≤1.000m.
P=0954 | X=0112.130-0335.300 | Y=0444.600-0455.840 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0954 | X=0112.130-0379.670 | Y=0462.380-0473.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0954 | X=0112.130-0382.770 | Y=0473.900-0485.140 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Hết Văn phòng
P=0954 | X=0112.130-0372.220 | Y=0485.420-0496.660 | ấp 5 (ngã tư đường sau chợ Xuân Đà) đến Hết kho xưởng
P=0954 | X=0112.130-0389.060 | Y=0496.940-0508.180 | (Nguyễn Sáng) có hiện trạng là đường nhựa, bê tông xi măng:
P=0954 | X=0095.330-0106.450 | Y=0504.820-0514.140 | 95
P=0954 | X=0408.140-0424.780 | Y=0504.820-0514.140 | 580
P=0954 | X=0444.410-0461.050 | Y=0504.820-0514.140 | 410
P=0954 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 350
P=0954 | X=0112.130-0353.240 | Y=0514.220-0525.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0954 | X=0112.130-0154.270 | Y=0527.620-0536.940 | >1.000m.
P=0954 | X=0112.130-0335.770 | Y=0543.290-0554.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0954 | X=0112.130-0385.640 | Y=0561.050-0572.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0954 | X=0112.130-0378.410 | Y=0572.570-0583.810 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0954 | X=0112.130-0390.550 | Y=0584.090-0595.330 | Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) đến Hết
P=0954 | X=0112.130-0377.260 | Y=0595.610-0606.850 | kho xưởng (Nguyễn Sáng) có hiện trạng là đường nhựa, bê
P=0954 | X=0095.330-0106.450 | Y=0603.490-0612.810 | 96
P=0954 | X=0408.140-0424.780 | Y=0603.490-0612.810 | 900
P=0954 | X=0444.410-0461.050 | Y=0603.490-0612.810 | 630
P=0954 | X=0505.390-0522.030 | Y=0603.490-0612.810 | 540
P=0954 | X=0112.130-0172.290 | Y=0607.130-0618.370 | tông xi măng:
P=0954 | X=0112.130-0343.210 | Y=0624.670-0635.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0954 | X=0112.130-0389.320 | Y=0642.190-0653.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0954 | X=0112.130-0385.640 | Y=0659.950-0671.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0954 | X=0112.130-0378.410 | Y=0671.470-0682.710 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0954 | X=0095.330-0390.550 | Y=0682.750-0693.990 | 97 Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) đến Hết
P=0954 | X=0408.140-0424.780 | Y=0684.630-0693.950 | 720
P=0954 | X=0444.410-0461.050 | Y=0684.630-0693.950 | 500
P=0954 | X=0505.390-0522.030 | Y=0684.630-0693.950 | 430
P=0954 | X=0112.130-0377.260 | Y=0694.270-0705.510 | kho xưởng (Nguyễn Sáng) có hiện trạng là đường nhựa, bê
P=0954 | X=0112.130-0172.290 | Y=0705.810-0717.050 | tông xi măng:
P=0955 | X=0112.130-0343.680 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0955 | X=0112.130-0365.440 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0955 | X=0112.130-0207.080 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=0955 | X=0112.130-0335.300 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0955 | X=0112.130-0385.640 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0955 | X=0112.130-0378.410 | Y=0154.370-0165.610 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0955 | X=0112.130-0390.550 | Y=0165.650-0176.890 | Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) đến Hết
P=0955 | X=0112.130-0377.260 | Y=0177.170-0188.410 | kho xưởng (Nguyễn Sáng) có hiện trạng là đường nhựa, bê
P=0955 | X=0095.330-0172.290 | Y=0188.690-0200.130 | 98 tông xi măng:
P=0955 | X=0408.140-0424.780 | Y=0190.810-0200.130 | 520
P=0955 | X=0444.410-0461.050 | Y=0190.810-0200.130 | 360
P=0955 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 310
P=0955 | X=0112.130-0353.240 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0955 | X=0112.130-0154.270 | Y=0219.630-0228.950 | >1.000m.
P=0955 | X=0112.130-0335.770 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0955 | X=0112.130-0218.310 | Y=0253.030-0264.270 | Đường tỉnh 779 (đường
P=0955 | X=0243.460-0377.490 | Y=0253.030-0264.270 | Hết kho xưởng Ranh giới xã
P=0955 | X=0095.330-0106.450 | Y=0260.670-0269.990 | 99
P=0955 | X=0399.980-0425.030 | Y=0260.670-0269.990 | 1.800
P=0955 | X=0436.250-0461.300 | Y=0260.670-0269.990 | 1.300
P=0955 | X=0497.230-0522.280 | Y=0260.670-0269.990 | 1.100
P=0955 | X=0112.130-0220.410 | Y=0264.550-0275.790 | Xuân Tâm - Xuân Đông)
P=0955 | X=0243.460-0364.780 | Y=0266.430-0275.750 | (Nguyễn Sáng) Xuân Hòa
P=0955 | X=0112.130-0379.670 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0955 | X=0112.130-0383.030 | Y=0293.860-0305.100 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Hết kho xưởng
P=0955 | X=0112.130-0377.010 | Y=0305.380-0316.620 | (Nguyễn Sáng) đến Ranh giới xã Xuân Hòa có hiện trạng là
P=0955 | X=0092.420-0247.900 | Y=0316.900-0328.340 | 100 đường nhựa, bê tông xi măng:
P=0955 | X=0408.140-0424.780 | Y=0319.020-0328.340 | 880
P=0955 | X=0444.410-0461.050 | Y=0319.020-0328.340 | 620
P=0955 | X=0505.390-0522.030 | Y=0319.020-0328.340 | 530
P=0955 | X=0112.130-0343.210 | Y=0334.420-0345.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0955 | X=0112.130-0389.320 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0955 | X=0112.130-0379.670 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0955 | X=0112.130-0383.020 | Y=0381.000-0392.240 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Hết kho xưởng
P=0955 | X=0112.130-0377.010 | Y=0392.520-0403.760 | (Nguyễn Sáng) đến Ranh giới xã Xuân Hòa có hiện trạng là
P=0955 | X=0112.130-0247.900 | Y=0404.040-0415.280 | đường nhựa, bê tông xi măng:
P=0955 | X=0092.420-0343.680 | Y=0420.800-0432.800 | 101 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0955 | X=0408.140-0424.780 | Y=0420.800-0430.120 | 730
P=0955 | X=0444.410-0461.050 | Y=0420.800-0430.120 | 510
P=0955 | X=0505.390-0522.030 | Y=0420.800-0430.120 | 440
P=0955 | X=0112.130-0365.450 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0955 | X=0112.130-0207.080 | Y=0450.620-0461.860 | >500m đến ≤1.000m.
P=0955 | X=0112.130-0335.300 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0955 | X=0112.130-0379.670 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0955 | X=0112.130-0383.020 | Y=0497.420-0508.660 | 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Hết kho xưởng
P=0955 | X=0112.130-0377.010 | Y=0508.940-0520.180 | (Nguyễn Sáng) đến Ranh giới xã Xuân Hòa có hiện trạng là
P=0955 | X=0112.130-0247.900 | Y=0520.220-0531.460 | đường nhựa, bê tông xi măng:
P=0955 | X=0092.420-0109.060 | Y=0528.100-0537.420 | 102
P=0955 | X=0408.140-0424.780 | Y=0528.100-0537.420 | 580
P=0955 | X=0444.410-0461.050 | Y=0528.100-0537.420 | 410
P=0955 | X=0505.390-0522.030 | Y=0528.100-0537.420 | 350
P=0955 | X=0112.130-0353.240 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0955 | X=0112.130-0154.270 | Y=0551.170-0560.490 | >1.000m.
P=0955 | X=0112.130-0335.770 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0955 | X=0112.130-0385.640 | Y=0584.570-0595.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0955 | X=0112.130-0378.410 | Y=0596.090-0607.330 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0955 | X=0112.130-0388.260 | Y=0607.610-0618.850 | Hết kho xưởng (Nguyễn Sáng) đến Ranh giới xã Xuân Hòa có
P=0955 | X=0092.420-0305.740 | Y=0619.150-0630.590 | 103 hiện trạng là đường nhựa, bê tông xi măng:
P=0955 | X=0408.140-0424.780 | Y=0621.270-0630.590 | 790
P=0955 | X=0444.410-0461.050 | Y=0621.270-0630.590 | 550
P=0955 | X=0505.390-0522.030 | Y=0621.270-0630.590 | 470
P=0955 | X=0112.130-0343.210 | Y=0636.670-0647.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0955 | X=0112.130-0389.320 | Y=0654.190-0665.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0955 | X=0112.130-0385.640 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0955 | X=0112.130-0378.410 | Y=0683.470-0694.710 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0955 | X=0092.420-0109.060 | Y=0691.110-0700.430 | 104
P=0955 | X=0408.140-0424.780 | Y=0691.110-0700.430 | 660
P=0955 | X=0444.410-0461.050 | Y=0691.110-0700.430 | 460
P=0955 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 400
P=0955 | X=0112.130-0388.260 | Y=0694.750-0705.990 | Hết kho xưởng (Nguyễn Sáng) đến Ranh giới xã Xuân Hòa có
P=0955 | X=0112.130-0305.740 | Y=0706.290-0717.530 | hiện trạng là đường nhựa, bê tông xi măng:
P=0956 | X=0112.130-0343.680 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0956 | X=0112.130-0365.440 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0956 | X=0112.130-0207.080 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=0956 | X=0112.130-0335.300 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0956 | X=0112.130-0385.640 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0956 | X=0112.130-0378.410 | Y=0154.370-0165.610 | ra Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ
P=0956 | X=0112.130-0388.260 | Y=0165.650-0176.890 | Hết kho xưởng (Nguyễn Sáng) đến Ranh giới xã Xuân Hòa có
P=0956 | X=0112.130-0305.740 | Y=0177.170-0188.410 | hiện trạng là đường nhựa, bê tông xi măng:
P=0956 | X=0092.420-0109.060 | Y=0185.050-0194.370 | 105
P=0956 | X=0408.140-0424.780 | Y=0185.050-0194.370 | 520
P=0956 | X=0444.410-0461.050 | Y=0185.050-0194.370 | 360
P=0956 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 310
P=0956 | X=0112.130-0353.240 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0956 | X=0112.130-0154.270 | Y=0208.110-0217.430 | >1.000m.
P=0956 | X=0112.130-0335.770 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0956 | X=0112.130-0234.360 | Y=0241.510-0252.750 | Đường Xuân Hưng đi Xuân
P=0956 | X=0320.520-0363.580 | Y=0243.390-0252.710 | Quốc lộ 1
P=0956 | X=0092.420-0109.060 | Y=0249.150-0258.470 | 106
P=0956 | X=0243.460-0286.500 | Y=0249.150-0258.470 | Quốc lộ 1
P=0956 | X=0399.980-0425.030 | Y=0249.150-0258.470 | 2.000
P=0956 | X=0436.250-0461.300 | Y=0249.150-0258.470 | 1.400
P=0956 | X=0497.230-0522.280 | Y=0249.150-0258.470 | 1.200
P=0956 | X=0112.130-0145.780 | Y=0253.030-0264.270 | Tâm cũ
P=0956 | X=0320.520-0351.480 | Y=0254.910-0264.230 | +300m
P=0956 | X=0112.130-0386.370 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0956 | X=0112.130-0358.040 | Y=0282.340-0293.580 | Hưng đi Xuân Tâm cũ đoạn từ Quốc lộ 1 đến Quốc lộ 1
P=0956 | X=0112.130-0352.580 | Y=0293.860-0305.100 | +300m có hiện trạng là đường nhựa, bê tông xi măng:
P=0956 | X=0092.420-0109.060 | Y=0301.740-0311.060 | 107
P=0956 | X=0399.980-0425.030 | Y=0301.740-0311.060 | 1.000
P=0956 | X=0444.410-0461.050 | Y=0301.740-0311.060 | 700
P=0956 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 600
P=0956 | X=0112.130-0343.210 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0956 | X=0112.130-0389.320 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0956 | X=0112.130-0386.370 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0956 | X=0112.130-0358.040 | Y=0357.940-0369.180 | Hưng đi Xuân Tâm cũ đoạn từ Quốc lộ 1 đến Quốc lộ 1
P=0956 | X=0112.130-0352.580 | Y=0369.480-0380.720 | +300m có hiện trạng là đường nhựa, bê tông xi măng:
P=0956 | X=0092.420-0343.680 | Y=0387.000-0401.320 | 108 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0956 | X=0408.140-0424.780 | Y=0392.000-0401.320 | 800
P=0956 | X=0444.410-0461.050 | Y=0392.000-0401.320 | 560
P=0956 | X=0505.390-0522.030 | Y=0392.000-0401.320 | 480
