TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=non-agricultural | SEGMENTS=1
P=1688 | X=0108.530-0349.620 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1688 | X=0108.530-0150.670 | Y=0237.150-0246.470 | >1.000m.
P=1688 | X=0108.530-0332.170 | Y=0252.790-0264.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1688 | X=0108.530-0382.040 | Y=0270.550-0281.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1688 | X=0108.530-0386.860 | Y=0282.100-0293.340 | ra Đường nhà thờ Kim Lân đoạn từ Đường 600A đến Hết ranh
P=1688 | X=0108.530-0362.590 | Y=0293.620-0304.860 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1688 | X=0093.620-0136.530 | Y=0305.140-0316.580 | 82 măng:
P=1688 | X=0413.180-0429.820 | Y=0307.260-0316.580 | 240
P=1688 | X=0461.450-0478.090 | Y=0307.260-0316.580 | 170
P=1688 | X=0505.390-0522.030 | Y=0307.260-0316.580 | 140
P=1688 | X=0108.530-0339.610 | Y=0322.660-0333.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1688 | X=0108.530-0385.700 | Y=0339.940-0351.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1688 | X=0108.530-0382.040 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1688 | X=0108.530-0386.860 | Y=0369.240-0380.480 | ra Đường nhà thờ Kim Lân đoạn từ Đường 600A đến Hết ranh
P=1688 | X=0108.530-0362.590 | Y=0380.760-0392.000 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1688 | X=0108.530-0136.530 | Y=0392.280-0403.520 | măng:
P=1688 | X=0093.620-0340.080 | Y=0409.040-0421.040 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1688 | X=0413.180-0429.820 | Y=0409.040-0418.360 | 210
P=1688 | X=0461.450-0478.090 | Y=0409.040-0418.360 | 150
P=1688 | X=0505.390-0522.030 | Y=0409.040-0418.360 | 130
P=1688 | X=0108.530-0361.840 | Y=0427.320-0438.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1688 | X=0108.530-0203.480 | Y=0438.840-0450.080 | >500m đến ≤1.000m.
P=1688 | X=0108.530-0331.700 | Y=0456.380-0467.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1688 | X=0108.530-0382.040 | Y=0474.140-0485.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1688 | X=0108.530-0386.860 | Y=0485.660-0496.900 | ra Đường nhà thờ Kim Lân đoạn từ Đường 600A đến Hết ranh
P=1688 | X=0108.530-0362.590 | Y=0497.180-0508.420 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1688 | X=0108.530-0136.530 | Y=0508.460-0519.700 | măng:
P=1688 | X=0093.620-0104.740 | Y=0516.340-0525.660 | 84
P=1688 | X=0413.180-0429.820 | Y=0516.340-0525.660 | 190
P=1688 | X=0461.450-0478.090 | Y=0516.340-0525.660 | 130
P=1688 | X=0505.390-0522.030 | Y=0516.340-0525.660 | 110
P=1688 | X=0108.530-0349.620 | Y=0525.980-0537.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1688 | X=0108.530-0150.670 | Y=0539.410-0548.730 | >1.000m.
P=1688 | X=0108.530-0332.170 | Y=0555.050-0566.290 | - Có bề rộng <3m, cách đường giao thông >200m.
