TABLE=038 | AREA=Xã Bình Minh | SECTION=non-agricultural | SEGMENTS=1
P=1348 | X=0090.020-0106.660 | Y=0325.260-0334.580 | 175
P=1348 | X=0424.970-0450.020 | Y=0325.260-0334.580 | 2.500
P=1348 | X=0461.210-0486.260 | Y=0325.260-0334.580 | 1.800
P=1348 | X=0497.230-0522.280 | Y=0325.260-0334.580 | 1.500
P=1348 | X=0106.850-0392.640 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1348 | X=0106.850-0330.490 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1348 | X=0322.200-0400.300 | Y=0371.840-0381.160 | Vật liệu xây dựng
P=1348 | X=0090.020-0285.220 | Y=0375.720-0386.960 | 176 Đường Tân Thành - An Chu Quốc lộ 1A
P=1348 | X=0424.970-0450.020 | Y=0377.600-0386.920 | 4.400
P=1348 | X=0461.210-0486.260 | Y=0377.600-0386.920 | 3.100
P=1348 | X=0497.230-0522.280 | Y=0377.600-0386.920 | 2.600
P=1348 | X=0322.200-0368.870 | Y=0381.480-0392.720 | Xuân Định
P=1348 | X=0106.850-0412.700 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Thành -
P=1348 | X=0106.850-0414.710 | Y=0410.760-0422.000 | An Chu đoạn từ Quốc lộ 1A đến Vật liệu xây dựng Xuân Định có hiện
P=1348 | X=0106.850-0278.630 | Y=0422.280-0433.520 | trạng là đường nhựa, bê tông xi măng:
P=1348 | X=0090.020-0106.660 | Y=0430.160-0439.480 | 177
P=1348 | X=0424.970-0450.020 | Y=0430.160-0439.480 | 2.100
P=1348 | X=0461.210-0486.260 | Y=0430.160-0439.480 | 1.500
P=1348 | X=0497.230-0522.280 | Y=0430.160-0439.480 | 1.300
P=1348 | X=0106.850-0337.930 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1348 | X=0106.850-0384.020 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1348 | X=0106.850-0412.700 | Y=0475.100-0486.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Thành -
P=1348 | X=0106.850-0414.710 | Y=0486.620-0497.860 | An Chu đoạn từ Quốc lộ 1A đến Vật liệu xây dựng Xuân Định có hiện
P=1348 | X=0106.850-0278.630 | Y=0498.140-0509.380 | trạng là đường nhựa, bê tông xi măng:
P=1348 | X=0090.020-0338.440 | Y=0515.660-0529.740 | 178 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1348 | X=0424.970-0450.020 | Y=0520.420-0529.740 | 1.800
P=1348 | X=0461.210-0486.260 | Y=0520.420-0529.740 | 1.300
P=1348 | X=0497.230-0522.280 | Y=0520.420-0529.740 | 1.100
P=1348 | X=0106.850-0413.270 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1348 | X=0106.850-0148.530 | Y=0544.490-0555.730 | ≤1.000m.
P=1348 | X=0106.850-0330.020 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1348 | X=0106.850-0412.700 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Thành -
P=1348 | X=0106.850-0414.710 | Y=0591.290-0602.530 | An Chu đoạn từ Quốc lộ 1A đến Vật liệu xây dựng Xuân Định có hiện
P=1348 | X=0106.850-0278.630 | Y=0602.810-0614.050 | trạng là đường nhựa, bê tông xi măng:
P=1348 | X=0090.020-0106.660 | Y=0610.690-0620.010 | 179
P=1348 | X=0424.970-0450.020 | Y=0610.690-0620.010 | 1.300
P=1348 | X=0469.370-0486.010 | Y=0610.690-0620.010 | 910
P=1348 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 780
P=1348 | X=0106.850-0392.640 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1348 | X=0106.850-0330.490 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1348 | X=0106.850-0392.110 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1348 | X=0106.850-0395.660 | Y=0667.150-0678.390 | Đường Tân Thành - An Chu đoạn từ Quốc lộ 1A đến Vật liệu xây
P=1348 | X=0090.020-0389.310 | Y=0677.670-0689.910 | 180 dựng Xuân Định có hiện trạng là đường nhựa, bê tông xi măng:
P=1348 | X=0424.970-0450.020 | Y=0677.670-0686.990 | 1.900
P=1348 | X=0461.210-0486.260 | Y=0677.670-0686.990 | 1.300
P=1348 | X=0497.230-0522.280 | Y=0677.670-0686.990 | 1.100
P=1348 | X=0106.850-0337.930 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1349 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1349 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1349 | X=0106.850-0395.660 | Y=0107.780-0119.020 | Đường Tân Thành - An Chu đoạn từ Quốc lộ 1A đến Vật liệu xây
P=1349 | X=0106.850-0389.310 | Y=0119.330-0130.570 | dựng Xuân Định có hiện trạng là đường nhựa, bê tông xi măng:
P=1349 | X=0090.020-0338.400 | Y=0136.850-0150.930 | 181 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1349 | X=0424.970-0450.020 | Y=0141.610-0150.930 | 1.600
P=1349 | X=0461.210-0486.260 | Y=0141.610-0150.930 | 1.100
P=1349 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 960
P=1349 | X=0106.850-0413.270 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1349 | X=0106.850-0148.530 | Y=0165.650-0176.890 | ≤1.000m.
P=1349 | X=0106.850-0330.020 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1349 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1349 | X=0106.850-0395.660 | Y=0212.470-0223.710 | Đường Tân Thành - An Chu đoạn từ Quốc lộ 1A đến Vật liệu xây
P=1349 | X=0106.850-0389.310 | Y=0223.990-0235.230 | dựng Xuân Định có hiện trạng là đường nhựa, bê tông xi măng:
P=1349 | X=0090.020-0106.660 | Y=0231.870-0241.190 | 182
P=1349 | X=0424.970-0450.020 | Y=0231.870-0241.190 | 1.200
P=1349 | X=0469.370-0486.010 | Y=0231.870-0241.190 | 840
P=1349 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 720
P=1349 | X=0106.850-0392.640 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1349 | X=0106.850-0330.490 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1349 | X=0235.540-0413.510 | Y=0276.790-0288.030 | Vật liệu xây dựng Giáp đường 9 ấp An
P=1349 | X=0090.020-0231.990 | Y=0282.580-0293.820 | 183 Đường Tân Thành - An Chu
P=1349 | X=0424.970-0450.020 | Y=0284.460-0293.780 | 3.100
P=1349 | X=0461.210-0486.260 | Y=0284.460-0293.780 | 2.200
P=1349 | X=0497.230-0522.280 | Y=0284.460-0293.780 | 1.900
P=1349 | X=0235.540-0282.190 | Y=0288.340-0299.580 | Xuân Định
P=1349 | X=0322.200-0340.530 | Y=0290.220-0299.540 | Chu
P=1349 | X=0106.850-0412.700 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Thành -
P=1349 | X=0106.850-0406.300 | Y=0317.620-0328.860 | An Chu đoạn từ Vật liệu xây dựng Xuân Định đến Giáp đường 9 ấp
P=1349 | X=0106.850-0349.930 | Y=0329.140-0340.380 | An Chu có hiện trạng là đường nhựa, bê tông xi măng:
P=1349 | X=0090.020-0106.660 | Y=0337.020-0346.340 | 184
P=1349 | X=0424.970-0450.020 | Y=0337.020-0346.340 | 2.000
P=1349 | X=0461.210-0486.260 | Y=0337.020-0346.340 | 1.400
P=1349 | X=0497.230-0522.280 | Y=0337.020-0346.340 | 1.200
P=1349 | X=0106.850-0337.930 | Y=0346.660-0357.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1349 | X=0106.850-0384.020 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1349 | X=0106.850-0412.700 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Thành -
P=1349 | X=0106.850-0406.300 | Y=0393.240-0404.480 | An Chu đoạn từ Vật liệu xây dựng Xuân Định đến Giáp đường 9 ấp
P=1349 | X=0106.850-0349.930 | Y=0404.760-0416.000 | An Chu có hiện trạng là đường nhựa, bê tông xi măng:
P=1349 | X=0090.020-0338.400 | Y=0422.280-0436.600 | 185 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1349 | X=0424.970-0450.020 | Y=0427.280-0436.600 | 1.200
P=1349 | X=0469.370-0486.010 | Y=0427.280-0436.600 | 840
P=1349 | X=0505.390-0522.030 | Y=0427.280-0436.600 | 720
P=1349 | X=0106.850-0413.270 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1349 | X=0106.850-0148.530 | Y=0451.340-0462.580 | ≤1.000m.
P=1349 | X=0106.850-0330.020 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1349 | X=0106.850-0412.700 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Thành -
P=1349 | X=0106.850-0406.300 | Y=0498.140-0509.380 | An Chu đoạn từ Vật liệu xây dựng Xuân Định đến Giáp đường 9 ấp
P=1349 | X=0106.850-0349.930 | Y=0509.660-0520.900 | An Chu có hiện trạng là đường nhựa, bê tông xi măng:
P=1349 | X=0090.020-0106.660 | Y=0517.540-0526.860 | 186
P=1349 | X=0433.130-0449.770 | Y=0517.540-0526.860 | 550
P=1349 | X=0469.370-0486.010 | Y=0517.540-0526.860 | 390
P=1349 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 330
P=1349 | X=0106.850-0392.640 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1349 | X=0106.850-0330.490 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1349 | X=0106.850-0392.110 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1349 | X=0106.850-0399.100 | Y=0573.770-0585.010 | Đường Tân Thành - An Chu đoạn từ Vật liệu xây dựng Xuân Định
P=1349 | X=0106.850-0407.730 | Y=0585.290-0596.530 | đến Giáp đường 9 ấp An Chu có hiện trạng là đường nhựa, bê tông
P=1349 | X=0090.020-0144.680 | Y=0596.810-0608.250 | 187 xi măng:
P=1349 | X=0424.970-0450.020 | Y=0598.930-0608.250 | 1.800
P=1349 | X=0461.210-0486.260 | Y=0598.930-0608.250 | 1.300
P=1349 | X=0497.230-0522.280 | Y=0598.930-0608.250 | 1.100
P=1349 | X=0106.850-0337.930 | Y=0614.330-0625.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1349 | X=0106.850-0384.020 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1349 | X=0106.850-0392.110 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1349 | X=0106.850-0399.100 | Y=0661.150-0672.390 | Đường Tân Thành - An Chu đoạn từ Vật liệu xây dựng Xuân Định
P=1349 | X=0090.020-0407.730 | Y=0672.670-0686.750 | 188 đến Giáp đường 9 ấp An Chu có hiện trạng là đường nhựa, bê tông
P=1349 | X=0424.970-0450.020 | Y=0677.430-0686.750 | 1.100
P=1349 | X=0469.370-0486.010 | Y=0677.430-0686.750 | 770
P=1349 | X=0505.390-0522.030 | Y=0677.430-0686.750 | 660
P=1349 | X=0106.850-0144.680 | Y=0684.190-0695.430 | xi măng:
P=1349 | X=0106.850-0338.400 | Y=0701.730-0712.970 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1350 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1350 | X=0106.850-0148.530 | Y=0090.020-0101.260 | ≤1.000m.
P=1350 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1350 | X=0106.850-0392.110 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1350 | X=0106.850-0399.100 | Y=0136.850-0148.090 | Đường Tân Thành - An Chu đoạn từ Vật liệu xây dựng Xuân Định
P=1350 | X=0106.850-0407.730 | Y=0148.370-0159.610 | đến Giáp đường 9 ấp An Chu có hiện trạng là đường nhựa, bê tông
P=1350 | X=0090.020-0144.680 | Y=0159.650-0171.330 | 189 xi măng:
P=1350 | X=0433.130-0449.770 | Y=0162.010-0171.330 | 500
P=1350 | X=0469.370-0486.010 | Y=0162.010-0171.330 | 350
P=1350 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 300
P=1350 | X=0106.850-0392.640 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1350 | X=0106.850-0330.490 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1350 | X=0235.540-0305.700 | Y=0212.470-0223.710 | Đầu ngã 4 KCN
P=1350 | X=0090.020-0196.950 | Y=0218.230-0229.470 | 190 Đường 9 ấp An Chu
P=1350 | X=0322.200-0387.020 | Y=0220.110-0229.430 | Nhà Nghỉ EVA
P=1350 | X=0424.970-0450.020 | Y=0220.110-0229.430 | 4.400
P=1350 | X=0461.210-0486.260 | Y=0220.110-0229.430 | 3.100
P=1350 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 2.600
P=1350 | X=0235.540-0280.660 | Y=0225.870-0235.190 | Sông Mây
P=1350 | X=0106.850-0413.740 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 9 ấp An Chu
P=1350 | X=0106.850-0409.420 | Y=0253.270-0264.510 | đoạn từ Đầu ngã 4 KCN Sông Mây đến Nhà Nghỉ EVA có hiện trạng
P=1350 | X=0106.850-0253.180 | Y=0264.790-0276.030 | là đường nhựa, bê tông xi măng:
P=1350 | X=0090.020-0106.660 | Y=0272.670-0281.990 | 191
P=1350 | X=0424.970-0450.020 | Y=0272.670-0281.990 | 2.100
P=1350 | X=0461.210-0486.260 | Y=0272.670-0281.990 | 1.500
P=1350 | X=0497.230-0522.280 | Y=0272.670-0281.990 | 1.300
P=1350 | X=0106.850-0337.950 | Y=0282.340-0293.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1350 | X=0106.850-0384.020 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1350 | X=0106.850-0413.740 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 9 ấp An Chu
P=1350 | X=0106.850-0409.420 | Y=0329.140-0340.380 | đoạn từ Đầu ngã 4 KCN Sông Mây đến Nhà Nghỉ EVA có hiện trạng
P=1350 | X=0106.850-0253.180 | Y=0340.660-0351.900 | là đường nhựa, bê tông xi măng:
P=1350 | X=0090.020-0338.400 | Y=0357.940-0372.260 | 192 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1350 | X=0424.970-0450.020 | Y=0362.940-0372.260 | 1.800
P=1350 | X=0461.210-0486.260 | Y=0362.940-0372.260 | 1.300
P=1350 | X=0497.230-0522.280 | Y=0362.940-0372.260 | 1.100
P=1350 | X=0106.850-0413.270 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1350 | X=0106.850-0148.530 | Y=0387.000-0398.240 | ≤1.000m.
P=1350 | X=0106.850-0330.020 | Y=0404.520-0415.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1350 | X=0106.850-0413.740 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 9 ấp An Chu
P=1350 | X=0106.850-0409.420 | Y=0433.800-0445.040 | đoạn từ Đầu ngã 4 KCN Sông Mây đến Nhà Nghỉ EVA có hiện trạng
P=1350 | X=0106.850-0253.180 | Y=0445.320-0456.560 | là đường nhựa, bê tông xi măng:
P=1350 | X=0090.020-0106.660 | Y=0453.220-0462.540 | 193
P=1350 | X=0424.970-0450.020 | Y=0453.220-0462.540 | 1.300
P=1350 | X=0469.370-0486.010 | Y=0453.220-0462.540 | 910
P=1350 | X=0505.390-0522.030 | Y=0453.220-0462.540 | 780
P=1350 | X=0106.850-0392.640 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1350 | X=0106.850-0330.490 | Y=0480.380-0491.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1350 | X=0106.850-0392.110 | Y=0498.140-0509.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1350 | X=0106.850-0395.510 | Y=0509.660-0520.900 | Đường 9 ấp An Chu đoạn từ Đầu ngã 4 KCN Sông Mây đến Nhà
P=1350 | X=0106.850-0359.770 | Y=0521.180-0532.420 | Nghỉ EVA có hiện trạng là đường nhựa, bê tông xi măng:
P=1350 | X=0090.020-0106.660 | Y=0529.060-0538.380 | 194
P=1350 | X=0424.970-0450.020 | Y=0529.060-0538.380 | 1.900
P=1350 | X=0461.210-0486.250 | Y=0529.060-0538.380 | 1.300
P=1350 | X=0497.230-0522.280 | Y=0529.060-0538.380 | 1.100
P=1350 | X=0106.850-0337.930 | Y=0538.490-0549.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1350 | X=0106.850-0384.020 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1350 | X=0106.850-0392.110 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1350 | X=0106.850-0395.510 | Y=0585.290-0596.530 | Đường 9 ấp An Chu đoạn từ Đầu ngã 4 KCN Sông Mây đến Nhà
P=1350 | X=0106.850-0359.770 | Y=0596.810-0608.050 | Nghỉ EVA có hiện trạng là đường nhựa, bê tông xi măng:
P=1350 | X=0090.020-0338.400 | Y=0614.330-0628.670 | 195 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1350 | X=0424.970-0450.020 | Y=0619.350-0628.670 | 1.600
P=1350 | X=0461.210-0486.260 | Y=0619.350-0628.670 | 1.100
P=1350 | X=0505.390-0522.030 | Y=0619.350-0628.670 | 960
P=1350 | X=0106.850-0413.270 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1350 | X=0106.850-0148.530 | Y=0643.390-0654.630 | ≤1.000m.
P=1350 | X=0106.850-0330.020 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1350 | X=0106.850-0392.110 | Y=0678.670-0689.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1350 | X=0090.020-0395.510 | Y=0690.190-0701.430 | 196 Đường 9 ấp An Chu đoạn từ Đầu ngã 4 KCN Sông Mây đến Nhà
P=1350 | X=0424.970-0450.020 | Y=0692.070-0701.390 | 1.200
P=1350 | X=0469.370-0486.010 | Y=0692.070-0701.390 | 840
P=1350 | X=0505.390-0522.030 | Y=0692.070-0701.390 | 720
P=1350 | X=0106.850-0359.770 | Y=0701.730-0712.970 | Nghỉ EVA có hiện trạng là đường nhựa, bê tông xi măng:
P=1351 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1351 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1351 | X=0090.020-0196.920 | Y=0113.780-0125.020 | 197 Đường 9 ấp An Chu
P=1351 | X=0322.200-0375.820 | Y=0113.780-0125.020 | Cuối đường
P=1351 | X=0235.540-0300.340 | Y=0115.660-0124.980 | Nhà Nghỉ EVA
P=1351 | X=0424.970-0450.020 | Y=0115.660-0124.980 | 3.100
P=1351 | X=0461.210-0486.260 | Y=0115.660-0124.980 | 2.200
P=1351 | X=0497.230-0522.280 | Y=0115.660-0124.980 | 1.900
P=1351 | X=0106.850-0413.740 | Y=0131.570-0142.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 9 ấp An Chu
P=1351 | X=0106.850-0388.300 | Y=0143.090-0154.330 | đoạn từ Nhà Nghỉ EVA đến Cuối đường có hiện trạng là đường
P=1351 | X=0106.850-0209.960 | Y=0154.610-0165.850 | nhựa, bê tông xi măng:
P=1351 | X=0090.020-0106.660 | Y=0162.490-0171.810 | 198
P=1351 | X=0424.970-0450.020 | Y=0162.490-0171.810 | 2.000
P=1351 | X=0461.210-0486.260 | Y=0162.490-0171.810 | 1.400
P=1351 | X=0497.230-0522.280 | Y=0162.490-0171.810 | 1.200
P=1351 | X=0106.850-0337.930 | Y=0172.130-0183.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1351 | X=0106.850-0384.020 | Y=0189.410-0200.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1351 | X=0106.850-0413.740 | Y=0207.190-0218.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 9 ấp An Chu
P=1351 | X=0106.850-0388.300 | Y=0218.710-0229.950 | đoạn từ Nhà Nghỉ EVA đến Cuối đường có hiện trạng là đường
P=1351 | X=0106.850-0209.960 | Y=0230.230-0241.470 | nhựa, bê tông xi măng:
P=1351 | X=0090.020-0338.400 | Y=0247.750-0262.070 | 199 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1351 | X=0424.970-0450.020 | Y=0252.750-0262.070 | 1.200
P=1351 | X=0469.370-0486.010 | Y=0252.750-0262.070 | 840
P=1351 | X=0505.390-0522.030 | Y=0252.750-0262.070 | 720
P=1351 | X=0106.850-0413.260 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1351 | X=0106.850-0148.530 | Y=0276.790-0288.030 | ≤1.000m.
P=1351 | X=0106.850-0330.020 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1351 | X=0106.850-0413.740 | Y=0312.100-0323.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 9 ấp An Chu
P=1351 | X=0106.850-0388.300 | Y=0323.620-0334.860 | đoạn từ Nhà Nghỉ EVA đến Cuối đường có hiện trạng là đường
P=1351 | X=0106.850-0209.960 | Y=0335.140-0346.380 | nhựa, bê tông xi măng:
P=1351 | X=0090.020-0106.660 | Y=0343.020-0352.340 | 200
P=1351 | X=0433.130-0449.770 | Y=0343.020-0352.340 | 550
P=1351 | X=0469.370-0486.010 | Y=0343.020-0352.340 | 390
P=1351 | X=0505.390-0522.030 | Y=0343.020-0352.340 | 330
P=1351 | X=0106.850-0392.640 | Y=0352.660-0363.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1351 | X=0106.850-0330.490 | Y=0369.960-0381.200 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1351 | X=0106.850-0392.110 | Y=0387.720-0398.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1351 | X=0106.850-0412.070 | Y=0399.240-0410.480 | Đường 9 ấp An Chu đoạn từ Nhà Nghỉ EVA đến Cuối đường có hiện
P=1351 | X=0106.850-0278.660 | Y=0410.760-0422.000 | trạng là đường nhựa, bê tông xi măng:
P=1351 | X=0090.020-0106.660 | Y=0418.640-0427.960 | 201
P=1351 | X=0424.970-0450.020 | Y=0418.640-0427.960 | 1.800
P=1351 | X=0461.210-0486.260 | Y=0418.640-0427.960 | 1.300
P=1351 | X=0497.230-0522.280 | Y=0418.640-0427.960 | 1.100
P=1351 | X=0106.850-0337.930 | Y=0428.280-0439.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1351 | X=0106.850-0384.020 | Y=0445.800-0457.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1351 | X=0106.850-0392.110 | Y=0463.580-0474.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1351 | X=0106.850-0412.070 | Y=0475.100-0486.340 | Đường 9 ấp An Chu đoạn từ Nhà Nghỉ EVA đến Cuối đường có hiện
P=1351 | X=0106.850-0278.630 | Y=0486.620-0497.860 | trạng là đường nhựa, bê tông xi măng:
P=1351 | X=0090.020-0338.400 | Y=0504.140-0518.220 | 202 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1351 | X=0424.970-0450.020 | Y=0508.900-0518.220 | 1.100
P=1351 | X=0469.370-0486.010 | Y=0508.900-0518.220 | 770
P=1351 | X=0505.390-0522.030 | Y=0508.900-0518.220 | 660
P=1351 | X=0106.850-0413.270 | Y=0521.660-0532.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1351 | X=0106.850-0148.530 | Y=0533.210-0544.450 | ≤1.000m.
P=1351 | X=0106.850-0330.020 | Y=0550.490-0561.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1351 | X=0106.850-0392.110 | Y=0568.250-0579.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1351 | X=0106.850-0412.070 | Y=0579.770-0591.010 | Đường 9 ấp An Chu đoạn từ Nhà Nghỉ EVA đến Cuối đường có hiện
P=1351 | X=0106.850-0278.630 | Y=0591.290-0602.530 | trạng là đường nhựa, bê tông xi măng:
P=1351 | X=0090.020-0106.660 | Y=0599.170-0608.490 | 203
P=1351 | X=0433.130-0449.770 | Y=0599.170-0608.490 | 500
P=1351 | X=0469.370-0486.010 | Y=0599.170-0608.490 | 350
P=1351 | X=0505.390-0522.030 | Y=0599.170-0608.490 | 300
P=1351 | X=0106.850-0392.640 | Y=0608.810-0620.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1351 | X=0106.850-0330.490 | Y=0626.350-0637.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1351 | X=0322.200-0401.260 | Y=0644.110-0655.350 | Đường số 2 trong
P=1351 | X=0090.020-0183.240 | Y=0649.870-0661.110 | 204 Đường An Chu 7
P=1351 | X=0235.540-0286.750 | Y=0649.870-0661.110 | Đường 767
P=1351 | X=0424.970-0450.020 | Y=0651.750-0661.070 | 9.400
P=1351 | X=0461.210-0486.260 | Y=0651.750-0661.070 | 6.600
P=1351 | X=0497.230-0522.280 | Y=0651.750-0661.070 | 5.600
P=1351 | X=0322.200-0343.400 | Y=0657.510-0666.830 | KCN
P=1351 | X=0106.850-0399.790 | Y=0673.390-0684.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường An Chu 7
P=1351 | X=0090.020-0391.650 | Y=0684.910-0696.150 | 205 đoạn từ Đường 767 đến Đường số 2 trong KCN có hiện trạng là
P=1351 | X=0424.970-0450.020 | Y=0686.790-0696.110 | 4.700
P=1351 | X=0461.210-0486.260 | Y=0686.790-0696.110 | 3.300
