TABLE=041 | AREA=Xã Gia Kiệm | SECTION=non-agricultural | SEGMENTS=1
P=1429 | X=0094.820-0342.480 | Y=0357.940-0372.260 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1429 | X=0415.580-0432.220 | Y=0362.940-0372.260 | 770
P=1429 | X=0462.650-0479.290 | Y=0362.940-0372.260 | 540
P=1429 | X=0505.390-0522.030 | Y=0362.940-0372.260 | 460
P=1429 | X=0110.930-0364.240 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1429 | X=0110.930-0205.880 | Y=0387.000-0398.240 | >500m đến ≤1.000m.
P=1429 | X=0110.930-0334.100 | Y=0404.520-0415.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1429 | X=0110.930-0374.370 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1429 | X=0110.930-0372.940 | Y=0433.800-0445.040 | Dõng 3 - Sóc Lu đoạn từ Hết mét thứ 500 đến Suối có hiện
P=1429 | X=0110.930-0282.710 | Y=0445.320-0456.560 | trạng là đường nhựa, bê tông xi măng:
P=1429 | X=0094.820-0105.940 | Y=0458.980-0468.300 | 81
P=1429 | X=0415.580-0432.220 | Y=0458.980-0468.300 | 570
P=1429 | X=0462.650-0479.290 | Y=0458.980-0468.300 | 400
P=1429 | X=0505.390-0522.030 | Y=0458.980-0468.300 | 340
P=1429 | X=0110.930-0352.040 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1429 | X=0110.930-0153.070 | Y=0476.260-0485.580 | >1.000m.
P=1429 | X=0110.930-0334.570 | Y=0491.900-0503.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1429 | X=0110.930-0384.440 | Y=0509.660-0520.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1429 | X=0110.930-0376.060 | Y=0521.180-0532.420 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Hết mét thứ 500 đến
P=1429 | X=0110.930-0340.580 | Y=0532.490-0543.730 | Suối có hiện trạng là đường nhựa, bê tông xi măng:
P=1429 | X=0094.820-0105.940 | Y=0540.370-0549.690 | 82
P=1429 | X=0415.580-0432.220 | Y=0540.370-0549.690 | 990
P=1429 | X=0462.650-0479.290 | Y=0540.370-0549.690 | 690
P=1429 | X=0505.390-0522.030 | Y=0540.370-0549.690 | 590
P=1429 | X=0110.930-0342.020 | Y=0550.010-0561.250 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1429 | X=0110.930-0388.120 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1429 | X=0110.930-0384.440 | Y=0585.290-0596.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1429 | X=0110.930-0376.060 | Y=0596.810-0608.050 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Hết mét thứ 500 đến
P=1429 | X=0110.930-0340.580 | Y=0608.330-0619.570 | Suối có hiện trạng là đường nhựa, bê tông xi măng:
P=1429 | X=0094.820-0342.480 | Y=0625.870-0640.190 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1429 | X=0415.580-0432.220 | Y=0630.870-0640.190 | 690
P=1429 | X=0462.650-0479.290 | Y=0630.870-0640.190 | 480
P=1429 | X=0505.390-0522.030 | Y=0630.870-0640.190 | 410
P=1429 | X=0110.930-0364.240 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1429 | X=0110.930-0205.880 | Y=0654.910-0666.150 | >500m đến ≤1.000m.
P=1429 | X=0110.930-0334.100 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1429 | X=0110.930-0384.440 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1429 | X=0094.820-0105.940 | Y=0697.830-0707.150 | 84
P=1429 | X=0415.580-0432.220 | Y=0697.830-0707.150 | 510
P=1429 | X=0462.650-0479.290 | Y=0697.830-0707.150 | 360
P=1429 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 310
P=1429 | X=0110.930-0376.060 | Y=0701.730-0712.970 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Hết mét thứ 500 đến
P=1430 | X=0110.930-0340.580 | Y=0072.500-0083.740 | Suối có hiện trạng là đường nhựa, bê tông xi măng:
P=1430 | X=0110.930-0352.040 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1430 | X=0110.930-0153.070 | Y=0103.420-0112.740 | >1.000m.
P=1430 | X=0110.930-0334.570 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1430 | X=0110.930-0199.030 | Y=0136.850-0148.090 | Đường Võ Dõng 3 -
P=1430 | X=0299.880-0370.050 | Y=0142.610-0153.850 | Đường tỉnh 762
P=1430 | X=0094.820-0105.940 | Y=0144.490-0153.810 | 85
P=1430 | X=0215.110-0235.140 | Y=0144.490-0153.810 | Suối
P=1430 | X=0407.420-0432.470 | Y=0144.490-0153.810 | 1.700
P=1430 | X=0454.490-0479.540 | Y=0144.490-0153.810 | 1.200
P=1430 | X=0497.230-0522.280 | Y=0144.490-0153.810 | 1.000
P=1430 | X=0110.930-0142.210 | Y=0150.250-0159.570 | Sóc Lu
P=1430 | X=0110.930-0374.370 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1430 | X=0110.930-0370.780 | Y=0177.410-0188.650 | Dõng 3 - Sóc Lu đoạn từ Suối đến Đường tỉnh 762 có hiện
P=1430 | X=0110.930-0282.710 | Y=0188.930-0200.170 | trạng là đường nhựa, bê tông xi măng:
P=1430 | X=0094.820-0105.940 | Y=0196.810-0206.130 | 86
P=1430 | X=0415.580-0432.220 | Y=0196.810-0206.130 | 890
P=1430 | X=0462.650-0479.290 | Y=0196.810-0206.130 | 620
P=1430 | X=0505.390-0522.030 | Y=0196.810-0206.130 | 530
P=1430 | X=0110.930-0342.010 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1430 | X=0110.930-0388.120 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1430 | X=0110.930-0374.370 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1430 | X=0110.930-0370.780 | Y=0253.270-0264.510 | Dõng 3 - Sóc Lu đoạn từ Suối đến Đường tỉnh 762 có hiện
P=1430 | X=0110.930-0282.710 | Y=0264.790-0276.030 | trạng là đường nhựa, bê tông xi măng:
P=1430 | X=0094.820-0342.480 | Y=0282.340-0296.420 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1430 | X=0415.580-0432.220 | Y=0287.100-0296.420 | 700
P=1430 | X=0462.650-0479.290 | Y=0287.100-0296.420 | 490
P=1430 | X=0505.390-0522.030 | Y=0287.100-0296.420 | 420
P=1430 | X=0110.930-0364.240 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1430 | X=0110.930-0205.880 | Y=0311.380-0322.620 | >500m đến ≤1.000m.
P=1430 | X=0110.930-0334.100 | Y=0328.900-0340.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1430 | X=0110.930-0374.370 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1430 | X=0110.930-0370.780 | Y=0357.940-0369.180 | Dõng 3 - Sóc Lu đoạn từ Suối đến Đường tỉnh 762 có hiện
P=1430 | X=0110.930-0282.710 | Y=0369.480-0380.720 | trạng là đường nhựa, bê tông xi măng:
P=1430 | X=0094.820-0105.940 | Y=0383.120-0392.440 | 88
P=1430 | X=0415.580-0432.220 | Y=0383.120-0392.440 | 510
P=1430 | X=0462.650-0479.290 | Y=0383.120-0392.440 | 360
P=1430 | X=0505.390-0522.030 | Y=0383.120-0392.440 | 310
P=1430 | X=0110.930-0352.040 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1430 | X=0110.930-0153.070 | Y=0400.400-0409.720 | >1.000m.
P=1430 | X=0110.930-0334.570 | Y=0416.040-0427.280 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1430 | X=0110.930-0384.440 | Y=0433.800-0445.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1430 | X=0110.930-0377.510 | Y=0445.320-0456.560 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Suối đến Đường tỉnh
P=1430 | X=0110.930-0337.220 | Y=0456.860-0468.100 | 762 có hiện trạng là đường nhựa, bê tông xi măng:
P=1430 | X=0094.820-0105.940 | Y=0464.740-0474.060 | 89
P=1430 | X=0415.580-0432.220 | Y=0464.740-0474.060 | 800
P=1430 | X=0462.650-0479.290 | Y=0464.740-0474.060 | 560
P=1430 | X=0505.390-0522.030 | Y=0464.740-0474.060 | 480
P=1430 | X=0110.930-0342.010 | Y=0474.380-0485.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1430 | X=0110.930-0388.120 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1430 | X=0110.930-0384.440 | Y=0509.660-0520.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1430 | X=0110.930-0377.510 | Y=0521.180-0532.420 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Suối đến Đường tỉnh
P=1430 | X=0110.930-0337.220 | Y=0532.490-0543.730 | 762 có hiện trạng là đường nhựa, bê tông xi măng:
P=1430 | X=0094.820-0342.480 | Y=0550.010-0564.330 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1430 | X=0415.580-0432.220 | Y=0555.010-0564.330 | 630
P=1430 | X=0462.650-0479.290 | Y=0555.010-0564.330 | 440
P=1430 | X=0505.390-0522.030 | Y=0555.010-0564.330 | 380
P=1430 | X=0110.930-0364.240 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1430 | X=0110.930-0205.880 | Y=0579.050-0590.290 | >500m đến ≤1.000m.
P=1430 | X=0110.930-0334.120 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1430 | X=0110.930-0384.440 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1430 | X=0110.930-0377.510 | Y=0625.870-0637.110 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Suối đến Đường tỉnh
P=1430 | X=0110.930-0337.220 | Y=0637.390-0648.630 | 762 có hiện trạng là đường nhựa, bê tông xi măng:
P=1430 | X=0094.820-0105.940 | Y=0651.030-0660.350 | 91
P=1430 | X=0415.580-0432.220 | Y=0651.030-0660.350 | 460
P=1430 | X=0462.650-0479.290 | Y=0651.030-0660.350 | 320
P=1430 | X=0505.390-0522.030 | Y=0651.030-0660.350 | 280
P=1430 | X=0110.930-0352.040 | Y=0654.910-0666.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1430 | X=0110.930-0153.070 | Y=0668.310-0677.630 | >1.000m.
P=1430 | X=0110.930-0334.570 | Y=0683.950-0695.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1430 | X=0094.820-0188.230 | Y=0701.730-0712.970 | 92 Đường Tây Kim -
P=1430 | X=0215.110-0263.700 | Y=0703.620-0712.940 | Quốc lộ 20
P=1430 | X=0299.880-0372.460 | Y=0703.620-0712.940 | Hết mét thứ 500
P=1430 | X=0407.420-0432.470 | Y=0703.620-0712.940 | 3.700
P=1430 | X=0454.490-0479.540 | Y=0703.620-0712.940 | 2.600
P=1430 | X=0497.230-0522.280 | Y=0703.620-0712.940 | 2.200
P=1431 | X=0110.930-0162.840 | Y=0074.380-0083.700 | Thanh Bình
P=1431 | X=0110.930-0378.830 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tây
P=1431 | X=0110.930-0385.180 | Y=0101.780-0113.020 | Kim - Thanh Bình đoạn từ Quốc lộ 20 đến Hết mét thứ 500 có
P=1431 | X=0110.930-0304.540 | Y=0113.300-0124.540 | hiện trạng là đường nhựa, bê tông xi măng:
P=1431 | X=0094.820-0105.940 | Y=0121.210-0130.530 | 93
P=1431 | X=0407.420-0432.470 | Y=0121.210-0130.530 | 1.700
P=1431 | X=0454.490-0479.540 | Y=0121.210-0130.530 | 1.200
P=1431 | X=0497.230-0522.280 | Y=0121.210-0130.530 | 1.000
P=1431 | X=0110.930-0342.010 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1431 | X=0110.930-0388.120 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1431 | X=0110.930-0378.830 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tây
P=1431 | X=0110.930-0385.180 | Y=0177.410-0188.650 | Kim - Thanh Bình đoạn từ Quốc lộ 20 đến Hết mét thứ 500 có
P=1431 | X=0110.930-0304.540 | Y=0188.930-0200.170 | hiện trạng là đường nhựa, bê tông xi măng:
P=1431 | X=0094.820-0342.480 | Y=0206.470-0220.790 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1431 | X=0407.420-0432.470 | Y=0211.470-0220.790 | 1.100
P=1431 | X=0462.650-0479.290 | Y=0211.470-0220.790 | 770
P=1431 | X=0505.390-0522.030 | Y=0211.470-0220.790 | 660
P=1431 | X=0110.930-0364.240 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1431 | X=0110.930-0205.880 | Y=0235.510-0246.750 | >500m đến ≤1.000m.
P=1431 | X=0110.930-0334.100 | Y=0253.030-0264.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1431 | X=0110.930-0378.830 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tây
P=1431 | X=0110.930-0385.180 | Y=0282.340-0293.580 | Kim - Thanh Bình đoạn từ Quốc lộ 20 đến Hết mét thứ 500 có
P=1431 | X=0110.930-0304.540 | Y=0293.860-0305.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1431 | X=0094.820-0105.940 | Y=0307.500-0316.820 | 95
P=1431 | X=0415.580-0432.220 | Y=0307.500-0316.820 | 770
P=1431 | X=0462.650-0479.290 | Y=0307.500-0316.820 | 540
P=1431 | X=0505.390-0522.030 | Y=0307.500-0316.820 | 460
P=1431 | X=0110.930-0352.040 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1431 | X=0110.930-0153.070 | Y=0324.780-0334.100 | >1.000m.
P=1431 | X=0110.930-0334.590 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1431 | X=0110.930-0384.440 | Y=0357.940-0369.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1431 | X=0110.930-0380.470 | Y=0369.480-0380.720 | ra Đường Tây Kim - Thanh Bình đoạn từ Quốc lộ 20 đến Hết
P=1431 | X=0110.930-0374.440 | Y=0381.000-0392.240 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1431 | X=0094.820-0105.940 | Y=0388.880-0398.200 | 96
P=1431 | X=0407.420-0432.470 | Y=0388.880-0398.200 | 1.500
P=1431 | X=0454.490-0479.540 | Y=0388.880-0398.200 | 1.100
P=1431 | X=0505.390-0522.030 | Y=0388.880-0398.200 | 900
P=1431 | X=0110.930-0342.010 | Y=0398.520-0409.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1431 | X=0110.930-0388.120 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1431 | X=0110.930-0384.440 | Y=0433.800-0445.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1431 | X=0110.930-0380.470 | Y=0445.320-0456.560 | ra Đường Tây Kim - Thanh Bình đoạn từ Quốc lộ 20 đến Hết
P=1431 | X=0110.930-0374.440 | Y=0456.860-0468.100 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1431 | X=0094.820-0342.480 | Y=0474.380-0488.460 | 97 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1431 | X=0415.580-0432.220 | Y=0479.140-0488.460 | 990
P=1431 | X=0462.650-0479.290 | Y=0479.140-0488.460 | 690
P=1431 | X=0505.390-0522.030 | Y=0479.140-0488.460 | 590
P=1431 | X=0110.930-0364.240 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1431 | X=0110.930-0205.880 | Y=0503.420-0514.660 | >500m đến ≤1.000m.
P=1431 | X=0110.930-0334.100 | Y=0520.940-0532.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1431 | X=0110.930-0384.440 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1431 | X=0110.930-0380.470 | Y=0550.010-0561.250 | ra Đường Tây Kim - Thanh Bình đoạn từ Quốc lộ 20 đến Hết
P=1431 | X=0110.930-0374.440 | Y=0561.530-0572.770 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1431 | X=0094.820-0105.940 | Y=0575.170-0584.490 | 98
P=1431 | X=0415.580-0432.220 | Y=0575.170-0584.490 | 690
P=1431 | X=0462.650-0479.290 | Y=0575.170-0584.490 | 480
P=1431 | X=0505.390-0522.030 | Y=0575.170-0584.490 | 410
P=1431 | X=0110.930-0352.040 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1431 | X=0110.930-0153.070 | Y=0592.450-0601.770 | >1.000m.
P=1431 | X=0110.930-0334.570 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1431 | X=0110.930-0188.230 | Y=0625.870-0637.110 | Đường Tây Kim -
P=1431 | X=0299.880-0377.950 | Y=0627.750-0637.070 | Giáp ranh xã Bàu
P=1431 | X=0094.820-0105.940 | Y=0633.510-0642.830 | 99
P=1431 | X=0215.110-0287.700 | Y=0633.510-0642.830 | Hết mét thứ 500
P=1431 | X=0407.420-0432.470 | Y=0633.510-0642.830 | 2.700
P=1431 | X=0454.490-0479.540 | Y=0633.510-0642.830 | 1.900
P=1431 | X=0497.230-0522.280 | Y=0633.510-0642.830 | 1.600
P=1431 | X=0110.930-0162.840 | Y=0639.270-0648.590 | Thanh Bình
P=1431 | X=0299.880-0321.000 | Y=0639.270-0648.590 | Hàm
P=1431 | X=0110.930-0378.830 | Y=0655.150-0666.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tây
P=1431 | X=0110.930-0380.830 | Y=0666.670-0677.910 | Kim - Thanh Bình đoạn từ Hết mét thứ 500 đến Giáp ranh xã
P=1431 | X=0091.940-0362.160 | Y=0677.190-0689.430 | 100 Bàu Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1431 | X=0407.420-0432.470 | Y=0677.190-0686.510 | 1.100
P=1431 | X=0462.650-0479.290 | Y=0677.190-0686.510 | 770
P=1431 | X=0505.390-0522.030 | Y=0677.190-0686.510 | 660
P=1431 | X=0110.930-0342.040 | Y=0695.710-0706.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1432 | X=0110.930-0388.120 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1432 | X=0110.930-0378.830 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tây
P=1432 | X=0110.930-0380.830 | Y=0107.780-0119.020 | Kim - Thanh Bình đoạn từ Hết mét thứ 500 đến Giáp ranh xã
P=1432 | X=0110.930-0362.160 | Y=0119.330-0130.570 | Bàu Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1432 | X=0091.940-0342.480 | Y=0136.850-0150.930 | 101 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1432 | X=0415.580-0432.220 | Y=0141.610-0150.930 | 830
P=1432 | X=0462.650-0479.290 | Y=0141.610-0150.930 | 580
P=1432 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 500
P=1432 | X=0110.930-0364.240 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1432 | X=0110.930-0205.880 | Y=0165.650-0176.890 | >500m đến ≤1.000m.
P=1432 | X=0110.930-0334.100 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1432 | X=0110.930-0378.830 | Y=0200.950-0212.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tây
P=1432 | X=0110.930-0380.830 | Y=0212.470-0223.710 | Kim - Thanh Bình đoạn từ Hết mét thứ 500 đến Giáp ranh xã
P=1432 | X=0110.930-0362.160 | Y=0223.990-0235.230 | Bàu Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1432 | X=0091.940-0108.580 | Y=0237.630-0246.950 | 102
P=1432 | X=0415.580-0432.220 | Y=0237.630-0246.950 | 510
P=1432 | X=0462.650-0479.290 | Y=0237.630-0246.950 | 360
P=1432 | X=0505.390-0522.030 | Y=0237.630-0246.950 | 310
P=1432 | X=0110.930-0352.040 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1432 | X=0110.930-0153.070 | Y=0254.910-0264.230 | >1.000m.
P=1432 | X=0110.930-0334.570 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1432 | X=0110.930-0384.440 | Y=0288.340-0299.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1432 | X=0110.930-0386.140 | Y=0299.860-0311.100 | ra Đường Tây Kim - Thanh Bình đoạn từ Hết mét thứ 500 đến
P=1432 | X=0110.930-0381.790 | Y=0311.380-0322.620 | Giáp ranh xã Bàu Hàm có hiện trạng là đường nhựa, bê tông
P=1432 | X=0091.940-0148.760 | Y=0322.900-0334.340 | 103 xi măng:
P=1432 | X=0415.580-0432.220 | Y=0325.020-0334.340 | 990
P=1432 | X=0462.650-0479.290 | Y=0325.020-0334.340 | 690
P=1432 | X=0505.390-0522.030 | Y=0325.020-0334.340 | 590
P=1432 | X=0110.930-0342.010 | Y=0340.420-0351.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1432 | X=0110.930-0388.130 | Y=0357.700-0368.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1432 | X=0110.930-0384.440 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1432 | X=0110.930-0386.140 | Y=0387.000-0398.240 | ra Đường Tây Kim - Thanh Bình đoạn từ Hết mét thứ 500 đến
P=1432 | X=0110.930-0381.790 | Y=0398.520-0409.760 | Giáp ranh xã Bàu Hàm có hiện trạng là đường nhựa, bê tông
P=1432 | X=0110.930-0148.760 | Y=0410.040-0421.280 | xi măng:
P=1432 | X=0091.940-0342.480 | Y=0426.800-0438.800 | 104 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1432 | X=0415.580-0432.220 | Y=0426.800-0436.120 | 750
P=1432 | X=0462.650-0479.290 | Y=0426.800-0436.120 | 530
P=1432 | X=0505.390-0522.030 | Y=0426.800-0436.120 | 450
P=1432 | X=0110.930-0364.240 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1432 | X=0110.930-0205.880 | Y=0456.620-0467.860 | >500m đến ≤1.000m.
P=1432 | X=0110.930-0334.100 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1432 | X=0110.930-0384.440 | Y=0491.900-0503.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1432 | X=0110.930-0386.140 | Y=0503.420-0514.660 | ra Đường Tây Kim - Thanh Bình đoạn từ Hết mét thứ 500 đến
P=1432 | X=0110.930-0381.790 | Y=0514.940-0526.180 | Giáp ranh xã Bàu Hàm có hiện trạng là đường nhựa, bê tông
P=1432 | X=0110.930-0148.760 | Y=0526.220-0537.460 | xi măng:
P=1432 | X=0091.940-0108.580 | Y=0534.100-0543.420 | 105
P=1432 | X=0415.580-0432.220 | Y=0534.100-0543.420 | 460
P=1432 | X=0462.650-0479.290 | Y=0534.100-0543.420 | 320
P=1432 | X=0505.390-0522.030 | Y=0534.100-0543.420 | 280
P=1432 | X=0110.930-0352.040 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1432 | X=0110.930-0153.070 | Y=0557.170-0566.490 | >1.000m.
P=1432 | X=0110.930-0334.570 | Y=0572.810-0584.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1432 | X=0110.930-0181.100 | Y=0590.570-0601.810 | Đường tỉnh 770
P=1432 | X=0299.880-0382.300 | Y=0596.330-0607.570 | Giáp ranh phường
P=1432 | X=0091.940-0263.700 | Y=0602.090-0613.330 | 106 (đường Suối Tre - Bình Quốc lộ 20
P=1432 | X=0407.420-0432.470 | Y=0603.970-0613.290 | 2.700
P=1432 | X=0454.490-0479.540 | Y=0603.970-0613.290 | 1.900
P=1432 | X=0497.230-0522.280 | Y=0603.970-0613.290 | 1.600
P=1432 | X=0299.880-0339.480 | Y=0609.730-0619.050 | Bình Lộc
P=1432 | X=0110.930-0143.800 | Y=0613.610-0624.850 | Lộc cũ)
P=1432 | X=0110.930-0378.470 | Y=0631.390-0642.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1432 | X=0110.930-0377.270 | Y=0642.910-0654.150 | 770 (đường Suối Tre - Bình Lộc cũ) đoạn từ Quốc lộ 20 đến
P=1432 | X=0110.930-0382.300 | Y=0654.430-0665.670 | Giáp ranh phường Bình Lộc có hiện trạng là đường nhựa, bê
P=1432 | X=0091.940-0171.090 | Y=0665.950-0677.390 | 107 tông xi măng:
P=1432 | X=0407.420-0432.470 | Y=0668.070-0677.390 | 1.400
P=1432 | X=0462.650-0479.290 | Y=0668.070-0677.390 | 980
P=1432 | X=0505.390-0522.030 | Y=0668.070-0677.390 | 840
P=1432 | X=0110.930-0342.010 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1432 | X=0110.930-0388.120 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1433 | X=0110.930-0378.470 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1433 | X=0110.930-0377.270 | Y=0090.020-0101.260 | 770 (đường Suối Tre - Bình Lộc cũ) đoạn từ Quốc lộ 20 đến
P=1433 | X=0110.930-0382.300 | Y=0101.540-0112.780 | Giáp ranh phường Bình Lộc có hiện trạng là đường nhựa, bê
P=1433 | X=0110.930-0171.090 | Y=0113.060-0124.300 | tông xi măng:
P=1433 | X=0091.940-0342.480 | Y=0129.610-0141.850 | 108 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1433 | X=0415.580-0432.220 | Y=0129.610-0138.930 | 830
P=1433 | X=0462.650-0479.290 | Y=0129.610-0138.930 | 580
P=1433 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 500
P=1433 | X=0110.930-0364.240 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1433 | X=0110.930-0205.880 | Y=0159.410-0170.650 | >500m đến ≤1.000m.
