TABLE=051 | AREA=Xã Phú Lâm | SECTION=non-agricultural | SEGMENTS=1
P=1712 | X=0433.130-0449.770 | Y=0508.900-0518.220 | 350
P=1712 | X=0469.370-0486.010 | Y=0508.900-0518.220 | 250
P=1712 | X=0505.390-0522.030 | Y=0508.900-0518.220 | 210
P=1712 | X=0106.850-0413.270 | Y=0521.660-0532.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1712 | X=0106.850-0148.530 | Y=0533.210-0544.450 | ≤1.000m.
P=1712 | X=0106.850-0330.020 | Y=0550.490-0561.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1712 | X=0106.850-0392.110 | Y=0568.250-0579.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1712 | X=0106.850-0397.890 | Y=0579.770-0591.010 | Đường 5 Tấn đoạn từ Km 0+500 đến Km 0+1000 có hiện trạng là
P=1712 | X=0106.850-0242.600 | Y=0591.290-0602.530 | đường nhựa, bê tông xi măng:
P=1712 | X=0090.020-0106.660 | Y=0599.170-0608.490 | 189
P=1712 | X=0433.130-0449.770 | Y=0599.170-0608.490 | 200
P=1712 | X=0469.370-0486.010 | Y=0599.170-0608.490 | 140
P=1712 | X=0505.390-0522.030 | Y=0599.170-0608.490 | 120
P=1712 | X=0106.850-0392.640 | Y=0608.810-0620.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1712 | X=0106.850-0330.490 | Y=0626.350-0637.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1712 | X=0322.200-0399.790 | Y=0645.990-0655.310 | Giáp ranh xã Tân
P=1712 | X=0090.020-0166.960 | Y=0649.870-0661.110 | 190 Đường 5 Tấn
P=1712 | X=0235.540-0287.210 | Y=0651.750-0661.070 | Km 0+1000
P=1712 | X=0433.130-0449.770 | Y=0651.750-0661.070 | 910
P=1712 | X=0469.370-0486.010 | Y=0651.750-0661.070 | 640
P=1712 | X=0505.390-0522.030 | Y=0651.750-0661.070 | 550
P=1712 | X=0322.200-0340.040 | Y=0657.510-0666.830 | Phú
P=1712 | X=0106.850-0408.710 | Y=0673.390-0684.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 5 Tấn đoạn
P=1712 | X=0090.020-0394.790 | Y=0684.910-0696.150 | 191 từ Km 0+1000 đến Giáp ranh xã Tân Phú có hiện trạng là đường
P=1712 | X=0433.130-0449.770 | Y=0686.790-0696.110 | 460
P=1712 | X=0469.370-0486.010 | Y=0686.790-0696.110 | 320
P=1712 | X=0505.390-0522.030 | Y=0686.790-0696.110 | 280
P=1712 | X=0106.850-0209.960 | Y=0696.430-0707.670 | nhựa, bê tông xi măng:
P=1713 | X=0106.850-0337.930 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1713 | X=0106.850-0384.020 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1713 | X=0106.850-0408.710 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 5 Tấn đoạn
P=1713 | X=0106.850-0394.790 | Y=0125.330-0136.570 | từ Km 0+1000 đến Giáp ranh xã Tân Phú có hiện trạng là đường
P=1713 | X=0106.850-0210.000 | Y=0136.850-0148.090 | nhựa, bê tông xi măng:
P=1713 | X=0090.020-0338.400 | Y=0154.370-0168.450 | 192 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1713 | X=0433.130-0449.770 | Y=0159.130-0168.450 | 330
P=1713 | X=0469.370-0486.010 | Y=0159.130-0168.450 | 230
P=1713 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 200
P=1713 | X=0106.850-0413.270 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1713 | X=0106.850-0148.530 | Y=0183.170-0194.410 | ≤1.000m.
P=1713 | X=0106.850-0330.020 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1713 | X=0106.850-0408.710 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 5 Tấn đoạn
P=1713 | X=0106.850-0394.790 | Y=0229.990-0241.230 | từ Km 0+1000 đến Giáp ranh xã Tân Phú có hiện trạng là đường
P=1713 | X=0106.850-0209.960 | Y=0241.510-0252.750 | nhựa, bê tông xi măng:
P=1713 | X=0090.020-0106.660 | Y=0249.390-0258.710 | 193
P=1713 | X=0433.130-0449.770 | Y=0249.390-0258.710 | 210
P=1713 | X=0469.370-0486.010 | Y=0249.390-0258.710 | 150
P=1713 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 130
P=1713 | X=0106.850-0392.640 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1713 | X=0106.850-0330.490 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1713 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1713 | X=0106.850-0413.500 | Y=0305.860-0317.100 | Đường 5 Tấn đoạn từ Km 0+1000 đến Giáp ranh xã Tân Phú có hiện
P=1713 | X=0106.850-0278.630 | Y=0317.380-0328.620 | trạng là đường nhựa, bê tông xi măng:
P=1713 | X=0090.020-0106.660 | Y=0325.260-0334.580 | 194
P=1713 | X=0433.130-0449.770 | Y=0325.260-0334.580 | 410
P=1713 | X=0469.370-0486.010 | Y=0325.260-0334.580 | 290
P=1713 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 250
P=1713 | X=0106.850-0337.930 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1713 | X=0106.850-0384.020 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1713 | X=0106.850-0392.110 | Y=0369.960-0381.200 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1713 | X=0106.850-0413.500 | Y=0381.480-0392.720 | Đường 5 Tấn đoạn từ Km 0+1000 đến Giáp ranh xã Tân Phú có hiện
P=1713 | X=0106.850-0278.630 | Y=0393.000-0404.240 | trạng là đường nhựa, bê tông xi măng:
P=1713 | X=0090.020-0338.400 | Y=0410.520-0424.840 | 195 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1713 | X=0433.130-0449.770 | Y=0415.520-0424.840 | 300
P=1713 | X=0469.370-0486.010 | Y=0415.520-0424.840 | 210
P=1713 | X=0505.390-0522.030 | Y=0415.520-0424.840 | 180
P=1713 | X=0106.850-0413.260 | Y=0428.040-0439.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1713 | X=0106.850-0148.530 | Y=0439.560-0450.800 | ≤1.000m.
P=1713 | X=0106.850-0330.020 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1713 | X=0106.850-0392.110 | Y=0474.860-0486.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1713 | X=0106.850-0413.500 | Y=0486.380-0497.620 | Đường 5 Tấn đoạn từ Km 0+1000 đến Giáp ranh xã Tân Phú có hiện
P=1713 | X=0106.850-0278.630 | Y=0497.900-0509.140 | trạng là đường nhựa, bê tông xi măng:
P=1713 | X=0090.020-0106.660 | Y=0505.780-0515.100 | 196
P=1713 | X=0433.130-0449.770 | Y=0505.780-0515.100 | 190
P=1713 | X=0469.370-0486.010 | Y=0505.780-0515.100 | 130
P=1713 | X=0505.390-0522.030 | Y=0505.780-0515.100 | 110
P=1713 | X=0106.850-0392.640 | Y=0515.420-0526.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1713 | X=0106.850-0330.490 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1713 | X=0106.850-0218.560 | Y=0550.490-0561.730 | Đường Phú Lâm - Thanh
P=1713 | X=0090.020-0106.660 | Y=0558.130-0567.450 | 197
P=1713 | X=0235.540-0284.100 | Y=0558.130-0567.450 | Quốc lộ 20
P=1713 | X=0322.200-0392.380 | Y=0558.130-0567.450 | Suối Cầu Trắng
P=1713 | X=0424.970-0450.020 | Y=0558.130-0567.450 | 1.600
P=1713 | X=0461.210-0486.260 | Y=0558.130-0567.450 | 1.100
P=1713 | X=0505.390-0522.030 | Y=0558.130-0567.450 | 960
P=1713 | X=0106.850-0125.880 | Y=0562.010-0573.250 | Sơn
P=1713 | X=0106.850-0404.300 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1713 | X=0106.850-0408.930 | Y=0591.290-0602.530 | Thanh Sơn đoạn từ Quốc lộ 20 đến Suối Cầu Trắng có hiện trạng là
P=1713 | X=0106.850-0242.600 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=1713 | X=0090.020-0106.660 | Y=0610.690-0620.010 | 198
P=1713 | X=0433.130-0449.770 | Y=0610.690-0620.010 | 720
P=1713 | X=0469.370-0486.010 | Y=0610.690-0620.010 | 500
P=1713 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 430
P=1713 | X=0106.850-0337.930 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1713 | X=0106.850-0384.020 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1713 | X=0106.850-0404.300 | Y=0655.630-0666.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1713 | X=0106.850-0408.930 | Y=0667.150-0678.390 | Thanh Sơn đoạn từ Quốc lộ 20 đến Suối Cầu Trắng có hiện trạng là
P=1713 | X=0090.020-0242.600 | Y=0677.670-0689.910 | 199 đường nhựa, bê tông xi măng:
P=1713 | X=0433.130-0449.770 | Y=0677.670-0686.990 | 520
P=1713 | X=0469.370-0486.010 | Y=0677.670-0686.990 | 360
P=1713 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 310
P=1713 | X=0106.850-0338.400 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1714 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1714 | X=0106.850-0148.530 | Y=0090.020-0101.260 | ≤1.000m.
P=1714 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1714 | X=0106.850-0404.300 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1714 | X=0106.850-0408.930 | Y=0136.850-0148.090 | Thanh Sơn đoạn từ Quốc lộ 20 đến Suối Cầu Trắng có hiện trạng là
P=1714 | X=0106.850-0242.600 | Y=0148.370-0159.610 | đường nhựa, bê tông xi măng:
P=1714 | X=0090.020-0106.660 | Y=0156.250-0165.570 | 200
P=1714 | X=0433.130-0449.770 | Y=0156.250-0165.570 | 260
P=1714 | X=0469.370-0486.010 | Y=0156.250-0165.570 | 180
P=1714 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 160
P=1714 | X=0106.850-0392.700 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1714 | X=0106.850-0330.490 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1714 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1714 | X=0106.850-0392.140 | Y=0212.470-0223.710 | Đường Phú Lâm - Thanh Sơn đoạn từ Quốc lộ 20 đến Suối Cầu
P=1714 | X=0106.850-0342.730 | Y=0223.990-0235.230 | Trắng có hiện trạng là đường nhựa, bê tông xi măng:
P=1714 | X=0090.020-0106.660 | Y=0231.870-0241.190 | 201
P=1714 | X=0433.130-0449.770 | Y=0231.870-0241.190 | 650
P=1714 | X=0469.370-0486.010 | Y=0231.870-0241.190 | 460
P=1714 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 390
P=1714 | X=0106.850-0337.930 | Y=0241.510-0252.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1714 | X=0106.850-0384.020 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1714 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1714 | X=0106.850-0392.140 | Y=0288.340-0299.580 | Đường Phú Lâm - Thanh Sơn đoạn từ Quốc lộ 20 đến Suối Cầu
P=1714 | X=0106.850-0342.730 | Y=0299.860-0311.100 | Trắng có hiện trạng là đường nhựa, bê tông xi măng:
P=1714 | X=0090.020-0338.400 | Y=0317.380-0331.460 | 202 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1714 | X=0433.130-0449.770 | Y=0322.140-0331.460 | 470
P=1714 | X=0469.370-0486.010 | Y=0322.140-0331.460 | 330
P=1714 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 280
P=1714 | X=0106.850-0413.270 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1714 | X=0106.850-0148.530 | Y=0346.420-0357.660 | ≤1.000m.
P=1714 | X=0106.850-0330.020 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1714 | X=0106.850-0392.110 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1714 | X=0106.850-0392.140 | Y=0393.000-0404.240 | Đường Phú Lâm - Thanh Sơn đoạn từ Quốc lộ 20 đến Suối Cầu
P=1714 | X=0106.850-0342.730 | Y=0404.520-0415.760 | Trắng có hiện trạng là đường nhựa, bê tông xi măng:
P=1714 | X=0090.020-0106.660 | Y=0412.400-0421.720 | 203
P=1714 | X=0433.130-0449.770 | Y=0412.400-0421.720 | 230
P=1714 | X=0469.370-0486.010 | Y=0412.400-0421.720 | 160
P=1714 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 140
P=1714 | X=0106.850-0392.640 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1714 | X=0106.850-0330.490 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1714 | X=0106.850-0218.560 | Y=0457.340-0468.580 | Đường Phú Lâm - Thanh
P=1714 | X=0322.200-0370.750 | Y=0463.100-0474.340 | Hồ Đa Tôn
P=1714 | X=0090.020-0106.660 | Y=0464.980-0474.300 | 204
P=1714 | X=0235.540-0305.720 | Y=0464.980-0474.300 | Suối Cầu Trắng
P=1714 | X=0433.130-0449.770 | Y=0464.980-0474.300 | 780
P=1714 | X=0469.370-0486.010 | Y=0464.980-0474.300 | 550
P=1714 | X=0505.390-0522.030 | Y=0464.980-0474.300 | 470
P=1714 | X=0106.850-0125.880 | Y=0468.860-0480.100 | Sơn
P=1714 | X=0106.850-0404.300 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1714 | X=0106.850-0408.930 | Y=0498.140-0509.380 | Thanh Sơn đoạn từ Suối Cầu Trắng đến Hồ Đa Tôn có hiện trạng là
P=1714 | X=0106.850-0242.600 | Y=0509.660-0520.900 | đường nhựa, bê tông xi măng:
P=1714 | X=0090.020-0106.660 | Y=0517.540-0526.860 | 205
P=1714 | X=0433.130-0449.770 | Y=0517.540-0526.860 | 390
P=1714 | X=0469.370-0486.010 | Y=0517.540-0526.860 | 270
P=1714 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 230
P=1714 | X=0106.850-0337.940 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1714 | X=0106.850-0384.020 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1714 | X=0106.850-0404.300 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1714 | X=0106.850-0408.930 | Y=0573.770-0585.010 | Thanh Sơn đoạn từ Suối Cầu Trắng đến Hồ Đa Tôn có hiện trạng là
P=1714 | X=0106.850-0242.600 | Y=0585.290-0596.530 | đường nhựa, bê tông xi măng:
P=1714 | X=0090.020-0338.400 | Y=0602.810-0617.130 | 206 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1714 | X=0433.130-0449.770 | Y=0607.810-0617.130 | 330
P=1714 | X=0469.370-0486.010 | Y=0607.810-0617.130 | 230
P=1714 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 200
P=1714 | X=0106.850-0413.270 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1714 | X=0106.850-0148.530 | Y=0631.870-0643.110 | ≤1.000m.
P=1714 | X=0106.850-0330.020 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1714 | X=0106.850-0404.300 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1714 | X=0106.850-0408.930 | Y=0678.670-0689.910 | Thanh Sơn đoạn từ Suối Cầu Trắng đến Hồ Đa Tôn có hiện trạng là
P=1714 | X=0090.020-0242.600 | Y=0689.190-0701.430 | 207 đường nhựa, bê tông xi măng:
P=1714 | X=0433.130-0449.770 | Y=0689.190-0698.510 | 210
P=1714 | X=0469.370-0486.010 | Y=0689.190-0698.510 | 150
P=1714 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 130
P=1714 | X=0106.850-0392.640 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1715 | X=0106.850-0330.490 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1715 | X=0106.850-0392.140 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1715 | X=0106.850-0401.020 | Y=0107.780-0119.020 | Đường Phú Lâm - Thanh Sơn đoạn từ Suối Cầu Trắng đến Hồ Đa
P=1715 | X=0106.850-0333.850 | Y=0119.330-0130.570 | Tôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1715 | X=0090.020-0106.660 | Y=0127.210-0136.530 | 208
P=1715 | X=0433.130-0449.770 | Y=0127.210-0136.530 | 350
P=1715 | X=0469.370-0486.010 | Y=0127.210-0136.530 | 250
P=1715 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 210
P=1715 | X=0106.850-0337.930 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1715 | X=0106.850-0384.020 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1715 | X=0106.850-0392.110 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1715 | X=0106.850-0401.020 | Y=0183.410-0194.650 | Đường Phú Lâm - Thanh Sơn đoạn từ Suối Cầu Trắng đến Hồ Đa
P=1715 | X=0106.850-0333.850 | Y=0194.930-0206.170 | Tôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1715 | X=0090.020-0338.400 | Y=0212.470-0226.790 | 209 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1715 | X=0433.130-0449.770 | Y=0217.470-0226.790 | 300
P=1715 | X=0469.370-0486.010 | Y=0217.470-0226.790 | 210
P=1715 | X=0505.390-0522.030 | Y=0217.470-0226.790 | 180
P=1715 | X=0106.850-0413.270 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1715 | X=0106.850-0148.530 | Y=0241.510-0252.750 | ≤1.000m.
P=1715 | X=0106.850-0330.020 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1715 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1715 | X=0106.850-0401.020 | Y=0288.340-0299.580 | Đường Phú Lâm - Thanh Sơn đoạn từ Suối Cầu Trắng đến Hồ Đa
P=1715 | X=0106.850-0333.880 | Y=0299.860-0311.100 | Tôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1715 | X=0090.020-0106.660 | Y=0307.740-0317.060 | 210
P=1715 | X=0433.130-0449.770 | Y=0307.740-0317.060 | 190
P=1715 | X=0469.370-0486.010 | Y=0307.740-0317.060 | 130
P=1715 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 110
P=1715 | X=0106.850-0392.640 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1715 | X=0106.850-0330.490 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1715 | X=0322.200-0404.080 | Y=0352.660-0363.900 | Hết ngã tư đi Giáo
P=1715 | X=0090.020-0199.310 | Y=0358.420-0369.660 | 211 Đường Bình Trung 2
P=1715 | X=0235.540-0284.100 | Y=0360.300-0369.620 | Quốc lộ 20
P=1715 | X=0433.130-0449.770 | Y=0360.300-0369.620 | 650
P=1715 | X=0469.370-0486.010 | Y=0360.300-0369.620 | 460
P=1715 | X=0505.390-0522.030 | Y=0360.300-0369.620 | 390
P=1715 | X=0322.200-0372.350 | Y=0365.820-0375.140 | họ Gioan B
P=1715 | X=0106.850-0415.890 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Trung 2
P=1715 | X=0106.850-0410.140 | Y=0393.240-0404.480 | đoạn từ Quốc lộ 20 đến Hết ngã tư đi Giáo họ Gioan B có hiện trạng
P=1715 | X=0106.850-0253.180 | Y=0404.760-0416.000 | là đường nhựa, bê tông xi măng:
P=1715 | X=0090.020-0106.660 | Y=0412.640-0421.960 | 212
P=1715 | X=0433.130-0449.770 | Y=0412.640-0421.960 | 330
P=1715 | X=0469.370-0486.010 | Y=0412.640-0421.960 | 230
P=1715 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 200
P=1715 | X=0106.850-0337.930 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1715 | X=0106.850-0384.020 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1715 | X=0106.850-0415.860 | Y=0457.580-0468.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Trung 2
P=1715 | X=0106.850-0410.140 | Y=0469.100-0480.340 | đoạn từ Quốc lộ 20 đến Hết ngã tư đi Giáo họ Gioan B có hiện trạng
P=1715 | X=0106.850-0253.180 | Y=0480.620-0491.860 | là đường nhựa, bê tông xi măng:
P=1715 | X=0090.020-0338.400 | Y=0498.140-0512.220 | 213 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1715 | X=0433.130-0449.770 | Y=0502.900-0512.220 | 260
P=1715 | X=0469.370-0486.010 | Y=0502.900-0512.220 | 180
P=1715 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 160
P=1715 | X=0106.850-0413.260 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1715 | X=0106.850-0148.530 | Y=0527.180-0538.420 | ≤1.000m.
P=1715 | X=0106.850-0330.020 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1715 | X=0106.850-0415.860 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Trung 2
P=1715 | X=0106.850-0410.140 | Y=0573.770-0585.010 | đoạn từ Quốc lộ 20 đến Hết ngã tư đi Giáo họ Gioan B có hiện trạng
P=1715 | X=0106.850-0253.180 | Y=0585.290-0596.530 | là đường nhựa, bê tông xi măng:
P=1715 | X=0090.020-0106.660 | Y=0593.170-0602.490 | 214
P=1715 | X=0433.130-0449.770 | Y=0593.170-0602.490 | 200
P=1715 | X=0469.370-0486.010 | Y=0593.170-0602.490 | 140
P=1715 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 120
P=1715 | X=0106.850-0392.640 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1715 | X=0106.850-0330.490 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1715 | X=0106.850-0392.110 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1715 | X=0106.850-0405.590 | Y=0649.630-0660.870 | Đường Bình Trung 2 đoạn từ Quốc lộ 20 đến Hết ngã tư đi Giáo họ
P=1715 | X=0106.850-0352.580 | Y=0661.150-0672.390 | Gioan B có hiện trạng là đường nhựa, bê tông xi măng:
P=1715 | X=0090.020-0106.660 | Y=0669.030-0678.350 | 215
P=1715 | X=0433.130-0449.770 | Y=0669.030-0678.350 | 300
P=1715 | X=0469.370-0486.010 | Y=0669.030-0678.350 | 210
P=1715 | X=0505.390-0522.030 | Y=0669.030-0678.350 | 180
P=1715 | X=0106.850-0337.930 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1715 | X=0106.850-0384.020 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1716 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1716 | X=0106.850-0405.590 | Y=0090.020-0101.260 | Đường Bình Trung 2 đoạn từ Quốc lộ 20 đến Hết ngã tư đi Giáo họ
P=1716 | X=0106.850-0352.580 | Y=0101.540-0112.780 | Gioan B có hiện trạng là đường nhựa, bê tông xi măng:
P=1716 | X=0090.020-0338.400 | Y=0119.090-0133.170 | 216 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1716 | X=0433.130-0449.770 | Y=0123.850-0133.170 | 230
P=1716 | X=0469.370-0486.010 | Y=0123.850-0133.170 | 160
P=1716 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 140
P=1716 | X=0106.850-0413.270 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1716 | X=0106.850-0148.530 | Y=0148.130-0159.370 | ≤1.000m.
P=1716 | X=0106.850-0330.020 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1716 | X=0106.850-0392.110 | Y=0183.170-0194.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1716 | X=0106.850-0405.590 | Y=0194.690-0205.930 | Đường Bình Trung 2 đoạn từ Quốc lộ 20 đến Hết ngã tư đi Giáo họ
P=1716 | X=0106.850-0352.580 | Y=0206.230-0217.470 | Gioan B có hiện trạng là đường nhựa, bê tông xi măng:
P=1716 | X=0090.020-0106.660 | Y=0214.110-0223.430 | 217
P=1716 | X=0433.130-0449.770 | Y=0214.110-0223.430 | 180
P=1716 | X=0469.370-0486.010 | Y=0214.110-0223.430 | 130
P=1716 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 110
P=1716 | X=0106.850-0392.640 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1716 | X=0106.850-0330.490 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1716 | X=0322.200-0413.980 | Y=0259.030-0270.270 | Hết ranh thửa đất số
P=1716 | X=0322.200-0409.420 | Y=0270.550-0281.790 | 154 tờ BĐĐC số 77
