TABLE=037 | AREA=Xã Bàu Hàm | SECTION=non-agricultural | SEGMENTS=1
P=1316 | X=0111.170-0334.810 | Y=0612.890-0624.130 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1316 | X=0111.170-0384.680 | Y=0630.670-0641.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1316 | X=0111.170-0363.810 | Y=0642.190-0653.430 | ra Đường Trường An - Tân Thành đoạn từ Đường Trảng
P=1316 | X=0111.170-0374.620 | Y=0653.710-0664.950 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1316 | X=0094.820-0214.280 | Y=0665.230-0676.670 | 75 nhựa, bê tông xi măng:
P=1316 | X=0408.860-0425.500 | Y=0667.350-0676.670 | 800
P=1316 | X=0456.410-0473.050 | Y=0667.350-0676.670 | 560
P=1316 | X=0505.630-0522.270 | Y=0667.350-0676.670 | 480
P=1316 | X=0111.170-0342.250 | Y=0682.510-0693.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1316 | X=0111.170-0352.280 | Y=0700.050-0711.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1317 | X=0111.170-0144.690 | Y=0072.500-0083.740 | ≤500m.
P=1317 | X=0111.170-0384.680 | Y=0090.260-0101.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1317 | X=0111.170-0363.810 | Y=0101.780-0113.020 | ra Đường Trường An - Tân Thành đoạn từ Đường Trảng
P=1317 | X=0111.170-0374.620 | Y=0113.300-0124.540 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1317 | X=0111.170-0214.280 | Y=0124.850-0136.090 | nhựa, bê tông xi măng:
P=1317 | X=0094.820-0342.720 | Y=0141.370-0153.610 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1317 | X=0408.860-0425.500 | Y=0141.370-0150.690 | 560
P=1317 | X=0456.410-0473.050 | Y=0141.370-0150.690 | 390
P=1317 | X=0505.630-0522.270 | Y=0141.370-0150.690 | 340
P=1317 | X=0111.170-0364.480 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1317 | X=0111.170-0206.120 | Y=0171.170-0182.410 | >500m đến ≤1.000m.
P=1317 | X=0111.170-0334.340 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1317 | X=0111.170-0384.680 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1317 | X=0111.170-0363.810 | Y=0217.990-0229.230 | ra Đường Trường An - Tân Thành đoạn từ Đường Trảng
P=1317 | X=0111.170-0374.620 | Y=0229.510-0240.750 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1317 | X=0111.170-0214.280 | Y=0241.030-0252.270 | nhựa, bê tông xi măng:
P=1317 | X=0094.820-0105.940 | Y=0248.910-0258.230 | 77
P=1317 | X=0408.860-0425.500 | Y=0248.910-0258.230 | 430
P=1317 | X=0456.410-0473.050 | Y=0248.910-0258.230 | 300
P=1317 | X=0505.630-0522.270 | Y=0248.910-0258.230 | 260
P=1317 | X=0111.170-0352.280 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1317 | X=0111.170-0153.310 | Y=0271.950-0281.270 | >1.000m.
P=1317 | X=0111.170-0334.810 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1317 | X=0220.150-0280.980 | Y=0305.380-0316.620 | Đường Trảng
P=1317 | X=0111.170-0200.230 | Y=0311.140-0322.380 | Đường Tân Thành -
P=1317 | X=0301.080-0357.320 | Y=0316.900-0328.140 | Hương lộ 24
P=1317 | X=0094.820-0105.940 | Y=0318.780-0328.100 | 78
P=1317 | X=0220.150-0278.110 | Y=0318.780-0328.100 | Bom - Thanh
P=1317 | X=0400.700-0425.750 | Y=0318.780-0328.100 | 1.700
P=1317 | X=0448.250-0473.300 | Y=0318.780-0328.100 | 1.200
P=1317 | X=0497.470-0522.520 | Y=0318.780-0328.100 | 1.000
P=1317 | X=0111.170-0160.220 | Y=0322.660-0333.900 | Trường An
P=1317 | X=0220.150-0240.860 | Y=0330.300-0339.620 | Bình
P=1317 | X=0111.170-0379.640 | Y=0345.940-0357.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1317 | X=0111.170-0382.030 | Y=0357.460-0368.700 | Thành - Trường An đoạn từ Đường Trảng Bom - Thanh Bình
P=1317 | X=0111.170-0365.710 | Y=0369.000-0380.240 | đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1317 | X=0111.170-0139.170 | Y=0380.520-0391.760 | măng:
P=1317 | X=0094.820-0105.940 | Y=0388.400-0397.720 | 79
P=1317 | X=0408.860-0425.500 | Y=0388.400-0397.720 | 890
P=1317 | X=0456.410-0473.050 | Y=0388.400-0397.720 | 620
P=1317 | X=0505.630-0522.270 | Y=0388.400-0397.720 | 530
P=1317 | X=0111.170-0342.250 | Y=0398.040-0409.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1317 | X=0111.170-0352.280 | Y=0415.560-0426.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1317 | X=0111.170-0144.690 | Y=0427.080-0438.320 | ≤500m.
P=1317 | X=0111.170-0379.640 | Y=0444.840-0456.080 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1317 | X=0111.170-0382.030 | Y=0456.380-0467.620 | Thành - Trường An đoạn từ Đường Trảng Bom - Thanh Bình
P=1317 | X=0111.170-0365.710 | Y=0467.900-0479.140 | đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1317 | X=0111.170-0139.170 | Y=0479.420-0490.660 | măng:
P=1317 | X=0094.820-0342.720 | Y=0495.940-0508.180 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1317 | X=0408.860-0425.500 | Y=0495.940-0505.260 | 620
P=1317 | X=0456.410-0473.050 | Y=0495.940-0505.260 | 430
P=1317 | X=0505.630-0522.270 | Y=0495.940-0505.260 | 370
P=1317 | X=0111.170-0364.480 | Y=0514.220-0525.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1317 | X=0111.170-0206.120 | Y=0525.740-0536.980 | >500m đến ≤1.000m.
P=1317 | X=0111.170-0334.340 | Y=0543.290-0554.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1317 | X=0111.170-0379.640 | Y=0561.050-0572.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1317 | X=0111.170-0382.030 | Y=0572.570-0583.810 | Thành - Trường An đoạn từ Đường Trảng Bom - Thanh Bình
P=1317 | X=0111.170-0365.710 | Y=0584.090-0595.330 | đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1317 | X=0111.170-0139.170 | Y=0595.610-0606.850 | măng:
P=1317 | X=0094.820-0105.940 | Y=0603.490-0612.810 | 81
P=1317 | X=0408.860-0425.500 | Y=0603.490-0612.810 | 480
P=1317 | X=0456.410-0473.050 | Y=0603.490-0612.810 | 340
P=1317 | X=0505.630-0522.270 | Y=0603.490-0612.810 | 290
P=1317 | X=0111.170-0352.280 | Y=0613.130-0624.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1317 | X=0111.170-0153.310 | Y=0626.550-0635.870 | >1.000m.
P=1317 | X=0111.170-0334.810 | Y=0642.190-0653.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1317 | X=0111.170-0384.680 | Y=0659.950-0671.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1317 | X=0111.170-0363.810 | Y=0671.470-0682.710 | ra Đường Tân Thành - Trường An đoạn từ Đường Trảng
P=1317 | X=0094.820-0105.940 | Y=0679.110-0688.430 | 82
P=1317 | X=0408.860-0425.500 | Y=0679.110-0688.430 | 800
P=1317 | X=0456.410-0473.050 | Y=0679.110-0688.430 | 560
P=1317 | X=0505.630-0522.270 | Y=0679.110-0688.430 | 480
P=1317 | X=0111.170-0374.620 | Y=0682.750-0693.990 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1317 | X=0111.170-0214.280 | Y=0694.270-0705.510 | nhựa, bê tông xi măng:
P=1318 | X=0111.170-0342.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1318 | X=0111.170-0352.280 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1318 | X=0111.170-0144.690 | Y=0107.540-0118.780 | ≤500m.
P=1318 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1318 | X=0111.170-0363.810 | Y=0136.850-0148.090 | ra Đường Tân Thành - Trường An đoạn từ Đường Trảng
P=1318 | X=0111.170-0374.620 | Y=0148.370-0159.610 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1318 | X=0111.170-0214.280 | Y=0159.650-0170.890 | nhựa, bê tông xi măng:
P=1318 | X=0094.820-0342.720 | Y=0176.410-0188.410 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1318 | X=0408.860-0425.500 | Y=0176.410-0185.730 | 560
P=1318 | X=0456.410-0473.050 | Y=0176.410-0185.730 | 390
P=1318 | X=0505.630-0522.270 | Y=0176.410-0185.730 | 340
P=1318 | X=0111.170-0364.480 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1318 | X=0111.170-0206.120 | Y=0206.230-0217.470 | >500m đến ≤1.000m.
P=1318 | X=0111.170-0334.340 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1318 | X=0111.170-0384.680 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1318 | X=0111.170-0363.810 | Y=0253.030-0264.270 | ra Đường Tân Thành - Trường An đoạn từ Đường Trảng
P=1318 | X=0111.170-0374.620 | Y=0264.550-0275.790 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1318 | X=0111.170-0214.280 | Y=0276.070-0287.310 | nhựa, bê tông xi măng:
P=1318 | X=0094.820-0105.940 | Y=0283.980-0293.300 | 84
P=1318 | X=0408.860-0425.500 | Y=0283.980-0293.300 | 430
P=1318 | X=0456.410-0473.050 | Y=0283.980-0293.300 | 300
P=1318 | X=0505.630-0522.270 | Y=0283.980-0293.300 | 260
P=1318 | X=0111.170-0352.280 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1318 | X=0111.170-0153.310 | Y=0307.020-0316.340 | >1.000m.
P=1318 | X=0111.170-0334.810 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1318 | X=0220.150-0280.980 | Y=0340.420-0351.660 | Đường Trảng
P=1318 | X=0111.170-0191.350 | Y=0345.940-0357.180 | Đường Đức Huy -
P=1318 | X=0301.080-0358.520 | Y=0347.820-0357.140 | Giáp ranh xã
P=1318 | X=0094.820-0105.940 | Y=0353.580-0362.900 | 85
P=1318 | X=0220.150-0278.110 | Y=0353.580-0362.900 | Bom - Thanh
P=1318 | X=0400.700-0425.750 | Y=0353.580-0362.900 | 1.700
P=1318 | X=0448.250-0473.300 | Y=0353.580-0362.900 | 1.200
P=1318 | X=0497.470-0522.520 | Y=0353.580-0362.900 | 1.000
P=1318 | X=0111.170-0207.320 | Y=0357.460-0368.700 | Thanh Bình - Dốc Mơ
P=1318 | X=0301.080-0353.320 | Y=0359.340-0368.660 | Thống Nhất
P=1318 | X=0220.150-0240.860 | Y=0365.100-0374.420 | Bình
P=1318 | X=0111.170-0381.260 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đức
P=1318 | X=0111.170-0364.220 | Y=0392.520-0403.760 | Huy - Thanh Bình - Dốc Mơ đoạn từ Đường Trảng Bom -
P=1318 | X=0111.170-0368.830 | Y=0404.040-0415.280 | Thanh Bình đến Giáp ranh xã Thống Nhất có hiện trạng là
P=1318 | X=0111.170-0246.940 | Y=0415.560-0426.800 | đường nhựa, bê tông xi măng:
P=1318 | X=0094.820-0105.940 | Y=0423.440-0432.760 | 86
P=1318 | X=0408.860-0425.500 | Y=0423.440-0432.760 | 830
P=1318 | X=0456.410-0473.050 | Y=0423.440-0432.760 | 580
P=1318 | X=0505.630-0522.270 | Y=0423.440-0432.760 | 500
P=1318 | X=0111.170-0342.250 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1318 | X=0111.170-0352.280 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1318 | X=0111.170-0144.690 | Y=0462.140-0473.380 | ≤500m.
P=1318 | X=0111.170-0381.260 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đức
P=1318 | X=0111.170-0364.220 | Y=0491.420-0502.660 | Huy - Thanh Bình - Dốc Mơ đoạn từ Đường Trảng Bom -
P=1318 | X=0111.170-0368.830 | Y=0502.940-0514.180 | Thanh Bình đến Giáp ranh xã Thống Nhất có hiện trạng là
P=1318 | X=0111.170-0246.940 | Y=0514.220-0525.460 | đường nhựa, bê tông xi măng:
P=1318 | X=0094.820-0342.720 | Y=0530.980-0542.980 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1318 | X=0408.860-0425.500 | Y=0530.980-0540.300 | 690
P=1318 | X=0456.410-0473.050 | Y=0530.980-0540.300 | 480
P=1318 | X=0505.630-0522.270 | Y=0530.980-0540.300 | 410
P=1318 | X=0111.170-0364.480 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1318 | X=0111.170-0206.120 | Y=0560.810-0572.050 | >500m đến ≤1.000m.
P=1318 | X=0111.170-0334.340 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1318 | X=0111.170-0381.260 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đức
P=1318 | X=0111.170-0364.220 | Y=0607.610-0618.850 | Huy - Thanh Bình - Dốc Mơ đoạn từ Đường Trảng Bom -
P=1318 | X=0111.170-0368.830 | Y=0619.150-0630.390 | Thanh Bình đến Giáp ranh xã Thống Nhất có hiện trạng là
P=1318 | X=0111.170-0246.950 | Y=0630.670-0641.910 | đường nhựa, bê tông xi măng:
P=1318 | X=0094.820-0105.940 | Y=0638.550-0647.870 | 88
P=1318 | X=0408.860-0425.500 | Y=0638.550-0647.870 | 480
P=1318 | X=0456.410-0473.050 | Y=0638.550-0647.870 | 340
P=1318 | X=0505.630-0522.270 | Y=0638.550-0647.870 | 290
P=1318 | X=0111.170-0352.280 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1318 | X=0111.170-0153.310 | Y=0661.590-0670.910 | >1.000m.
P=1318 | X=0111.170-0334.810 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1318 | X=0111.170-0384.680 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1318 | X=0094.820-0105.940 | Y=0702.420-0711.740 | 89
P=1318 | X=0408.860-0425.500 | Y=0702.420-0711.740 | 750
P=1318 | X=0456.410-0473.050 | Y=0702.420-0711.740 | 530
P=1318 | X=0505.630-0522.270 | Y=0702.420-0711.740 | 450
P=1318 | X=0111.170-0373.420 | Y=0706.290-0717.530 | ra Đường Đức Huy - Thanh Bình - Dốc Mơ đoạn từ Đường
P=1319 | X=0111.170-0369.310 | Y=0072.500-0083.740 | Trảng Bom - Thanh Bình đến Giáp ranh xã Thống Nhất có
P=1319 | X=0111.170-0304.780 | Y=0084.020-0095.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=1319 | X=0111.170-0342.250 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1319 | X=0111.170-0352.280 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1319 | X=0111.170-0144.690 | Y=0130.610-0141.850 | ≤500m.
P=1319 | X=0111.170-0384.680 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1319 | X=0111.170-0373.420 | Y=0159.650-0170.890 | ra Đường Đức Huy - Thanh Bình - Dốc Mơ đoạn từ Đường
P=1319 | X=0111.170-0369.310 | Y=0171.170-0182.410 | Trảng Bom - Thanh Bình đến Giáp ranh xã Thống Nhất có
P=1319 | X=0111.170-0304.780 | Y=0182.690-0193.930 | hiện trạng là đường nhựa, bê tông xi măng:
P=1319 | X=0094.820-0342.720 | Y=0199.470-0211.470 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1319 | X=0408.860-0425.500 | Y=0199.470-0208.790 | 620
P=1319 | X=0456.410-0473.050 | Y=0199.470-0208.790 | 430
P=1319 | X=0505.630-0522.270 | Y=0199.470-0208.790 | 370
P=1319 | X=0111.170-0364.480 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1319 | X=0111.170-0206.120 | Y=0229.270-0240.510 | >500m đến ≤1.000m.
P=1319 | X=0111.170-0334.340 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1319 | X=0111.170-0384.680 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1319 | X=0111.170-0373.420 | Y=0276.070-0287.310 | ra Đường Đức Huy - Thanh Bình - Dốc Mơ đoạn từ Đường
P=1319 | X=0111.170-0369.310 | Y=0287.620-0298.860 | Trảng Bom - Thanh Bình đến Giáp ranh xã Thống Nhất có
P=1319 | X=0111.170-0304.780 | Y=0299.140-0310.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=1319 | X=0094.820-0105.940 | Y=0307.020-0316.340 | 91
P=1319 | X=0408.860-0425.500 | Y=0307.020-0316.340 | 430
P=1319 | X=0456.410-0473.050 | Y=0307.020-0316.340 | 300
P=1319 | X=0505.630-0522.270 | Y=0307.020-0316.340 | 260
P=1319 | X=0111.170-0352.280 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1319 | X=0111.170-0153.310 | Y=0329.820-0339.140 | >1.000m.
P=1319 | X=0111.170-0334.810 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1319 | X=0301.080-0384.680 | Y=0363.220-0374.460 | Đường Sông Thao
P=1319 | X=0094.820-0159.730 | Y=0369.000-0380.240 | 92 Đường 3/2
P=1319 | X=0220.150-0290.350 | Y=0369.000-0380.240 | Đường tỉnh 762
P=1319 | X=0400.700-0425.750 | Y=0370.880-0380.200 | 1.200
P=1319 | X=0456.410-0473.050 | Y=0370.880-0380.200 | 840
P=1319 | X=0505.630-0522.270 | Y=0370.880-0380.200 | 720
P=1319 | X=0301.080-0348.830 | Y=0376.640-0385.960 | - Bàu Hàm
P=1319 | X=0111.170-0376.280 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3/2
P=1319 | X=0111.170-0374.520 | Y=0404.040-0415.280 | đoạn từ Đường tỉnh 762 đến Đường Sông Thao - Bàu Hàm
P=1319 | X=0111.170-0318.020 | Y=0415.560-0426.800 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1319 | X=0094.820-0105.940 | Y=0429.200-0438.520 | 93
P=1319 | X=0408.860-0425.500 | Y=0429.200-0438.520 | 850
P=1319 | X=0456.410-0473.050 | Y=0429.200-0438.520 | 600
P=1319 | X=0505.630-0522.270 | Y=0429.200-0438.520 | 510
P=1319 | X=0111.170-0342.250 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1319 | X=0111.170-0352.280 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1319 | X=0111.170-0144.690 | Y=0462.140-0473.380 | ≤500m.
P=1319 | X=0111.170-0376.280 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3/2
P=1319 | X=0111.170-0374.520 | Y=0491.420-0502.660 | đoạn từ Đường tỉnh 762 đến Đường Sông Thao - Bàu Hàm
P=1319 | X=0111.170-0318.020 | Y=0502.940-0514.180 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1319 | X=0094.820-0342.720 | Y=0520.220-0534.540 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1319 | X=0408.860-0425.500 | Y=0525.220-0534.540 | 580
P=1319 | X=0456.410-0473.050 | Y=0525.220-0534.540 | 410
P=1319 | X=0505.630-0522.270 | Y=0525.220-0534.540 | 350
P=1319 | X=0111.170-0364.480 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1319 | X=0111.170-0206.120 | Y=0549.290-0560.530 | >500m đến ≤1.000m.
P=1319 | X=0111.170-0334.340 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1319 | X=0111.170-0376.280 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3/2
P=1319 | X=0111.170-0374.520 | Y=0596.090-0607.330 | đoạn từ Đường tỉnh 762 đến Đường Sông Thao - Bàu Hàm
P=1319 | X=0111.170-0318.020 | Y=0607.610-0618.850 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1319 | X=0094.820-0105.940 | Y=0621.270-0630.590 | 95
P=1319 | X=0408.860-0425.500 | Y=0621.270-0630.590 | 410
P=1319 | X=0456.410-0473.050 | Y=0621.270-0630.590 | 290
P=1319 | X=0505.630-0522.270 | Y=0621.270-0630.590 | 250
P=1319 | X=0111.170-0352.280 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1319 | X=0111.170-0153.310 | Y=0638.550-0647.870 | >1.000m.
P=1319 | X=0111.170-0334.810 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1319 | X=0111.170-0384.680 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1319 | X=0111.170-0361.160 | Y=0683.470-0694.710 | ra Đường 3/2 đoạn từ Đường tỉnh 762 đến Đường Sông
P=1319 | X=0094.820-0105.940 | Y=0691.110-0700.430 | 96
P=1319 | X=0408.860-0425.500 | Y=0691.110-0700.430 | 770
P=1319 | X=0456.410-0473.050 | Y=0691.110-0700.430 | 540
P=1319 | X=0505.630-0522.270 | Y=0691.110-0700.430 | 460
P=1319 | X=0111.170-0363.560 | Y=0694.750-0705.990 | Thao - Bàu Hàm có hiện trạng là đường nhựa, bê tông xi
P=1319 | X=0111.170-0139.170 | Y=0706.290-0717.530 | măng:
P=1320 | X=0111.170-0342.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1320 | X=0111.170-0352.280 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1320 | X=0111.170-0144.690 | Y=0107.540-0118.780 | ≤500m.
P=1320 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1320 | X=0111.170-0361.160 | Y=0136.850-0148.090 | ra Đường 3/2 đoạn từ Đường tỉnh 762 đến Đường Sông
P=1320 | X=0111.170-0363.560 | Y=0148.370-0159.610 | Thao - Bàu Hàm có hiện trạng là đường nhựa, bê tông xi
P=1320 | X=0111.170-0139.170 | Y=0159.650-0170.890 | măng:
P=1320 | X=0094.820-0342.720 | Y=0176.410-0188.410 | 97 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1320 | X=0408.860-0425.500 | Y=0176.410-0185.730 | 520
P=1320 | X=0456.410-0473.050 | Y=0176.410-0185.730 | 360
P=1320 | X=0505.630-0522.270 | Y=0176.410-0185.730 | 310
P=1320 | X=0111.170-0364.480 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1320 | X=0111.170-0206.120 | Y=0206.230-0217.470 | >500m đến ≤1.000m.
P=1320 | X=0111.170-0334.340 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1320 | X=0111.170-0384.680 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1320 | X=0111.170-0361.160 | Y=0253.030-0264.270 | ra Đường 3/2 đoạn từ Đường tỉnh 762 đến Đường Sông
P=1320 | X=0111.170-0363.560 | Y=0264.550-0275.790 | Thao - Bàu Hàm có hiện trạng là đường nhựa, bê tông xi
P=1320 | X=0111.170-0139.170 | Y=0276.070-0287.310 | măng:
P=1320 | X=0094.820-0105.940 | Y=0283.980-0293.300 | 98
P=1320 | X=0408.860-0425.500 | Y=0283.980-0293.300 | 370
P=1320 | X=0456.410-0473.050 | Y=0283.980-0293.300 | 260
P=1320 | X=0505.630-0522.270 | Y=0283.980-0293.300 | 220
P=1320 | X=0111.170-0352.280 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1320 | X=0111.170-0153.310 | Y=0307.020-0316.340 | >1.000m.
P=1320 | X=0111.170-0334.810 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1320 | X=0111.170-0200.710 | Y=0340.420-0351.660 | Đường Sông Thao -
P=1320 | X=0220.150-0277.590 | Y=0342.300-0351.620 | Giáp ranh xã
P=1320 | X=0301.080-0383.000 | Y=0345.940-0357.180 | Đường 19 tháng 5
P=1320 | X=0094.820-0105.940 | Y=0347.820-0357.140 | 99
P=1320 | X=0400.700-0425.750 | Y=0347.820-0357.140 | 2.200
P=1320 | X=0448.250-0473.300 | Y=0347.820-0357.140 | 1.500
P=1320 | X=0497.470-0522.520 | Y=0347.820-0357.140 | 1.300
P=1320 | X=0220.150-0273.300 | Y=0351.700-0362.940 | Hưng Thịnh
P=1320 | X=0111.170-0152.920 | Y=0353.580-0362.900 | Bàu Hàm
P=1320 | X=0111.170-0359.490 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1320 | X=0111.170-0383.020 | Y=0381.000-0392.240 | Sông Thao - Bàu Hàm đoạn từ Giáp ranh xã Hưng Thịnh đến
P=1320 | X=0111.170-0371.960 | Y=0392.520-0403.760 | Đường 19 tháng 5 có hiện trạng là đường nhựa, bê tông xi
P=1320 | X=0111.170-0139.170 | Y=0404.040-0415.280 | măng:
P=1320 | X=0091.940-0108.580 | Y=0411.920-0421.240 | 100
P=1320 | X=0400.700-0425.750 | Y=0411.920-0421.240 | 1.100
P=1320 | X=0456.410-0473.050 | Y=0411.920-0421.240 | 770
P=1320 | X=0505.630-0522.270 | Y=0411.920-0421.240 | 660
P=1320 | X=0111.170-0342.250 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1320 | X=0111.170-0352.280 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1320 | X=0111.170-0144.690 | Y=0450.620-0461.860 | ≤500m.
P=1320 | X=0111.170-0359.490 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1320 | X=0111.170-0383.020 | Y=0479.900-0491.140 | Sông Thao - Bàu Hàm đoạn từ Giáp ranh xã Hưng Thịnh đến
P=1320 | X=0111.170-0371.960 | Y=0491.420-0502.660 | Đường 19 tháng 5 có hiện trạng là đường nhựa, bê tông xi
