TABLE=005 | AREA=Phường Trảng Dài | SECTION=non-agricultural | SEGMENTS=1
P=0200 | X=0466.010-0482.650 | Y=0182.170-0191.490 | 980
P=0200 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 840
P=0200 | X=0107.090-0393.980 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0200 | X=0107.090-0168.210 | Y=0206.230-0217.470 | đến ≤1.000m.
P=0200 | X=0107.090-0330.260 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0200 | X=0107.090-0392.350 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0200 | X=0107.090-0384.170 | Y=0253.030-0264.270 | Đường Bưng Mua đoạn từ Đường tỉnh 768 đến Suối Bà Ba có
P=0200 | X=0107.090-0300.700 | Y=0264.550-0275.790 | hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0090.020-0106.660 | Y=0272.430-0281.750 | 217
P=0200 | X=0424.730-0441.370 | Y=0272.430-0281.750 | 990
P=0200 | X=0466.010-0482.650 | Y=0272.430-0281.750 | 690
P=0200 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 590
P=0200 | X=0107.090-0392.880 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0200 | X=0107.090-0330.730 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0200 | X=0311.160-0393.100 | Y=0319.260-0328.580 | Bên phải: hết ranh
P=0200 | X=0311.160-0390.750 | Y=0328.900-0340.140 | thửa đất số 21, tờ
P=0200 | X=0311.160-0395.740 | Y=0340.420-0351.660 | BĐĐC số 100. Bên
P=0200 | X=0090.020-0188.300 | Y=0345.940-0357.180 | 218 Đường Bưng Mua
P=0200 | X=0228.820-0279.040 | Y=0347.820-0357.140 | Suối Bà Ba
P=0200 | X=0416.540-0441.590 | Y=0347.820-0357.140 | 6.100
P=0200 | X=0457.850-0482.900 | Y=0347.820-0357.140 | 4.300
P=0200 | X=0497.230-0522.280 | Y=0347.820-0357.140 | 3.700
P=0200 | X=0311.160-0390.940 | Y=0353.580-0362.900 | trái: hết ranh thửa
P=0200 | X=0311.160-0373.000 | Y=0363.220-0374.460 | đất số 197, tờ
P=0200 | X=0311.160-0372.220 | Y=0374.760-0386.000 | BĐĐC số 100
P=0200 | X=0107.090-0382.760 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bưng
P=0200 | X=0107.090-0390.790 | Y=0404.040-0415.280 | Mua đoạn từ Suối Bà Ba đến Bên phải: hết ranh thửa đất số 21,
P=0200 | X=0107.090-0386.680 | Y=0415.560-0426.800 | tờ bản đồ số 100, BĐĐC. Bên trái: hết ranh thửa đất số 197, tờ
P=0200 | X=0090.020-0378.030 | Y=0427.080-0438.520 | 219 BĐĐC số 100 có hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0416.540-0441.590 | Y=0429.200-0438.520 | 2.400
P=0200 | X=0457.850-0482.900 | Y=0429.200-0438.520 | 1.700
P=0200 | X=0497.230-0522.280 | Y=0429.200-0438.520 | 1.400
P=0200 | X=0107.090-0338.170 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0200 | X=0107.090-0384.260 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0200 | X=0107.090-0382.760 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bưng
P=0200 | X=0107.090-0390.790 | Y=0491.420-0502.660 | Mua đoạn từ Suối Bà Ba đến Bên phải: hết ranh thửa đất số 21,
P=0200 | X=0107.090-0394.790 | Y=0502.940-0514.180 | tờ BĐĐC số 100. Bên trái: hết ranh thửa đất số 197, tờ BĐĐC số
P=0200 | X=0107.090-0333.380 | Y=0514.220-0525.460 | 100 có hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0090.020-0338.640 | Y=0530.980-0542.980 | 220 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0200 | X=0416.540-0441.590 | Y=0530.980-0540.300 | 1.500
P=0200 | X=0457.850-0482.900 | Y=0530.980-0540.300 | 1.100
P=0200 | X=0505.390-0522.030 | Y=0530.980-0540.300 | 900
P=0200 | X=0107.090-0393.980 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0200 | X=0107.090-0168.210 | Y=0560.810-0572.050 | đến ≤1.000m.
P=0200 | X=0107.090-0330.260 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0200 | X=0107.090-0382.760 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bưng
P=0200 | X=0107.090-0390.790 | Y=0607.610-0618.850 | Mua đoạn từ Suối Bà Ba đến Bên phải: hết ranh thửa đất số 21,
P=0200 | X=0107.090-0394.790 | Y=0619.150-0630.390 | tờ BĐĐC số 100. Bên trái: hết ranh thửa đất số 197, tờ BĐĐC số
P=0200 | X=0090.020-0333.380 | Y=0630.670-0642.110 | 221 100 có hiện trạng là đường nhựa, bê tông xi măng:
P=0200 | X=0416.540-0441.590 | Y=0632.790-0642.110 | 1.100
P=0200 | X=0466.010-0482.650 | Y=0632.790-0642.110 | 770
P=0200 | X=0505.390-0522.030 | Y=0632.790-0642.110 | 660
P=0200 | X=0107.090-0392.880 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0200 | X=0107.090-0330.730 | Y=0665.710-0676.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0200 | X=0107.090-0392.350 | Y=0683.470-0694.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0200 | X=0090.020-0382.540 | Y=0694.750-0705.990 | 222 Đường Bưng Mua đoạn từ Suối Bà Ba đến Bên phải: hết ranh
P=0200 | X=0416.540-0441.610 | Y=0696.630-0705.950 | 2.200
P=0200 | X=0457.850-0482.900 | Y=0696.630-0705.950 | 1.500
P=0200 | X=0497.230-0522.280 | Y=0696.630-0705.950 | 1.300
P=0200 | X=0107.090-0386.140 | Y=0706.290-0717.530 | thửa đất số 21, tờ BĐĐC số 100. Bên trái: hết ranh thửa đất số
P=0201 | X=0107.090-0381.790 | Y=0072.500-0083.740 | 197, tờ BĐĐC số 100 có hiện trạng là đường nhựa, bê tông xi
P=0201 | X=0107.090-0135.090 | Y=0084.020-0095.260 | măng:
P=0201 | X=0107.090-0338.170 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0201 | X=0107.090-0384.260 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0201 | X=0107.090-0392.350 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0201 | X=0107.090-0382.540 | Y=0148.370-0159.610 | Đường Bưng Mua đoạn từ Suối Bà Ba đến Bên phải: hết ranh
P=0201 | X=0107.090-0386.140 | Y=0159.650-0170.890 | thửa đất số 21, tờ BĐĐC số 100. Bên trái: hết ranh thửa đất số
P=0201 | X=0107.090-0381.800 | Y=0171.170-0182.410 | 197, tờ BĐĐC số 100 có hiện trạng là đường nhựa, bê tông xi
P=0201 | X=0107.090-0135.090 | Y=0182.690-0193.930 | măng:
P=0201 | X=0090.020-0106.660 | Y=0193.690-0203.010 | 223
P=0201 | X=0416.540-0441.590 | Y=0193.690-0203.010 | 1.400
P=0201 | X=0466.010-0482.650 | Y=0193.690-0203.010 | 980
P=0201 | X=0505.390-0522.030 | Y=0193.690-0203.010 | 840
P=0201 | X=0107.090-0338.640 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0201 | X=0107.090-0393.980 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0201 | X=0107.090-0168.210 | Y=0229.270-0240.510 | đến ≤1.000m.
P=0201 | X=0107.090-0330.260 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0201 | X=0107.090-0392.380 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0201 | X=0107.090-0382.540 | Y=0276.070-0287.310 | Đường Bưng Mua đoạn từ Suối Bà Ba đến Bên phải: hết ranh
P=0201 | X=0107.090-0386.140 | Y=0287.620-0298.860 | thửa đất số 21, tờ BĐĐC số 100. Bên trái: hết ranh thửa đất số
P=0201 | X=0107.090-0381.790 | Y=0299.140-0310.380 | 197, tờ BĐĐC số 100 có hiện trạng là đường nhựa, bê tông xi
P=0201 | X=0090.020-0106.660 | Y=0307.020-0316.340 | 224
P=0201 | X=0424.730-0441.370 | Y=0307.020-0316.340 | 990
P=0201 | X=0466.010-0482.650 | Y=0307.020-0316.340 | 690
P=0201 | X=0505.390-0522.030 | Y=0307.020-0316.340 | 590
P=0201 | X=0107.090-0135.090 | Y=0310.660-0321.900 | măng:
P=0201 | X=0107.090-0392.880 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0201 | X=0107.090-0330.730 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0201 | X=0311.160-0393.580 | Y=0363.220-0374.460 | Giáp ranh phường
P=0201 | X=0090.020-0182.310 | Y=0369.000-0380.240 | 225 Đường Tân Hiền
P=0201 | X=0228.820-0298.990 | Y=0369.000-0380.240 | Đường tỉnh 768
P=0201 | X=0416.540-0441.590 | Y=0370.880-0380.200 | 4.100
P=0201 | X=0457.850-0482.900 | Y=0370.880-0380.200 | 2.900
P=0201 | X=0497.230-0522.280 | Y=0370.880-0380.200 | 2.500
P=0201 | X=0311.160-0354.200 | Y=0376.640-0385.960 | Tân Triều
P=0201 | X=0107.090-0398.870 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Hiền
P=0201 | X=0107.090-0396.220 | Y=0404.040-0415.280 | đoạn từ Đường tỉnh 768 đến Giáp ranh phường Tân triều có hiện
P=0201 | X=0107.090-0278.870 | Y=0415.560-0426.800 | trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0090.020-0106.660 | Y=0423.440-0432.760 | 226
P=0201 | X=0107.090-0338.170 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0201 | X=0107.090-0384.260 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0201 | X=0107.090-0398.870 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Hiền
P=0201 | X=0107.090-0396.220 | Y=0479.900-0491.140 | đoạn từ Đường tỉnh 768 đến Giáp ranh phường Tân triều có hiện
P=0201 | X=0107.090-0278.870 | Y=0491.420-0502.660 | trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0090.020-0338.640 | Y=0508.940-0523.020 | 227 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0201 | X=0416.540-0441.590 | Y=0513.700-0523.020 | 1.600
P=0201 | X=0457.850-0482.890 | Y=0513.700-0523.020 | 1.100
P=0201 | X=0505.390-0522.030 | Y=0513.700-0523.020 | 960
P=0201 | X=0107.090-0393.980 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0201 | X=0107.090-0168.210 | Y=0537.770-0549.010 | đến ≤1.000m.
P=0201 | X=0107.090-0330.260 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0201 | X=0107.090-0398.870 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Hiền
P=0201 | X=0107.090-0396.220 | Y=0584.570-0595.810 | đoạn từ Đường tỉnh 768 đến Giáp ranh phường Tân triều có hiện
P=0201 | X=0107.090-0278.870 | Y=0596.090-0607.330 | trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0090.020-0106.660 | Y=0603.970-0613.290 | 228
P=0201 | X=0416.540-0441.590 | Y=0603.970-0613.290 | 1.100
P=0201 | X=0466.010-0482.650 | Y=0603.970-0613.290 | 770
P=0201 | X=0505.390-0522.030 | Y=0603.970-0613.290 | 660
P=0201 | X=0107.090-0392.880 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0201 | X=0107.090-0330.730 | Y=0631.150-0642.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0201 | X=0107.090-0392.350 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0201 | X=0107.090-0396.710 | Y=0660.430-0671.670 | Đường Tân Hiền đoạn từ Đường tỉnh 768 đến Giáp ranh phường
P=0201 | X=0107.090-0356.180 | Y=0671.950-0683.190 | Tân triều có hiện trạng là đường nhựa, bê tông xi măng:
P=0201 | X=0090.020-0106.660 | Y=0679.830-0689.150 | 229
P=0201 | X=0416.540-0441.590 | Y=0679.830-0689.150 | 1.800
P=0201 | X=0457.850-0482.900 | Y=0679.830-0689.150 | 1.300
P=0201 | X=0497.230-0522.280 | Y=0679.830-0689.150 | 1.100
P=0201 | X=0107.090-0338.180 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0201 | X=0107.090-0384.260 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0202 | X=0107.090-0392.350 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0202 | X=0107.090-0396.710 | Y=0090.020-0101.260 | Đường Tân Hiền đoạn từ Đường tỉnh 768 đến Giáp ranh phường
P=0202 | X=0107.090-0356.180 | Y=0101.540-0112.780 | Tân triều có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0090.020-0338.640 | Y=0119.090-0133.170 | 230 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0202 | X=0416.540-0441.590 | Y=0123.850-0133.170 | 1.400
P=0202 | X=0466.010-0482.650 | Y=0123.850-0133.170 | 980
P=0202 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 840
P=0202 | X=0107.090-0393.980 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0202 | X=0107.090-0168.210 | Y=0148.130-0159.370 | đến ≤1.000m.
P=0202 | X=0107.090-0330.260 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0202 | X=0107.090-0392.350 | Y=0183.170-0194.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0202 | X=0107.090-0396.710 | Y=0194.690-0205.930 | Đường Tân Hiền đoạn từ Đường tỉnh 768 đến Giáp ranh phường
P=0202 | X=0107.090-0359.300 | Y=0206.230-0217.470 | Tân Triều có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0090.020-0106.660 | Y=0214.110-0223.430 | 231
P=0202 | X=0424.730-0441.370 | Y=0214.110-0223.430 | 990
P=0202 | X=0466.010-0482.650 | Y=0214.110-0223.430 | 690
P=0202 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 590
P=0202 | X=0107.090-0392.880 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0202 | X=0107.090-0330.730 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0202 | X=0311.160-0390.200 | Y=0259.030-0270.270 | Đường Đoàn Văn
P=0202 | X=0090.020-0187.810 | Y=0264.790-0276.030 | 232 Đường Bùng Binh
P=0202 | X=0228.820-0298.990 | Y=0264.790-0276.030 | Đường tỉnh 768
P=0202 | X=0416.540-0441.590 | Y=0266.670-0275.990 | 2.700
P=0202 | X=0457.850-0482.900 | Y=0266.670-0275.990 | 1.900
P=0202 | X=0497.230-0522.280 | Y=0266.670-0275.990 | 1.600
P=0202 | X=0311.160-0325.100 | Y=0272.430-0281.750 | Cự
P=0202 | X=0107.090-0381.570 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùng
P=0202 | X=0107.090-0390.230 | Y=0299.860-0311.100 | Binh đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn Cự có hiện
P=0202 | X=0107.090-0278.870 | Y=0311.380-0322.620 | trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0090.020-0106.660 | Y=0319.260-0328.580 | 233
P=0202 | X=0416.540-0441.590 | Y=0319.260-0328.580 | 1.400
P=0202 | X=0466.010-0482.650 | Y=0319.260-0328.580 | 980
P=0202 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 840
P=0202 | X=0107.090-0338.170 | Y=0328.900-0340.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0202 | X=0107.090-0384.260 | Y=0346.420-0357.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0202 | X=0107.090-0381.570 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùng
P=0202 | X=0107.090-0390.230 | Y=0375.480-0386.720 | Binh đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn Cự có hiện
P=0202 | X=0107.090-0278.870 | Y=0387.000-0398.240 | trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0090.020-0338.640 | Y=0404.520-0418.840 | 234 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0202 | X=0416.540-0441.590 | Y=0409.520-0418.840 | 1.100
P=0202 | X=0466.010-0482.650 | Y=0409.520-0418.840 | 770
P=0202 | X=0505.390-0522.030 | Y=0409.520-0418.840 | 660
P=0202 | X=0107.090-0393.980 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0202 | X=0107.090-0168.210 | Y=0433.560-0444.800 | đến ≤1.000m.
P=0202 | X=0107.090-0330.260 | Y=0451.100-0462.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0202 | X=0107.090-0381.570 | Y=0468.860-0480.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùng
P=0202 | X=0107.090-0390.230 | Y=0480.380-0491.620 | Binh đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn Cự có hiện
P=0202 | X=0107.090-0278.870 | Y=0491.900-0503.140 | trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0090.020-0106.660 | Y=0499.780-0509.100 | 235
P=0202 | X=0424.730-0441.370 | Y=0499.780-0509.100 | 950
P=0202 | X=0466.010-0482.650 | Y=0499.780-0509.100 | 670
P=0202 | X=0505.390-0522.030 | Y=0499.780-0509.100 | 570
P=0202 | X=0107.090-0392.880 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0202 | X=0107.090-0330.730 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0202 | X=0107.090-0392.350 | Y=0544.490-0555.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0202 | X=0107.090-0398.840 | Y=0556.010-0567.250 | Đường Bùng Binh đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn
P=0202 | X=0107.090-0330.730 | Y=0567.530-0578.770 | Cự có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0090.020-0106.660 | Y=0575.410-0584.730 | 236
P=0202 | X=0416.540-0441.590 | Y=0575.410-0584.730 | 1.300
P=0202 | X=0466.010-0482.650 | Y=0575.410-0584.730 | 910
P=0202 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 780
P=0202 | X=0107.090-0338.170 | Y=0585.050-0596.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0202 | X=0107.090-0384.260 | Y=0602.570-0613.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0202 | X=0107.090-0392.350 | Y=0620.350-0631.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0202 | X=0107.090-0398.840 | Y=0631.870-0643.110 | Đường Bùng Binh đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn
P=0202 | X=0107.090-0330.730 | Y=0643.390-0654.630 | Cự có hiện trạng là đường nhựa, bê tông xi măng:
P=0202 | X=0090.020-0338.640 | Y=0660.910-0674.990 | 237 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0202 | X=0424.730-0441.370 | Y=0665.670-0674.990 | 990
P=0202 | X=0466.010-0482.650 | Y=0665.670-0674.990 | 690
P=0202 | X=0505.390-0522.030 | Y=0665.670-0674.990 | 590
P=0202 | X=0107.090-0393.980 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0202 | X=0107.090-0168.210 | Y=0689.950-0701.190 | đến ≤1.000m.
P=0202 | X=0107.090-0330.260 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0203 | X=0107.090-0392.350 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0203 | X=0107.090-0398.840 | Y=0090.020-0101.260 | Đường Bùng Binh đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn
P=0203 | X=0107.090-0330.750 | Y=0101.540-0112.780 | Cự có hiện trạng là đường nhựa, bê tông xi măng:
P=0203 | X=0090.020-0106.660 | Y=0109.420-0118.740 | 238
P=0203 | X=0424.730-0441.370 | Y=0109.420-0118.740 | 860
P=0203 | X=0466.010-0482.650 | Y=0109.420-0118.740 | 600
P=0203 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 520
P=0203 | X=0107.090-0392.880 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0203 | X=0107.090-0330.730 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0203 | X=0107.090-0222.870 | Y=0154.370-0165.610 | Đường Xóm Gò (xã Thiện
P=0203 | X=0311.160-0390.200 | Y=0154.370-0165.610 | Đường Đoàn Văn
P=0203 | X=0228.820-0298.990 | Y=0160.130-0171.370 | Đường tỉnh 768
P=0203 | X=0090.020-0106.660 | Y=0162.010-0171.330 | 239
P=0203 | X=0416.540-0441.590 | Y=0162.010-0171.330 | 2.700
P=0203 | X=0457.850-0482.900 | Y=0162.010-0171.330 | 1.900
P=0203 | X=0497.230-0522.280 | Y=0162.010-0171.330 | 1.600
P=0203 | X=0107.090-0141.160 | Y=0165.650-0176.890 | Tân cũ)
P=0203 | X=0311.160-0325.100 | Y=0167.530-0176.850 | Cự
P=0203 | X=0107.090-0394.990 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xóm Gò
P=0203 | X=0107.090-0396.690 | Y=0194.930-0206.170 | (xã Thiện Tân cũ) đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn
P=0203 | X=0107.090-0330.730 | Y=0206.470-0217.710 | Cự có hiện trạng là đường nhựa, bê tông xi măng:
P=0203 | X=0090.020-0106.660 | Y=0214.350-0223.670 | 240
P=0203 | X=0416.540-0441.590 | Y=0214.350-0223.670 | 1.400
P=0203 | X=0466.010-0482.650 | Y=0214.350-0223.670 | 980
P=0203 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 840
P=0203 | X=0107.090-0338.170 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0203 | X=0107.090-0384.260 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0203 | X=0107.090-0394.990 | Y=0259.270-0270.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xóm Gò
P=0203 | X=0107.090-0396.690 | Y=0270.790-0282.030 | (xã Thiện Tân cũ) đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn
P=0203 | X=0107.090-0330.730 | Y=0282.340-0293.580 | Cự có hiện trạng là đường nhựa, bê tông xi măng:
P=0203 | X=0090.020-0338.640 | Y=0299.860-0313.940 | 241 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0203 | X=0416.540-0441.590 | Y=0304.620-0313.940 | 1.100
P=0203 | X=0466.010-0482.650 | Y=0304.620-0313.940 | 770
P=0203 | X=0505.390-0522.030 | Y=0304.620-0313.940 | 660
P=0203 | X=0107.090-0393.980 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0203 | X=0107.090-0168.210 | Y=0328.900-0340.140 | đến ≤1.000m.
P=0203 | X=0107.090-0330.260 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0203 | X=0107.090-0394.990 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xóm Gò
P=0203 | X=0107.090-0396.690 | Y=0375.480-0386.720 | (xã Thiện Tân cũ) đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn
P=0203 | X=0107.090-0330.730 | Y=0387.000-0398.240 | Cự có hiện trạng là đường nhựa, bê tông xi măng:
P=0203 | X=0090.020-0106.660 | Y=0394.880-0404.200 | 242
P=0203 | X=0424.730-0441.370 | Y=0394.880-0404.200 | 680
P=0203 | X=0466.010-0482.650 | Y=0394.880-0404.200 | 480
P=0203 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 410
P=0203 | X=0107.090-0392.880 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0203 | X=0107.090-0330.730 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0203 | X=0107.090-0392.350 | Y=0439.800-0451.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0203 | X=0107.090-0388.780 | Y=0451.340-0462.580 | Đường Xóm Gò (xã Thiện Tân cũ) đoạn từ Đường tỉnh 768 đến
P=0203 | X=0107.090-0381.790 | Y=0462.860-0474.100 | Đường Đoàn Văn Cự có hiện trạng là đường nhựa, bê tông xi
P=0203 | X=0090.020-0135.090 | Y=0474.380-0485.820 | 243 măng:
P=0203 | X=0416.540-0441.590 | Y=0476.500-0485.820 | 1.300
P=0203 | X=0466.010-0482.650 | Y=0476.500-0485.820 | 910
P=0203 | X=0505.390-0522.030 | Y=0476.500-0485.820 | 780
P=0203 | X=0107.090-0338.170 | Y=0491.900-0503.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0203 | X=0107.090-0384.260 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0203 | X=0107.090-0392.360 | Y=0527.180-0538.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0203 | X=0107.090-0388.780 | Y=0538.490-0549.730 | Đường Xóm Gò (xã Thiện Tân cũ) đoạn từ Đường tỉnh 768 đến
P=0203 | X=0107.090-0381.790 | Y=0550.010-0561.250 | Đường Đoàn Văn Cự có hiện trạng là đường nhựa, bê tông xi
P=0203 | X=0107.090-0135.090 | Y=0561.530-0572.770 | măng:
P=0203 | X=0090.020-0338.640 | Y=0578.290-0590.290 | 244 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0203 | X=0424.730-0441.370 | Y=0578.290-0587.610 | 990
P=0203 | X=0466.010-0482.650 | Y=0578.290-0587.610 | 690
P=0203 | X=0505.390-0522.030 | Y=0578.290-0587.610 | 590
