TABLE=015 | AREA=Xã Phước Thái | SECTION=non-agricultural | SEGMENTS=1
P=0545 | X=0107.330-0135.330 | Y=0427.800-0439.040 | măng:
P=0545 | X=0090.020-0106.660 | Y=0438.800-0448.120 | 412
P=0545 | X=0424.730-0449.780 | Y=0438.800-0448.120 | 1.900
P=0545 | X=0460.970-0486.020 | Y=0438.800-0448.120 | 1.300
P=0545 | X=0497.230-0522.280 | Y=0438.800-0448.120 | 1.100
P=0545 | X=0107.330-0338.910 | Y=0445.320-0456.560 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0545 | X=0107.330-0394.220 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0545 | X=0107.330-0168.450 | Y=0474.380-0485.620 | đến ≤1.000m.
P=0545 | X=0107.330-0330.500 | Y=0491.900-0503.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0545 | X=0107.330-0392.590 | Y=0509.900-0521.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0545 | X=0107.330-0396.460 | Y=0521.420-0532.660 | Đường bổ sung tại ấp Long Hiệu xã Long Tân cũ đoạn từ Đường
P=0545 | X=0107.330-0399.830 | Y=0532.970-0544.210 | Lý Thái Tổ đến Ngã 3 (bên phải, hết thửa đất số 181, tờ BĐĐC số
P=0545 | X=0107.330-0378.440 | Y=0544.250-0555.490 | 136, xã Nhơn Trạch) có hiện trạng là đường nhựa, bê tông xi
P=0545 | X=0090.020-0106.660 | Y=0552.130-0561.450 | 413
P=0545 | X=0424.730-0449.780 | Y=0552.130-0561.450 | 1.400
P=0545 | X=0469.130-0485.770 | Y=0552.130-0561.450 | 980
P=0545 | X=0505.390-0522.030 | Y=0552.130-0561.450 | 840
P=0545 | X=0107.330-0135.330 | Y=0555.770-0567.010 | măng:
P=0545 | X=0107.330-0393.120 | Y=0573.290-0584.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0545 | X=0107.330-0330.970 | Y=0590.810-0602.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0545 | X=0107.330-0199.580 | Y=0608.810-0620.050 | Đường Hùng Vương
P=0545 | X=0231.940-0292.180 | Y=0608.810-0620.050 | Ngã 3 Phước
P=0545 | X=0090.020-0106.660 | Y=0616.450-0625.770 | 414
P=0545 | X=0315.000-0375.810 | Y=0616.450-0625.770 | Cầu Mạch Bà
P=0545 | X=0419.210-0486.020 | Y=0616.450-0625.770 | 14.700 10.300
P=0545 | X=0497.230-0522.280 | Y=0616.450-0625.770 | 8.800
P=0545 | X=0107.330-0183.650 | Y=0620.350-0631.590 | (Hương lộ 19 cũ)
P=0545 | X=0231.940-0257.220 | Y=0622.230-0631.550 | Thiền
P=0545 | X=0107.330-0382.290 | Y=0638.350-0649.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0545 | X=0107.330-0385.670 | Y=0649.870-0661.110 | Vương (Hương lộ 19 cũ) đoạn từ Ngã 3 Phước Thiền đến Cầu
P=0545 | X=0107.330-0356.420 | Y=0661.390-0672.630 | Mạch Bà có hiện trạng là đường nhựa, bê tông xi măng:
P=0545 | X=0090.020-0106.660 | Y=0669.270-0678.590 | 415
P=0545 | X=0424.730-0449.780 | Y=0669.270-0678.590 | 4.900
P=0545 | X=0460.970-0486.020 | Y=0669.270-0678.590 | 3.400
P=0545 | X=0497.230-0522.280 | Y=0669.270-0678.590 | 2.900
P=0545 | X=0107.330-0330.240 | Y=0678.910-0690.150 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0545 | X=0107.330-0384.500 | Y=0696.430-0707.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0546 | X=0107.330-0382.290 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0546 | X=0107.330-0385.670 | Y=0090.260-0101.500 | Vương (Hương lộ 19 cũ) đoạn từ Ngã 3 Phước Thiền đến Cầu
P=0546 | X=0107.330-0356.420 | Y=0101.780-0113.020 | Mạch Bà có hiện trạng là đường nhựa, bê tông xi măng:
P=0546 | X=0090.020-0330.500 | Y=0119.330-0133.410 | 416 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0546 | X=0424.730-0449.780 | Y=0124.090-0133.410 | 3.100
P=0546 | X=0460.970-0486.020 | Y=0124.090-0133.410 | 2.200
P=0546 | X=0497.230-0522.270 | Y=0124.090-0133.410 | 1.900
P=0546 | X=0107.330-0394.220 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0546 | X=0107.330-0160.290 | Y=0148.370-0159.610 | đến ≤600m.
P=0546 | X=0107.330-0330.500 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0546 | X=0107.330-0382.290 | Y=0183.650-0194.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0546 | X=0107.330-0385.670 | Y=0195.170-0206.410 | Vương (Hương lộ 19 cũ) đoạn từ Ngã 3 Phước Thiền đến Cầu
P=0546 | X=0107.330-0356.420 | Y=0206.710-0217.950 | Mạch Bà có hiện trạng là đường nhựa, bê tông xi măng:
P=0546 | X=0090.020-0106.660 | Y=0214.590-0223.910 | 417
P=0546 | X=0424.730-0449.780 | Y=0214.590-0223.910 | 2.400
P=0546 | X=0460.970-0486.020 | Y=0214.590-0223.910 | 1.700
P=0546 | X=0497.230-0522.280 | Y=0214.590-0223.910 | 1.400
P=0546 | X=0107.330-0384.740 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0546 | X=0107.330-0330.970 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0546 | X=0107.330-0392.590 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0546 | X=0107.330-0378.620 | Y=0271.270-0282.510 | Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Ngã 3 Phước
P=0546 | X=0107.330-0394.280 | Y=0282.820-0294.060 | Thiền đến Cầu Mạch Bà có hiện trạng là đường nhựa, bê tông xi
P=0546 | X=0090.020-0135.330 | Y=0294.340-0305.780 | 418 măng:
P=0546 | X=0424.730-0449.780 | Y=0296.460-0305.780 | 4.400
P=0546 | X=0460.970-0486.020 | Y=0296.460-0305.780 | 3.100
P=0546 | X=0497.230-0522.280 | Y=0296.460-0305.780 | 2.600
P=0546 | X=0107.330-0330.240 | Y=0311.860-0323.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0546 | X=0107.330-0384.500 | Y=0329.380-0340.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0546 | X=0107.330-0392.590 | Y=0347.380-0358.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0546 | X=0107.330-0378.620 | Y=0358.900-0370.140 | Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Ngã 3 Phước
P=0546 | X=0107.330-0394.280 | Y=0370.200-0381.440 | Thiền đến Cầu Mạch Bà có hiện trạng là đường nhựa, bê tông xi
P=0546 | X=0107.330-0135.330 | Y=0381.720-0392.960 | măng:
P=0546 | X=0090.020-0330.500 | Y=0398.480-0410.480 | 419 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0546 | X=0424.730-0449.780 | Y=0398.480-0407.800 | 2.800
P=0546 | X=0460.970-0486.020 | Y=0398.480-0407.800 | 2.000
P=0546 | X=0497.230-0522.280 | Y=0398.480-0407.800 | 1.700
P=0546 | X=0107.330-0394.220 | Y=0416.760-0428.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0546 | X=0107.330-0160.290 | Y=0428.280-0439.520 | đến ≤600m.
P=0546 | X=0107.330-0330.500 | Y=0445.800-0457.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0546 | X=0107.330-0392.590 | Y=0463.820-0475.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0546 | X=0107.330-0378.620 | Y=0475.340-0486.580 | Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Ngã 3 Phước
P=0546 | X=0107.330-0394.280 | Y=0486.860-0498.100 | Thiền đến Cầu Mạch Bà có hiện trạng là đường nhựa, bê tông xi
P=0546 | X=0090.020-0135.330 | Y=0498.380-0509.820 | 420 măng:
P=0546 | X=0424.730-0449.780 | Y=0500.500-0509.820 | 2.200
P=0546 | X=0460.970-0486.020 | Y=0500.500-0509.820 | 1.500
P=0546 | X=0497.230-0522.280 | Y=0500.500-0509.820 | 1.300
P=0546 | X=0107.330-0384.740 | Y=0515.900-0527.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0546 | X=0107.330-0330.970 | Y=0533.450-0544.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0546 | X=0107.330-0199.580 | Y=0551.450-0562.690 | Đường Hùng Vương
P=0546 | X=0315.000-0372.440 | Y=0553.330-0562.650 | Giáp ranh xã
P=0546 | X=0090.020-0106.660 | Y=0559.090-0568.410 | 421
P=0546 | X=0231.940-0292.750 | Y=0559.090-0568.410 | Cầu Mạch Bà
P=0546 | X=0419.210-0486.020 | Y=0559.090-0568.410 | 16.200 11.300
P=0546 | X=0497.230-0522.280 | Y=0559.090-0568.410 | 9.700
P=0546 | X=0107.330-0183.650 | Y=0562.970-0574.210 | (Hương lộ 19 cũ)
P=0546 | X=0315.000-0360.690 | Y=0562.970-0574.210 | Phước An
P=0546 | X=0107.330-0382.290 | Y=0580.970-0592.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0546 | X=0107.330-0401.420 | Y=0592.250-0603.490 | Vương (HL 19 cũ) đoạn từ Cầu Mạch Bà đến Giáp ranh xã Phước
P=0546 | X=0107.330-0329.290 | Y=0603.770-0615.010 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0546 | X=0090.020-0106.660 | Y=0611.650-0620.970 | 422
P=0546 | X=0424.730-0449.780 | Y=0611.650-0620.970 | 4.900
P=0546 | X=0460.970-0486.020 | Y=0611.650-0620.970 | 3.400
P=0546 | X=0497.230-0522.280 | Y=0611.650-0620.970 | 2.900
P=0546 | X=0107.330-0330.240 | Y=0621.310-0632.550 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0546 | X=0107.330-0384.500 | Y=0638.830-0650.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0546 | X=0107.330-0382.290 | Y=0656.830-0668.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0546 | X=0107.330-0397.640 | Y=0668.350-0679.590 | Vương (Hương lộ 19 cũ) đoạn từ Cầu Mạch Bà đến Giáp ranh xã
P=0546 | X=0090.020-0362.180 | Y=0679.110-0691.110 | 423 Phước An có hiện trạng là đường nhựa, bê tông xi măng:
P=0546 | X=0424.730-0449.780 | Y=0679.110-0688.430 | 3.100
P=0546 | X=0460.970-0486.020 | Y=0679.110-0688.430 | 2.200
P=0546 | X=0497.230-0522.280 | Y=0679.110-0688.430 | 1.900
P=0546 | X=0107.330-0330.500 | Y=0697.390-0708.630 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0547 | X=0107.330-0394.220 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0547 | X=0107.330-0160.290 | Y=0090.260-0101.500 | đến ≤600m.
P=0547 | X=0107.330-0330.500 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0547 | X=0107.330-0382.290 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0547 | X=0107.330-0397.640 | Y=0137.330-0148.570 | Vương (Hương lộ 19 cũ) đoạn từ Cầu Mạch Bà đến Giáp ranh xã
P=0547 | X=0107.330-0362.180 | Y=0148.850-0160.090 | Phước An có hiện trạng là đường nhựa, bê tông xi măng:
P=0547 | X=0090.020-0106.660 | Y=0156.730-0166.050 | 424
P=0547 | X=0424.730-0449.780 | Y=0156.730-0166.050 | 2.400
P=0547 | X=0460.970-0486.020 | Y=0156.730-0166.050 | 1.700
P=0547 | X=0497.230-0522.280 | Y=0156.730-0166.050 | 1.400
P=0547 | X=0107.330-0384.740 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0547 | X=0107.330-0330.970 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0547 | X=0107.330-0392.590 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0547 | X=0107.330-0398.630 | Y=0213.190-0224.430 | Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Cầu Mạch Bà đến
P=0547 | X=0107.330-0391.880 | Y=0224.710-0235.950 | Giáp ranh xã Phước An có hiện trạng là đường nhựa, bê tông xi
P=0547 | X=0090.020-0135.330 | Y=0236.230-0247.670 | 425 măng:
P=0547 | X=0424.730-0449.780 | Y=0238.350-0247.670 | 4.400
P=0547 | X=0460.970-0486.020 | Y=0238.350-0247.670 | 3.100
P=0547 | X=0497.230-0522.280 | Y=0238.350-0247.670 | 2.600
P=0547 | X=0107.330-0330.240 | Y=0253.750-0264.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0547 | X=0107.330-0384.500 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0547 | X=0107.330-0392.590 | Y=0289.300-0300.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0547 | X=0107.330-0398.630 | Y=0300.820-0312.060 | Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Cầu Mạch Bà đến
P=0547 | X=0107.330-0391.880 | Y=0312.340-0323.580 | Giáp ranh xã Phước An có hiện trạng là đường nhựa, bê tông xi
P=0547 | X=0107.330-0135.330 | Y=0323.860-0335.100 | măng:
P=0547 | X=0090.020-0330.500 | Y=0340.380-0352.620 | 426 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0547 | X=0424.730-0449.780 | Y=0340.380-0349.700 | 2.800
P=0547 | X=0460.970-0486.020 | Y=0340.380-0349.700 | 2.000
P=0547 | X=0497.230-0522.280 | Y=0340.380-0349.700 | 1.700
P=0547 | X=0107.330-0394.220 | Y=0358.900-0370.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0547 | X=0107.330-0160.290 | Y=0370.200-0381.440 | đến ≤600m.
P=0547 | X=0107.330-0330.510 | Y=0387.720-0398.960 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0547 | X=0107.330-0392.590 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0547 | X=0107.330-0398.630 | Y=0417.240-0428.480 | Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Cầu Mạch Bà đến
P=0547 | X=0107.330-0391.880 | Y=0428.760-0440.000 | Giáp ranh xã Phước An có hiện trạng là đường nhựa, bê tông xi
P=0547 | X=0090.020-0135.330 | Y=0440.280-0451.720 | 427 măng:
P=0547 | X=0424.730-0449.780 | Y=0442.400-0451.720 | 2.200
P=0547 | X=0460.970-0486.020 | Y=0442.400-0451.720 | 1.500
P=0547 | X=0497.230-0522.280 | Y=0442.400-0451.720 | 1.300
P=0547 | X=0107.330-0384.740 | Y=0457.820-0469.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0547 | X=0107.330-0330.970 | Y=0475.340-0486.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0547 | X=0107.330-0219.750 | Y=0493.340-0504.580 | Đường Trường Mẫu giáo
P=0547 | X=0315.000-0392.380 | Y=0493.340-0504.580 | Ranh thửa đất số
P=0547 | X=0231.940-0289.860 | Y=0499.100-0510.340 | Hùng Vương
P=0547 | X=0090.020-0106.660 | Y=0500.980-0510.300 | 428
P=0547 | X=0424.730-0449.780 | Y=0500.980-0510.300 | 9.100
P=0547 | X=0460.970-0486.020 | Y=0500.980-0510.300 | 6.400
P=0547 | X=0497.230-0522.280 | Y=0500.980-0510.300 | 5.500
P=0547 | X=0107.330-0208.220 | Y=0504.860-0516.100 | thị trấn Hiệp Phước cũ
P=0547 | X=0315.000-0405.100 | Y=0504.860-0516.100 | 98, tờ BĐĐC số 222
P=0547 | X=0107.330-0392.390 | Y=0522.860-0534.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trường
P=0547 | X=0107.330-0395.750 | Y=0534.410-0545.650 | Mẫu giáo thị trấn Hiệp Phước cũ đoạn từ Hùng Vương đến Ranh
P=0547 | X=0107.330-0397.660 | Y=0545.930-0557.170 | thửa đất số 98, tờ BĐĐC số 222 có hiện trạng là đường nhựa, bê
P=0547 | X=0090.020-0167.490 | Y=0557.450-0568.890 | 429 tông xi măng:
P=0547 | X=0424.730-0449.780 | Y=0559.570-0568.890 | 3.100
P=0547 | X=0460.970-0486.020 | Y=0559.570-0568.890 | 2.200
P=0547 | X=0497.230-0522.280 | Y=0559.570-0568.890 | 1.900
P=0547 | X=0107.330-0330.240 | Y=0574.970-0586.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0547 | X=0107.330-0384.520 | Y=0592.250-0603.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0547 | X=0107.330-0392.390 | Y=0610.250-0621.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trường
P=0547 | X=0107.330-0395.750 | Y=0621.790-0633.030 | Mẫu giáo thị trấn Hiệp Phước cũ đoạn từ Hùng Vương đến Ranh
P=0547 | X=0107.330-0397.660 | Y=0633.310-0644.550 | thửa đất số 98, tờ BĐĐC số 222 có hiện trạng là đường nhựa, bê
P=0547 | X=0107.330-0167.490 | Y=0644.830-0656.070 | tông xi măng:
P=0547 | X=0090.020-0106.660 | Y=0652.710-0662.030 | 430
P=0547 | X=0424.730-0449.780 | Y=0652.710-0662.030 | 2.500
P=0547 | X=0460.970-0486.020 | Y=0652.710-0662.030 | 1.800
P=0547 | X=0497.230-0522.280 | Y=0652.710-0662.030 | 1.500
P=0547 | X=0107.330-0330.500 | Y=0662.350-0673.590 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0547 | X=0107.330-0394.220 | Y=0679.870-0691.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0547 | X=0107.330-0160.290 | Y=0691.390-0702.630 | đến ≤600m.
P=0548 | X=0107.330-0330.500 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0548 | X=0107.330-0392.390 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trường
P=0548 | X=0107.330-0395.750 | Y=0108.260-0119.500 | Mẫu giáo thị trấn Hiệp Phước cũ đoạn từ Hùng Vương đến Ranh
P=0548 | X=0107.330-0397.660 | Y=0119.810-0131.050 | thửa đất số 98, tờ BĐĐC số 222 có hiện trạng là đường nhựa, bê
P=0548 | X=0090.020-0167.490 | Y=0131.330-0142.770 | 431 tông xi măng:
P=0548 | X=0424.730-0449.780 | Y=0133.450-0142.770 | 1.900
P=0548 | X=0460.970-0486.020 | Y=0133.450-0142.770 | 1.300
P=0548 | X=0497.230-0522.280 | Y=0133.450-0142.770 | 1.100
P=0548 | X=0107.330-0384.740 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0548 | X=0107.330-0330.970 | Y=0166.370-0177.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0548 | X=0107.330-0392.590 | Y=0184.370-0195.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0548 | X=0107.330-0386.880 | Y=0195.650-0206.890 | Đường Trường Mẫu giáo thị trấn Hiệp Phước cũ đoạn từ Hùng
P=0548 | X=0107.330-0402.220 | Y=0207.190-0218.430 | Vương đến Ranh thửa đất số 98, tờ BĐĐC số 222 có hiện trạng là
P=0548 | X=0090.020-0243.080 | Y=0218.710-0230.150 | 432 đường nhựa, bê tông xi măng:
P=0548 | X=0424.730-0449.780 | Y=0220.830-0230.150 | 2.800
P=0548 | X=0460.970-0486.020 | Y=0220.830-0230.150 | 2.000
P=0548 | X=0497.230-0522.280 | Y=0220.830-0230.150 | 1.700
P=0548 | X=0107.330-0330.250 | Y=0236.230-0247.470 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0548 | X=0107.330-0384.500 | Y=0253.750-0264.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0548 | X=0107.330-0392.590 | Y=0271.750-0282.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0548 | X=0107.330-0386.880 | Y=0283.300-0294.540 | Đường Trường Mẫu giáo thị trấn Hiệp Phước cũ đoạn từ Hùng
P=0548 | X=0107.330-0402.220 | Y=0294.820-0306.060 | Vương đến Ranh thửa đất số 98, tờ BĐĐC số 222 có hiện trạng là
P=0548 | X=0107.330-0243.080 | Y=0306.340-0317.580 | đường nhựa, bê tông xi măng:
P=0548 | X=0090.020-0330.500 | Y=0322.860-0335.100 | 433 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0548 | X=0424.730-0449.780 | Y=0322.860-0332.180 | 2.300
P=0548 | X=0460.970-0486.020 | Y=0322.860-0332.180 | 1.600
P=0548 | X=0497.230-0522.280 | Y=0322.860-0332.180 | 1.400
P=0548 | X=0107.330-0394.220 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0548 | X=0107.330-0160.290 | Y=0352.900-0364.140 | đến ≤600m.
P=0548 | X=0107.330-0330.500 | Y=0370.200-0381.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0548 | X=0107.330-0392.590 | Y=0388.200-0399.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0548 | X=0107.330-0386.880 | Y=0399.720-0410.960 | Đường Trường Mẫu giáo thị trấn Hiệp Phước cũ đoạn từ Hùng
P=0548 | X=0107.330-0402.220 | Y=0411.240-0422.480 | Vương đến Ranh thửa đất số 98, tờ BĐĐC số 222 có hiện trạng là
P=0548 | X=0090.020-0243.080 | Y=0422.760-0434.200 | 434 đường nhựa, bê tông xi măng:
P=0548 | X=0424.730-0449.780 | Y=0424.880-0434.200 | 1.700
P=0548 | X=0460.970-0486.020 | Y=0424.880-0434.200 | 1.200
P=0548 | X=0497.230-0522.280 | Y=0424.880-0434.200 | 1.000
P=0548 | X=0107.330-0384.790 | Y=0440.280-0451.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0548 | X=0107.330-0330.970 | Y=0457.820-0469.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0548 | X=0315.000-0393.670 | Y=0475.820-0487.060 | Hết ranh thửa đất
P=0548 | X=0107.330-0219.030 | Y=0481.580-0492.820 | Đường Trường THCS thị
P=0548 | X=0231.940-0289.860 | Y=0487.340-0498.580 | Hùng Vương
P=0548 | X=0315.000-0404.390 | Y=0487.340-0498.580 | số 290, tờ BĐĐC số
P=0548 | X=0090.020-0106.660 | Y=0489.220-0498.540 | 435
P=0548 | X=0424.730-0449.780 | Y=0489.220-0498.540 | 9.100
P=0548 | X=0460.970-0486.020 | Y=0489.220-0498.540 | 6.400
P=0548 | X=0497.230-0522.280 | Y=0489.220-0498.540 | 5.500
P=0548 | X=0107.330-0194.780 | Y=0493.100-0504.340 | trấn Hiệp Phước cũ
P=0548 | X=0315.000-0331.640 | Y=0500.740-0510.060 | 230
P=0548 | X=0107.330-0392.390 | Y=0516.860-0528.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trường
P=0548 | X=0107.330-0396.460 | Y=0528.380-0539.620 | THCS thị trấn Hiệp Phước cũ đoạn từ Hùng Vương đến Hết ranh
P=0548 | X=0107.330-0403.180 | Y=0539.930-0551.170 | thửa đất số 290, tờ BĐĐC số 230 có hiện trạng là đường nhựa, bê
P=0548 | X=0090.020-0167.490 | Y=0551.450-0562.890 | 436 tông xi măng:
P=0548 | X=0424.730-0449.770 | Y=0553.570-0562.890 | 3.100
P=0548 | X=0460.970-0486.020 | Y=0553.570-0562.890 | 2.200
P=0548 | X=0497.230-0522.280 | Y=0553.570-0562.890 | 1.900
P=0548 | X=0107.330-0330.240 | Y=0568.970-0580.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0548 | X=0107.330-0384.500 | Y=0586.250-0597.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0548 | X=0107.330-0392.390 | Y=0604.250-0615.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trường
P=0548 | X=0107.330-0396.460 | Y=0615.770-0627.010 | THCS thị trấn Hiệp Phước cũ đoạn từ Hùng Vương đến Hết ranh
P=0548 | X=0107.330-0403.180 | Y=0627.310-0638.550 | thửa đất số 290, tờ BĐĐC số 230 có hiện trạng là đường nhựa, bê
P=0548 | X=0107.330-0167.490 | Y=0638.830-0650.070 | tông xi măng:
P=0548 | X=0090.020-0330.510 | Y=0655.590-0667.590 | 437 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0548 | X=0424.730-0449.780 | Y=0655.590-0664.910 | 2.500
P=0548 | X=0460.970-0486.020 | Y=0655.590-0664.910 | 1.800
P=0548 | X=0497.230-0522.280 | Y=0655.590-0664.910 | 1.500
P=0548 | X=0107.330-0394.220 | Y=0673.870-0685.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0548 | X=0107.330-0160.290 | Y=0685.390-0696.630 | đến ≤600m.
P=0548 | X=0107.330-0330.500 | Y=0702.930-0714.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0549 | X=0107.330-0392.390 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trường
P=0549 | X=0107.330-0396.460 | Y=0090.260-0101.500 | THCS thị trấn Hiệp Phước cũ đoạn từ Hùng Vương đến Hết ranh
P=0549 | X=0107.330-0403.180 | Y=0101.780-0113.020 | thửa đất số 290, tờ BĐĐC số 230 có hiện trạng là đường nhựa, bê
P=0549 | X=0090.020-0167.490 | Y=0113.300-0124.740 | 438 tông xi măng:
P=0549 | X=0424.730-0449.780 | Y=0115.420-0124.740 | 1.900
P=0549 | X=0460.970-0486.020 | Y=0115.420-0124.740 | 1.300
P=0549 | X=0497.230-0522.280 | Y=0115.420-0124.740 | 1.100
P=0549 | X=0107.330-0384.740 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0549 | X=0107.330-0330.970 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0549 | X=0107.330-0392.590 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0549 | X=0107.330-0372.700 | Y=0177.650-0188.890 | Đường Trường THCS thị trấn Hiệp Phước cũ đoạn từ Hùng
P=0549 | X=0107.330-0386.140 | Y=0189.170-0200.410 | Vương đến Hết ranh thửa đất số 290, tờ BĐĐC số 230 có hiện
P=0549 | X=0090.020-0279.110 | Y=0200.710-0212.150 | 439 trạng là đường nhựa, bê tông xi măng:
P=0549 | X=0424.730-0449.780 | Y=0202.830-0212.150 | 2.800
P=0549 | X=0460.970-0486.020 | Y=0202.830-0212.150 | 2.000
P=0549 | X=0497.230-0522.280 | Y=0202.830-0212.150 | 1.700
