TABLE=027 | AREA=Xã Xuân Bắc | SECTION=non-agricultural | SEGMENTS=1
P=1004 | X=0505.390-0522.030 | Y=0591.730-0601.050 | 720
P=1004 | X=0235.540-0308.210 | Y=0595.610-0606.850 | tờ bản đồ số 65,
P=1004 | X=0107.330-0124.610 | Y=0597.490-0606.810 | Bắc
P=1004 | X=0315.000-0377.960 | Y=0601.370-0612.610 | 236, tờ BĐĐC
P=1004 | X=0235.540-0295.770 | Y=0609.010-0618.330 | xã Xuân Bắc)
P=1004 | X=0315.000-0372.460 | Y=0614.770-0624.090 | số 65 về bên
P=1004 | X=0315.000-0371.220 | Y=0626.310-0635.630 | trái, xã Xuân
P=1004 | X=0315.000-0332.280 | Y=0637.830-0647.150 | Bắc
P=1004 | X=0107.330-0389.260 | Y=0653.710-0664.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp
P=1004 | X=0107.330-0383.740 | Y=0665.230-0676.470 | 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145, tờ bản
P=1004 | X=0092.900-0359.780 | Y=0676.510-0687.750 | 79 đồ số 65, xã Xuân Bắc) đến Hết ranh thửa đất số 226, tờ
P=1004 | X=0406.940-0423.580 | Y=0678.390-0687.710 | 670
P=1004 | X=0443.450-0460.090 | Y=0678.390-0687.710 | 470
P=1004 | X=0505.390-0522.030 | Y=0678.390-0687.710 | 400
P=1004 | X=0107.330-0389.500 | Y=0688.030-0699.270 | BĐĐC số 65 về bên phải và hết ranh thửa đất số 236, tờ BĐĐC
P=1004 | X=0107.330-0376.390 | Y=0699.550-0710.790 | số 65 về bên trái, xã Xuân Bắc có hiện trạng là đường nhựa,
P=1005 | X=0107.330-0181.410 | Y=0072.500-0083.740 | bê tông xi măng:
P=1005 | X=0107.330-0338.410 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1005 | X=0107.330-0384.500 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1005 | X=0107.330-0389.260 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp
P=1005 | X=0107.330-0383.740 | Y=0136.850-0148.090 | 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145, tờ bản
P=1005 | X=0107.330-0359.780 | Y=0148.370-0159.610 | đồ số 65, xã Xuân Bắc) đến Hết ranh thửa đất số 226, tờ
P=1005 | X=0107.330-0389.500 | Y=0159.650-0170.890 | BĐĐC số 65 về bên phải và hết ranh thửa đất số 236, tờ BĐĐC
P=1005 | X=0107.330-0376.390 | Y=0171.170-0182.410 | số 65 về bên trái, xã Xuân Bắc có hiện trạng là đường nhựa,
P=1005 | X=0092.900-0104.020 | Y=0179.050-0188.370 | 80
P=1005 | X=0406.940-0423.580 | Y=0179.050-0188.370 | 450
P=1005 | X=0443.450-0460.090 | Y=0179.050-0188.370 | 320
P=1005 | X=0505.390-0522.030 | Y=0179.050-0188.370 | 280
P=1005 | X=0107.330-0181.410 | Y=0182.690-0193.930 | bê tông xi măng:
P=1005 | X=0107.330-0338.880 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1005 | X=0107.330-0360.620 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1005 | X=0107.330-0202.280 | Y=0229.270-0240.510 | >500m đến ≤1.000m.
P=1005 | X=0107.330-0389.260 | Y=0247.030-0258.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp
P=1005 | X=0107.330-0383.740 | Y=0258.550-0269.790 | 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145, tờ bản
P=1005 | X=0107.330-0359.780 | Y=0270.070-0281.310 | đồ số 65, xã Xuân Bắc) đến Hết ranh thửa đất số 226, tờ
P=1005 | X=0107.330-0389.500 | Y=0281.620-0292.860 | BĐĐC số 65 về bên phải và hết ranh thửa đất số 236, tờ BĐĐC
P=1005 | X=0107.330-0376.390 | Y=0293.140-0304.380 | số 65 về bên trái, xã Xuân Bắc có hiện trạng là đường nhựa,
P=1005 | X=0092.900-0104.020 | Y=0301.020-0310.340 | 81
P=1005 | X=0406.940-0423.580 | Y=0301.020-0310.340 | 300
P=1005 | X=0443.450-0460.090 | Y=0301.020-0310.340 | 220
P=1005 | X=0505.390-0522.030 | Y=0301.020-0310.340 | 200
P=1005 | X=0107.330-0181.410 | Y=0304.660-0315.900 | bê tông xi măng:
P=1005 | X=0107.330-0348.420 | Y=0321.940-0333.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1005 | X=0107.330-0149.470 | Y=0335.340-0344.660 | >1.000m.
P=1005 | X=0107.330-0330.970 | Y=0350.980-0362.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1005 | X=0107.330-0380.840 | Y=0368.760-0380.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1005 | X=0107.330-0379.420 | Y=0380.280-0391.520 | ra Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa
P=1005 | X=0107.330-0379.420 | Y=0391.800-0403.040 | đất số 145, tờ bản đồ số 65, xã Xuân Bắc) đến Hết ranh thửa
P=1005 | X=0107.330-0388.060 | Y=0403.320-0414.560 | đất số 226, tờ BĐĐC số 65 về bên phải và hết ranh thửa đất số
P=1005 | X=0092.900-0380.370 | Y=0414.840-0426.280 | 82 236, tờ BĐĐC số 65 về bên trái, xã Xuân Bắc có hiện trạng là
P=1005 | X=0406.940-0423.580 | Y=0416.960-0426.280 | 600
P=1005 | X=0443.450-0460.090 | Y=0416.960-0426.280 | 420
P=1005 | X=0505.390-0522.030 | Y=0416.960-0426.280 | 360
P=1005 | X=0107.330-0243.080 | Y=0426.360-0437.600 | đường nhựa, bê tông xi măng:
P=1005 | X=0107.330-0338.410 | Y=0443.880-0455.120 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1005 | X=0107.330-0384.500 | Y=0461.420-0472.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1005 | X=0107.330-0380.840 | Y=0479.180-0490.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1005 | X=0107.330-0379.420 | Y=0490.460-0501.700 | ra Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa
P=1005 | X=0107.330-0379.420 | Y=0501.980-0513.220 | đất số 145, tờ bản đồ số 65, xã Xuân Bắc) đến Hết ranh thửa
P=1005 | X=0107.330-0388.060 | Y=0513.500-0524.740 | đất số 226, tờ BĐĐC số 65 về bên phải và hết ranh thửa đất số
P=1005 | X=0107.330-0380.370 | Y=0525.020-0536.260 | 236, tờ BĐĐC số 65 về bên trái, xã Xuân Bắc có hiện trạng là
P=1005 | X=0092.900-0243.080 | Y=0536.570-0551.130 | 83 đường nhựa, bê tông xi măng:
P=1005 | X=0406.940-0423.580 | Y=0541.810-0551.130 | 420
P=1005 | X=0443.450-0460.090 | Y=0541.810-0551.130 | 300
P=1005 | X=0505.390-0522.030 | Y=0541.810-0551.130 | 260
P=1005 | X=0107.330-0338.880 | Y=0554.090-0565.330 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1005 | X=0107.330-0360.620 | Y=0571.610-0582.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1005 | X=0107.330-0202.280 | Y=0583.130-0594.370 | >500m đến ≤1.000m.
P=1005 | X=0107.330-0330.500 | Y=0600.650-0611.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1005 | X=0107.330-0380.840 | Y=0618.430-0629.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1005 | X=0107.330-0379.420 | Y=0629.950-0641.190 | ra Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa
P=1005 | X=0107.330-0379.420 | Y=0641.470-0652.710 | đất số 145, tờ bản đồ số 65, xã Xuân Bắc) đến Hết ranh thửa
P=1005 | X=0107.330-0388.060 | Y=0652.750-0663.990 | đất số 226, tờ BĐĐC số 65 về bên phải và hết ranh thửa đất số
P=1005 | X=0092.900-0380.370 | Y=0663.510-0675.510 | 84 236, tờ BĐĐC số 65 về bên trái, xã Xuân Bắc có hiện trạng là
P=1005 | X=0406.940-0423.580 | Y=0663.510-0672.830 | 280
P=1005 | X=0443.450-0460.090 | Y=0663.510-0672.830 | 200
P=1005 | X=0505.390-0522.030 | Y=0663.510-0672.830 | 180
P=1005 | X=0107.330-0243.080 | Y=0675.790-0687.030 | đường nhựa, bê tông xi măng:
P=1005 | X=0107.330-0348.420 | Y=0693.310-0704.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1005 | X=0107.330-0149.470 | Y=0706.740-0716.060 | >1.000m.
P=1006 | X=0107.330-0330.970 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1006 | X=0315.000-0372.690 | Y=0096.260-0107.500 | Đường Xuân
P=1006 | X=0107.330-0212.070 | Y=0102.020-0113.260 | Đường Xuân Bắc - Bảo
P=1006 | X=0235.540-0363.560 | Y=0107.780-0119.020 | Đường tỉnh 763 Bắc - Long
P=1006 | X=0092.900-0104.020 | Y=0109.660-0118.980 | 85
P=1006 | X=0398.780-0423.830 | Y=0109.660-0118.980 | 1.300
P=1006 | X=0443.450-0460.090 | Y=0109.660-0118.980 | 910
P=1006 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 780
P=1006 | X=0107.330-0137.420 | Y=0115.420-0124.740 | Quang
P=1006 | X=0315.000-0343.890 | Y=0121.210-0130.530 | Khánh
P=1006 | X=0107.330-0381.570 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1006 | X=0107.330-0373.900 | Y=0148.610-0159.850 | Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân
P=1006 | X=0107.330-0366.430 | Y=0160.130-0171.370 | Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=1006 | X=0092.900-0135.330 | Y=0171.410-0182.850 | 86 măng:
P=1006 | X=0406.940-0423.580 | Y=0173.530-0182.850 | 670
P=1006 | X=0443.450-0460.090 | Y=0173.530-0182.850 | 470
P=1006 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 400
P=1006 | X=0107.330-0338.410 | Y=0188.930-0200.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1006 | X=0107.330-0384.500 | Y=0206.470-0217.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1006 | X=0107.330-0381.570 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1006 | X=0107.330-0373.900 | Y=0235.750-0246.990 | Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân
P=1006 | X=0107.330-0366.430 | Y=0247.270-0258.510 | Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=1006 | X=0107.330-0135.330 | Y=0258.790-0270.030 | măng:
P=1006 | X=0092.900-0338.880 | Y=0275.310-0287.550 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1006 | X=0406.940-0423.580 | Y=0275.310-0284.630 | 600
P=1006 | X=0443.450-0460.090 | Y=0275.310-0284.630 | 420
P=1006 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 360
P=1006 | X=0107.330-0360.620 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1006 | X=0107.330-0202.280 | Y=0305.380-0316.620 | >500m đến ≤1.000m.
P=1006 | X=0107.330-0330.500 | Y=0322.900-0334.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1006 | X=0107.330-0381.570 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1006 | X=0107.330-0373.900 | Y=0351.940-0363.180 | Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân
P=1006 | X=0107.330-0366.430 | Y=0363.460-0374.700 | Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=1006 | X=0107.330-0135.330 | Y=0375.000-0386.240 | măng:
P=1006 | X=0092.900-0104.020 | Y=0382.880-0392.200 | 88
P=1006 | X=0406.940-0423.580 | Y=0382.880-0392.200 | 450
P=1006 | X=0443.450-0460.090 | Y=0382.880-0392.200 | 320
P=1006 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 270
P=1006 | X=0107.330-0348.440 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1006 | X=0107.330-0149.470 | Y=0405.920-0415.240 | >1.000m.
P=1006 | X=0107.330-0330.970 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1006 | X=0107.330-0380.840 | Y=0439.320-0450.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1006 | X=0107.330-0385.660 | Y=0450.860-0462.100 | ra Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến
P=1006 | X=0107.330-0380.710 | Y=0462.380-0473.620 | Đường Xuân Bắc - Long Khánh có hiện trạng là đường nhựa,
P=1006 | X=0092.900-0181.400 | Y=0473.900-0485.340 | 89 bê tông xi măng:
P=1006 | X=0406.940-0423.580 | Y=0476.020-0485.340 | 600
P=1006 | X=0443.450-0460.090 | Y=0476.020-0485.340 | 420
P=1006 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 360
P=1006 | X=0107.330-0338.410 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1006 | X=0107.330-0384.500 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1006 | X=0107.330-0380.840 | Y=0526.460-0537.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1006 | X=0107.330-0385.660 | Y=0538.010-0549.250 | ra Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến
P=1006 | X=0107.330-0380.710 | Y=0549.530-0560.770 | Đường Xuân Bắc - Long Khánh có hiện trạng là đường nhựa,
P=1006 | X=0107.330-0181.410 | Y=0561.050-0572.290 | bê tông xi măng:
P=1006 | X=0092.900-0338.880 | Y=0577.810-0589.810 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1006 | X=0406.940-0423.580 | Y=0577.810-0587.130 | 540
P=1006 | X=0443.450-0460.090 | Y=0577.810-0587.130 | 380
P=1006 | X=0505.390-0522.030 | Y=0577.810-0587.130 | 320
P=1006 | X=0107.330-0360.620 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1006 | X=0107.330-0202.280 | Y=0607.610-0618.850 | >500m đến ≤1.000m.
P=1006 | X=0107.330-0330.500 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1006 | X=0107.330-0380.840 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1006 | X=0107.330-0385.660 | Y=0654.430-0665.670 | ra Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến
P=1006 | X=0107.330-0380.710 | Y=0665.950-0677.190 | Đường Xuân Bắc - Long Khánh có hiện trạng là đường nhựa,
P=1006 | X=0092.900-0181.410 | Y=0676.470-0688.710 | 91 bê tông xi măng:
P=1006 | X=0406.940-0423.580 | Y=0676.470-0685.790 | 410
P=1006 | X=0443.450-0460.090 | Y=0676.470-0685.790 | 290
P=1006 | X=0505.390-0522.030 | Y=0676.470-0685.790 | 250
P=1006 | X=0107.330-0348.420 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1006 | X=0107.330-0149.470 | Y=0708.180-0717.500 | >1.000m.
P=1007 | X=0107.330-0330.970 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1007 | X=0235.540-0296.820 | Y=0096.260-0107.500 | Đường đi vào
P=1007 | X=0315.000-0388.520 | Y=0102.020-0113.260 | Hết nhà văn hóa
P=1007 | X=0092.900-0210.150 | Y=0107.780-0119.020 | 92 Đường vào ấp Bàu Cối
P=1007 | X=0235.540-0312.930 | Y=0107.780-0119.020 | Nông trường Thọ
P=1007 | X=0398.780-0423.830 | Y=0109.660-0118.980 | 1.200
P=1007 | X=0443.450-0460.090 | Y=0109.660-0118.980 | 840
P=1007 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 720
P=1007 | X=0315.000-0364.540 | Y=0113.540-0124.780 | ấp Bàu Cối
P=1007 | X=0235.540-0254.020 | Y=0121.210-0130.530 | Vực
P=1007 | X=0107.330-0388.540 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào ấp
P=1007 | X=0107.330-0382.870 | Y=0148.610-0159.850 | Bàu Cối đoạn từ Đường đi vào Nông trường Thọ Vực đến Hết
P=1007 | X=0107.330-0383.720 | Y=0160.130-0171.370 | nhà văn hóa ấp Bàu Cối có hiện trạng là đường nhựa, bê tông
P=1007 | X=0092.900-0145.160 | Y=0171.410-0182.850 | 93 xi măng:
P=1007 | X=0406.940-0423.580 | Y=0173.530-0182.850 | 590
P=1007 | X=0443.450-0460.090 | Y=0173.530-0182.850 | 410
P=1007 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 350
P=1007 | X=0107.330-0338.410 | Y=0188.930-0200.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1007 | X=0107.330-0384.500 | Y=0206.470-0217.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1007 | X=0107.330-0388.540 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào ấp
P=1007 | X=0107.330-0382.870 | Y=0235.750-0246.990 | Bàu Cối đoạn từ Đường đi vào Nông trường Thọ Vực đến Hết
P=1007 | X=0107.330-0383.720 | Y=0247.270-0258.510 | nhà văn hóa ấp Bàu Cối có hiện trạng là đường nhựa, bê tông
P=1007 | X=0107.330-0145.160 | Y=0258.790-0270.030 | xi măng:
P=1007 | X=0092.900-0338.880 | Y=0275.310-0287.550 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1007 | X=0406.940-0423.580 | Y=0275.310-0284.630 | 530
P=1007 | X=0443.450-0460.090 | Y=0275.310-0284.630 | 370
P=1007 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 320
P=1007 | X=0107.330-0360.620 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1007 | X=0107.330-0202.310 | Y=0305.380-0316.620 | >500m đến ≤1.000m.
P=1007 | X=0107.330-0330.500 | Y=0322.900-0334.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1007 | X=0107.330-0388.540 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào ấp
P=1007 | X=0107.330-0382.870 | Y=0351.940-0363.180 | Bàu Cối đoạn từ Đường đi vào Nông trường Thọ Vực đến Hết
P=1007 | X=0107.330-0383.720 | Y=0363.460-0374.700 | nhà văn hóa ấp Bàu Cối có hiện trạng là đường nhựa, bê tông
P=1007 | X=0107.330-0145.160 | Y=0375.000-0386.240 | xi măng:
P=1007 | X=0092.900-0104.020 | Y=0382.880-0392.200 | 95
P=1007 | X=0406.940-0423.580 | Y=0382.880-0392.200 | 400
P=1007 | X=0443.450-0460.090 | Y=0382.880-0392.200 | 280
P=1007 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 240
P=1007 | X=0107.330-0348.420 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1007 | X=0107.330-0149.470 | Y=0405.920-0415.240 | >1.000m.
P=1007 | X=0107.330-0330.970 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1007 | X=0107.330-0380.840 | Y=0439.320-0450.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1007 | X=0107.330-0383.260 | Y=0450.860-0462.100 | ra Đường vào ấp Bàu Cối đoạn từ Đường đi vào Nông trường
P=1007 | X=0107.330-0364.990 | Y=0462.380-0473.620 | Thọ Vực đến Hết nhà văn hóa ấp Bàu Cối có hiện trạng là
P=1007 | X=0092.900-0243.080 | Y=0473.900-0485.340 | 96 đường nhựa, bê tông xi măng:
P=1007 | X=0406.940-0423.580 | Y=0476.020-0485.340 | 530
P=1007 | X=0443.450-0460.090 | Y=0476.020-0485.340 | 370
P=1007 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 330
P=1007 | X=0107.330-0338.410 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1007 | X=0107.330-0384.500 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1007 | X=0107.330-0380.840 | Y=0526.460-0537.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1007 | X=0107.330-0383.260 | Y=0538.010-0549.250 | ra Đường vào ấp Bàu Cối đoạn từ Đường đi vào Nông trường
P=1007 | X=0107.330-0364.990 | Y=0549.530-0560.770 | Thọ Vực đến Hết nhà văn hóa ấp Bàu Cối có hiện trạng là
P=1007 | X=0107.330-0243.080 | Y=0561.050-0572.290 | đường nhựa, bê tông xi măng:
P=1007 | X=0092.900-0338.880 | Y=0577.810-0589.810 | 97 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1007 | X=0406.940-0423.580 | Y=0577.810-0587.130 | 480
P=1007 | X=0443.450-0460.090 | Y=0577.810-0587.130 | 340
P=1007 | X=0505.390-0522.030 | Y=0577.810-0587.130 | 290
P=1007 | X=0107.330-0360.620 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1007 | X=0107.330-0202.310 | Y=0607.610-0618.850 | >500m đến ≤1.000m.
P=1007 | X=0107.330-0330.500 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1007 | X=0107.330-0380.840 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1007 | X=0107.330-0383.260 | Y=0654.430-0665.670 | ra Đường vào ấp Bàu Cối đoạn từ Đường đi vào Nông trường
P=1007 | X=0107.330-0364.990 | Y=0665.950-0677.190 | Thọ Vực đến Hết nhà văn hóa ấp Bàu Cối có hiện trạng là
P=1007 | X=0092.900-0243.110 | Y=0676.470-0688.710 | 98 đường nhựa, bê tông xi măng:
P=1007 | X=0406.940-0423.580 | Y=0676.470-0685.790 | 360
P=1007 | X=0443.450-0460.090 | Y=0676.470-0685.790 | 250
P=1007 | X=0505.390-0522.030 | Y=0676.470-0685.790 | 220
P=1007 | X=0107.330-0348.420 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1007 | X=0107.330-0149.470 | Y=0708.180-0717.500 | >1.000m.
P=1008 | X=0107.330-0330.970 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1008 | X=0315.000-0359.000 | Y=0098.140-0107.460 | Giáp ranh
P=1008 | X=0235.540-0313.320 | Y=0102.020-0113.260 | Đường Xuân Bắc
P=1008 | X=0092.900-0225.280 | Y=0107.780-0119.020 | 99 Đường ấp 6 đi Bảo Quang
P=1008 | X=0315.000-0371.260 | Y=0107.780-0119.020 | phường Bảo
P=1008 | X=0398.780-0423.830 | Y=0109.660-0118.980 | 1.300
P=1008 | X=0443.450-0460.090 | Y=0109.660-0118.980 | 910
P=1008 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 780
P=1008 | X=0235.540-0292.510 | Y=0115.420-0124.740 | - Bảo Quang
P=1008 | X=0315.000-0335.240 | Y=0121.210-0130.530 | Vinh
P=1008 | X=0107.330-0388.530 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 6 đi
P=1008 | X=0107.330-0378.680 | Y=0148.610-0159.850 | Bảo Quang đoạn từ Đường Xuân Bắc - Bảo Quang đến Giáp
P=1008 | X=0107.330-0388.040 | Y=0160.130-0171.370 | ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi
P=1008 | X=0090.020-0135.330 | Y=0171.410-0182.850 | 100 măng:
P=1008 | X=0406.940-0423.580 | Y=0173.530-0182.850 | 670
P=1008 | X=0443.450-0460.090 | Y=0173.530-0182.850 | 470
P=1008 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 400
P=1008 | X=0107.330-0338.410 | Y=0188.930-0200.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1008 | X=0107.330-0384.530 | Y=0206.470-0217.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1008 | X=0107.330-0388.530 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 6 đi
P=1008 | X=0107.330-0378.680 | Y=0235.750-0246.990 | Bảo Quang đoạn từ Đường Xuân Bắc - Bảo Quang đến Giáp
P=1008 | X=0107.330-0388.040 | Y=0247.270-0258.510 | ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi
P=1008 | X=0107.330-0135.330 | Y=0258.790-0270.030 | măng:
P=1008 | X=0090.020-0338.920 | Y=0275.310-0287.550 | 101 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1008 | X=0406.940-0423.580 | Y=0275.310-0284.630 | 600
P=1008 | X=0443.450-0460.090 | Y=0275.310-0284.630 | 420
P=1008 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 360
P=1008 | X=0107.330-0360.620 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1008 | X=0107.330-0202.280 | Y=0305.380-0316.620 | >500m đến ≤1.000m.
P=1008 | X=0107.330-0330.500 | Y=0322.900-0334.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1008 | X=0107.330-0388.530 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 6 đi
P=1008 | X=0107.330-0378.680 | Y=0351.940-0363.180 | Bảo Quang đoạn từ Đường Xuân Bắc - Bảo Quang đến Giáp
P=1008 | X=0107.330-0388.040 | Y=0363.460-0374.700 | ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi
P=1008 | X=0107.330-0135.330 | Y=0375.000-0386.240 | măng:
P=1008 | X=0090.020-0106.660 | Y=0382.880-0392.200 | 102
P=1008 | X=0406.940-0423.580 | Y=0382.880-0392.200 | 450
P=1008 | X=0443.450-0460.090 | Y=0382.880-0392.200 | 320
P=1008 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 270
P=1008 | X=0107.330-0348.420 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1008 | X=0107.330-0149.470 | Y=0405.920-0415.240 | >1.000m.
P=1008 | X=0107.330-0330.970 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1008 | X=0107.330-0380.840 | Y=0439.320-0450.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1008 | X=0107.330-0381.580 | Y=0450.860-0462.100 | ra Đường ấp 6 đi Bảo Quang đoạn từ Đường Xuân Bắc - Bảo
P=1008 | X=0107.330-0389.260 | Y=0462.380-0473.620 | Quang đến Giáp ranh phường Bảo Vinh có hiện trạng là đường
