TABLE=012 | AREA=Xã Bình An | SECTION=non-agricultural | SEGMENTS=1
P=0432 | X=0497.230-0522.280 | Y=0214.830-0224.150 | 3.500
P=0432 | X=0214.870-0365.710 | Y=0220.590-0229.910 | Thành - Bình An Sa Cá - Bàu Tre
P=0432 | X=0113.090-0361.410 | Y=0236.710-0247.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0432 | X=0113.090-0346.280 | Y=0248.230-0259.470 | tỉnh 769 đoạn từ Ranh xã Long Thành - Bình An đến
P=0432 | X=0113.090-0359.240 | Y=0259.750-0270.990 | Đường Liên ấp Sa Cá - Bàu Tre có hiện trạng là đường
P=0432 | X=0113.090-0216.200 | Y=0271.270-0282.510 | nhựa, bê tông xi măng:
P=0432 | X=0095.810-0106.930 | Y=0279.150-0288.470 | 79
P=0432 | X=0399.500-0424.550 | Y=0279.150-0288.470 | 2.900
P=0432 | X=0448.730-0473.780 | Y=0279.150-0288.470 | 2.000
P=0432 | X=0497.230-0522.280 | Y=0279.150-0288.470 | 1.700
P=0432 | X=0113.090-0344.170 | Y=0288.820-0300.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0432 | X=0113.090-0354.200 | Y=0306.340-0317.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0432 | X=0113.090-0146.610 | Y=0317.860-0329.100 | ≤500m.
P=0432 | X=0113.090-0361.410 | Y=0335.860-0347.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0432 | X=0113.090-0346.280 | Y=0347.380-0358.620 | tỉnh 769 đoạn từ Ranh xã Long Thành - Bình An đến
P=0432 | X=0113.090-0359.240 | Y=0358.900-0370.140 | Đường Liên ấp Sa Cá - Bàu Tre có hiện trạng là đường
P=0432 | X=0113.090-0216.200 | Y=0370.200-0381.440 | nhựa, bê tông xi măng:
P=0432 | X=0095.810-0344.640 | Y=0386.960-0398.960 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0432 | X=0399.500-0424.550 | Y=0386.960-0396.280 | 2.000
P=0432 | X=0448.730-0473.780 | Y=0386.960-0396.280 | 1.400
P=0432 | X=0497.230-0522.280 | Y=0386.960-0396.280 | 1.200
P=0432 | X=0113.090-0366.400 | Y=0405.240-0416.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0432 | X=0113.090-0208.040 | Y=0416.760-0428.000 | >500m đến ≤1.000m.
P=0432 | X=0113.090-0336.260 | Y=0434.280-0445.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0432 | X=0113.090-0361.410 | Y=0452.300-0463.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0432 | X=0113.090-0346.280 | Y=0463.820-0475.060 | tỉnh 769 đoạn từ Ranh xã Long Thành - Bình An đến
P=0432 | X=0113.090-0359.240 | Y=0475.340-0486.580 | Đường Liên ấp Sa Cá - Bàu Tre có hiện trạng là đường
P=0432 | X=0113.090-0216.200 | Y=0486.860-0498.100 | nhựa, bê tông xi măng:
P=0432 | X=0095.810-0106.930 | Y=0494.740-0504.060 | 81
P=0432 | X=0399.500-0424.550 | Y=0494.740-0504.060 | 1.400
P=0432 | X=0456.890-0473.530 | Y=0494.740-0504.060 | 980
P=0432 | X=0505.390-0522.030 | Y=0494.740-0504.060 | 840
P=0432 | X=0113.090-0354.200 | Y=0504.380-0515.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0432 | X=0113.090-0155.230 | Y=0517.780-0527.100 | >1.000m.
P=0432 | X=0113.090-0336.730 | Y=0533.450-0544.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0432 | X=0113.090-0359.000 | Y=0551.450-0562.690 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0432 | X=0113.090-0362.060 | Y=0562.970-0574.210 | thông ra Đường tỉnh 769 đoạn từ Ranh xã Long Thành -
P=0432 | X=0113.090-0373.660 | Y=0574.250-0585.490 | Bình An đến Đường Liên ấp Sa Cá - Bàu Tre có hiện trạng
P=0432 | X=0113.090-0259.420 | Y=0585.770-0597.010 | là đường nhựa, bê tông xi măng:
P=0432 | X=0095.810-0106.930 | Y=0593.650-0602.970 | 82
P=0432 | X=0399.500-0424.550 | Y=0593.650-0602.970 | 2.600
P=0432 | X=0448.730-0473.780 | Y=0593.650-0602.970 | 1.800
P=0432 | X=0497.230-0522.280 | Y=0593.650-0602.970 | 1.600
P=0432 | X=0113.090-0344.170 | Y=0603.290-0614.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0432 | X=0113.090-0354.200 | Y=0620.830-0632.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0432 | X=0113.090-0146.610 | Y=0632.350-0643.590 | ≤500m.
P=0432 | X=0113.090-0359.000 | Y=0650.350-0661.590 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0432 | X=0113.090-0362.060 | Y=0661.870-0673.110 | thông ra Đường tỉnh 769 đoạn từ Ranh xã Long Thành -
P=0432 | X=0095.810-0373.660 | Y=0673.390-0687.470 | 83 Bình An đến Đường Liên ấp Sa Cá - Bàu Tre có hiện trạng
P=0432 | X=0399.500-0424.550 | Y=0678.150-0687.470 | 1.800
P=0432 | X=0448.730-0473.780 | Y=0678.150-0687.470 | 1.300
P=0432 | X=0497.230-0522.280 | Y=0678.150-0687.470 | 1.100
P=0432 | X=0113.090-0259.420 | Y=0684.910-0696.150 | là đường nhựa, bê tông xi măng:
P=0432 | X=0113.090-0344.650 | Y=0702.450-0713.690 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0433 | X=0113.090-0366.400 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0433 | X=0113.090-0208.040 | Y=0090.260-0101.500 | >500m đến ≤1.000m.
P=0433 | X=0113.090-0336.260 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0433 | X=0113.090-0359.000 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0433 | X=0113.090-0362.060 | Y=0137.330-0148.570 | thông ra Đường tỉnh 769 đoạn từ Ranh xã Long Thành -
P=0433 | X=0113.090-0373.660 | Y=0148.850-0160.090 | Bình An đến Đường Liên ấp Sa Cá - Bàu Tre có hiện trạng
P=0433 | X=0113.090-0259.420 | Y=0160.370-0171.610 | là đường nhựa, bê tông xi măng:
P=0433 | X=0095.810-0106.930 | Y=0168.250-0177.570 | 84
P=0433 | X=0399.500-0424.550 | Y=0168.250-0177.570 | 1.300
P=0433 | X=0456.890-0473.530 | Y=0168.250-0177.570 | 910
P=0433 | X=0505.390-0522.030 | Y=0168.250-0177.570 | 780
P=0433 | X=0113.090-0354.200 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0433 | X=0113.090-0155.230 | Y=0191.050-0200.370 | >1.000m.
P=0433 | X=0113.090-0336.730 | Y=0206.710-0217.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0433 | X=0214.870-0282.420 | Y=0224.710-0235.950 | Đường Liên ấp
P=0433 | X=0095.810-0183.260 | Y=0230.470-0241.710 | 85 Đường tỉnh 769
P=0433 | X=0293.160-0349.650 | Y=0232.350-0241.670 | Cầu An Viễn
P=0433 | X=0399.500-0424.550 | Y=0232.350-0241.670 | 6.300
P=0433 | X=0448.730-0473.780 | Y=0232.350-0241.670 | 4.400
P=0433 | X=0497.230-0522.280 | Y=0232.350-0241.670 | 3.800
P=0433 | X=0214.870-0287.450 | Y=0238.110-0247.430 | Sa Cá - Bàu Tre
P=0433 | X=0113.090-0361.410 | Y=0254.230-0265.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0433 | X=0113.090-0371.500 | Y=0265.750-0276.990 | tỉnh 769 đoạn từ Đường Liên ấp Sa Cá - Bàu Tre đến Cầu
P=0433 | X=0113.090-0357.850 | Y=0277.270-0288.510 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=0433 | X=0095.810-0106.930 | Y=0290.940-0300.260 | 86
P=0433 | X=0399.500-0424.550 | Y=0290.940-0300.260 | 3.200
P=0433 | X=0448.730-0473.780 | Y=0290.940-0300.260 | 2.200
P=0433 | X=0497.230-0522.280 | Y=0290.940-0300.260 | 1.900
P=0433 | X=0113.090-0344.170 | Y=0294.820-0306.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0433 | X=0113.090-0354.200 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0433 | X=0113.090-0146.610 | Y=0323.860-0335.100 | ≤500m.
P=0433 | X=0113.090-0361.410 | Y=0341.860-0353.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0433 | X=0113.090-0371.500 | Y=0353.380-0364.620 | tỉnh 769 đoạn từ Đường Liên ấp Sa Cá - Bàu Tre đến Cầu
P=0433 | X=0113.090-0357.850 | Y=0364.900-0376.140 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=0433 | X=0095.810-0344.640 | Y=0382.200-0396.520 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0433 | X=0399.500-0424.550 | Y=0387.200-0396.520 | 2.000
P=0433 | X=0448.730-0473.780 | Y=0387.200-0396.520 | 1.400
P=0433 | X=0497.230-0522.280 | Y=0387.200-0396.520 | 1.200
P=0433 | X=0113.090-0366.400 | Y=0399.720-0410.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0433 | X=0113.090-0208.040 | Y=0411.240-0422.480 | >500m đến ≤1.000m.
P=0433 | X=0113.090-0336.260 | Y=0428.760-0440.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0433 | X=0113.090-0361.410 | Y=0446.760-0458.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0433 | X=0113.090-0371.500 | Y=0458.300-0469.540 | tỉnh 769 đoạn từ Đường Liên ấp Sa Cá - Bàu Tre đến Cầu
P=0433 | X=0113.090-0357.850 | Y=0469.820-0481.060 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=0433 | X=0095.810-0106.930 | Y=0483.460-0492.780 | 88
P=0433 | X=0399.500-0424.550 | Y=0483.460-0492.780 | 1.400
P=0433 | X=0456.890-0473.530 | Y=0483.460-0492.780 | 980
P=0433 | X=0505.390-0522.030 | Y=0483.460-0492.780 | 840
P=0433 | X=0113.090-0354.200 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0433 | X=0113.090-0155.230 | Y=0500.740-0510.060 | >1.000m.
P=0433 | X=0113.090-0336.730 | Y=0516.380-0527.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0433 | X=0113.090-0359.000 | Y=0534.410-0545.650 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0433 | X=0113.090-0366.620 | Y=0545.930-0557.170 | thông ra Đường tỉnh 769 đoạn từ Đường Liên ấp Sa Cá -
P=0433 | X=0113.090-0373.880 | Y=0557.450-0568.690 | Bàu Tre đến Cầu An Viễn có hiện trạng là đường nhựa, bê
P=0433 | X=0113.090-0173.250 | Y=0568.970-0580.210 | tông xi măng:
P=0433 | X=0095.810-0106.930 | Y=0576.850-0586.170 | 89
P=0433 | X=0399.500-0424.550 | Y=0576.850-0586.170 | 2.900
P=0433 | X=0448.730-0473.780 | Y=0576.850-0586.170 | 2.000
P=0433 | X=0497.230-0522.280 | Y=0576.850-0586.170 | 1.700
P=0433 | X=0113.090-0344.170 | Y=0586.250-0597.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0433 | X=0113.090-0354.200 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0433 | X=0113.090-0146.610 | Y=0615.290-0626.530 | ≤500m.
P=0433 | X=0113.090-0359.000 | Y=0633.310-0644.550 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0433 | X=0113.090-0366.620 | Y=0644.830-0656.070 | thông ra Đường tỉnh 769 đoạn từ Đường Liên ấp Sa Cá -
P=0433 | X=0113.090-0373.880 | Y=0656.350-0667.590 | Bàu Tre đến Cầu An Viễn có hiện trạng là đường nhựa, bê
P=0433 | X=0095.810-0173.250 | Y=0667.870-0679.310 | 90 tông xi măng:
P=0433 | X=0399.500-0424.550 | Y=0669.990-0679.310 | 1.800
P=0433 | X=0448.730-0473.780 | Y=0669.990-0679.310 | 1.300
P=0433 | X=0497.230-0522.280 | Y=0669.990-0679.310 | 1.100
P=0433 | X=0113.090-0344.640 | Y=0685.390-0696.630 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0433 | X=0113.090-0366.400 | Y=0702.930-0714.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0434 | X=0113.090-0208.040 | Y=0072.740-0083.980 | >500m đến ≤1.000m.
P=0434 | X=0113.090-0336.260 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0434 | X=0113.090-0359.000 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0434 | X=0113.090-0366.620 | Y=0119.810-0131.050 | thông ra Đường tỉnh 769 đoạn từ Đường Liên ấp Sa Cá -
P=0434 | X=0113.090-0373.880 | Y=0131.330-0142.570 | Bàu Tre đến Cầu An Viễn có hiện trạng là đường nhựa, bê
P=0434 | X=0113.090-0173.250 | Y=0142.850-0154.090 | tông xi măng:
P=0434 | X=0095.810-0106.930 | Y=0150.730-0160.050 | 91
P=0434 | X=0399.500-0424.550 | Y=0150.730-0160.050 | 1.300
P=0434 | X=0456.890-0473.530 | Y=0150.730-0160.050 | 910
P=0434 | X=0505.390-0522.030 | Y=0150.730-0160.050 | 780
P=0434 | X=0113.090-0354.200 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0434 | X=0113.090-0155.230 | Y=0173.530-0182.850 | >1.000m.
P=0434 | X=0113.090-0336.730 | Y=0189.170-0200.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0434 | X=0293.160-0372.710 | Y=0207.190-0218.430 | Giáp nông trường
P=0434 | X=0095.810-0183.260 | Y=0212.950-0224.190 | 92 Đường tỉnh 769
P=0434 | X=0214.870-0271.390 | Y=0214.830-0224.150 | Cầu An Viễn
P=0434 | X=0399.500-0424.550 | Y=0214.830-0224.150 | 5.100
P=0434 | X=0448.730-0473.780 | Y=0214.830-0224.150 | 3.600
P=0434 | X=0497.230-0522.280 | Y=0214.830-0224.150 | 3.100
P=0434 | X=0293.160-0366.230 | Y=0220.590-0229.910 | cao su An Viễng
P=0434 | X=0113.090-0361.410 | Y=0236.710-0247.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0434 | X=0113.090-0365.490 | Y=0248.230-0259.470 | tỉnh 769 đoạn từ Cầu An Viễn đến Giáp nông trường cao
P=0434 | X=0113.090-0346.030 | Y=0259.750-0270.990 | su An Viễng có hiện trạng là đường nhựa, bê tông xi
P=0434 | X=0113.090-0141.090 | Y=0271.270-0282.510 | măng:
P=0434 | X=0095.810-0106.930 | Y=0279.150-0288.470 | 93
P=0434 | X=0399.500-0424.550 | Y=0279.150-0288.470 | 2.400
P=0434 | X=0448.730-0473.780 | Y=0279.150-0288.470 | 1.700
P=0434 | X=0497.230-0522.280 | Y=0279.150-0288.470 | 1.400
P=0434 | X=0113.090-0344.170 | Y=0288.820-0300.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0434 | X=0113.090-0354.200 | Y=0306.340-0317.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0434 | X=0113.090-0146.610 | Y=0317.860-0329.100 | ≤500m.
P=0434 | X=0113.090-0361.410 | Y=0335.860-0347.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0434 | X=0113.090-0365.490 | Y=0347.380-0358.620 | tỉnh 769 đoạn từ Cầu An Viễn đến Giáp nông trường cao
P=0434 | X=0113.090-0346.030 | Y=0358.900-0370.140 | su An Viễng có hiện trạng là đường nhựa, bê tông xi
P=0434 | X=0113.090-0141.090 | Y=0370.200-0381.440 | măng:
P=0434 | X=0095.810-0344.640 | Y=0386.960-0398.960 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0434 | X=0399.500-0424.550 | Y=0386.960-0396.280 | 2.000
P=0434 | X=0448.730-0473.780 | Y=0386.960-0396.280 | 1.400
P=0434 | X=0497.230-0522.280 | Y=0386.960-0396.280 | 1.200
P=0434 | X=0113.090-0366.400 | Y=0405.240-0416.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0434 | X=0113.090-0208.040 | Y=0416.760-0428.000 | >500m đến ≤1.000m.
P=0434 | X=0113.090-0336.260 | Y=0434.280-0445.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0434 | X=0113.090-0361.410 | Y=0452.300-0463.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0434 | X=0113.090-0365.490 | Y=0463.820-0475.060 | tỉnh 769 đoạn từ Cầu An Viễn đến Giáp nông trường cao
P=0434 | X=0113.090-0346.030 | Y=0475.340-0486.580 | su An Viễng có hiện trạng là đường nhựa, bê tông xi
P=0434 | X=0113.090-0141.090 | Y=0486.860-0498.100 | măng:
P=0434 | X=0095.810-0106.930 | Y=0494.740-0504.060 | 95
P=0434 | X=0399.500-0424.550 | Y=0494.740-0504.060 | 1.400
P=0434 | X=0456.890-0473.530 | Y=0494.740-0504.060 | 980
P=0434 | X=0505.390-0522.030 | Y=0494.740-0504.060 | 840
P=0434 | X=0113.090-0354.200 | Y=0504.380-0515.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0434 | X=0113.090-0155.230 | Y=0517.780-0527.100 | >1.000m.
P=0434 | X=0113.090-0336.730 | Y=0533.450-0544.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0434 | X=0113.090-0359.000 | Y=0551.450-0562.690 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0434 | X=0113.090-0362.120 | Y=0562.970-0574.210 | thông ra Đường tỉnh 769 đoạn từ Cầu An Viễn đến Giáp
P=0434 | X=0113.090-0348.440 | Y=0574.250-0585.490 | nông trường cao su An Viễng có hiện trạng là đường
P=0434 | X=0113.090-0216.200 | Y=0585.770-0597.010 | nhựa, bê tông xi măng:
P=0434 | X=0095.810-0106.930 | Y=0593.650-0602.970 | 96
P=0434 | X=0399.500-0424.550 | Y=0593.650-0602.970 | 2.200
P=0434 | X=0448.730-0473.780 | Y=0593.650-0602.970 | 1.500
P=0434 | X=0497.230-0522.280 | Y=0593.650-0602.970 | 1.300
P=0434 | X=0113.090-0344.170 | Y=0603.290-0614.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0434 | X=0113.090-0354.200 | Y=0620.830-0632.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0434 | X=0113.090-0146.610 | Y=0632.350-0643.590 | ≤500m.
P=0434 | X=0113.090-0359.000 | Y=0650.350-0661.590 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0434 | X=0113.090-0362.120 | Y=0661.870-0673.110 | thông ra Đường tỉnh 769 đoạn từ Cầu An Viễn đến Giáp
P=0434 | X=0095.810-0348.440 | Y=0673.390-0687.470 | 97 nông trường cao su An Viễng có hiện trạng là đường
P=0434 | X=0399.500-0424.550 | Y=0678.150-0687.470 | 1.800
P=0434 | X=0448.730-0473.780 | Y=0678.150-0687.470 | 1.300
P=0434 | X=0497.230-0522.280 | Y=0678.150-0687.470 | 1.100
P=0434 | X=0113.090-0216.200 | Y=0684.910-0696.150 | nhựa, bê tông xi măng:
P=0434 | X=0113.090-0344.640 | Y=0702.450-0713.690 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0435 | X=0113.090-0366.400 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0435 | X=0113.090-0208.040 | Y=0090.260-0101.500 | >500m đến ≤1.000m.
P=0435 | X=0113.090-0336.260 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0435 | X=0113.090-0359.000 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0435 | X=0113.090-0362.120 | Y=0137.330-0148.570 | thông ra Đường tỉnh 769 đoạn từ Cầu An Viễn đến Giáp
P=0435 | X=0113.090-0348.440 | Y=0148.850-0160.090 | nông trường cao su An Viễng có hiện trạng là đường
P=0435 | X=0113.090-0216.240 | Y=0162.250-0171.570 | nhựa, bê tông xi măng:
P=0435 | X=0095.810-0106.930 | Y=0168.250-0177.570 | 98
P=0435 | X=0399.500-0424.550 | Y=0168.250-0177.570 | 1.300
P=0435 | X=0456.890-0473.530 | Y=0168.250-0177.570 | 910
P=0435 | X=0505.390-0522.030 | Y=0168.250-0177.570 | 780
P=0435 | X=0113.090-0354.200 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0435 | X=0113.090-0155.230 | Y=0191.050-0200.370 | >1.000m.
P=0435 | X=0113.090-0336.730 | Y=0206.710-0217.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0435 | X=0214.870-0291.310 | Y=0224.710-0235.950 | Nông trường cao
P=0435 | X=0095.810-0183.260 | Y=0230.470-0241.710 | 99 Đường tỉnh 769
P=0435 | X=0293.160-0350.610 | Y=0232.350-0241.670 | Cầu Cái Hảo
P=0435 | X=0399.500-0424.550 | Y=0232.350-0241.670 | 5.800
P=0435 | X=0448.730-0473.780 | Y=0232.350-0241.670 | 4.100
P=0435 | X=0497.230-0522.280 | Y=0232.350-0241.670 | 3.500
P=0435 | X=0214.870-0268.980 | Y=0238.110-0247.430 | su An Viễng
P=0435 | X=0113.090-0361.410 | Y=0254.230-0265.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0435 | X=0113.090-0362.150 | Y=0265.750-0276.990 | tỉnh 769 đoạn từ Nông trường cao su An Viễng đến Cầu
P=0435 | X=0113.090-0358.820 | Y=0277.270-0288.510 | Cái Hảo có hiện trạng là đường nhựa, bê tông xi măng:
P=0435 | X=0092.900-0109.540 | Y=0290.940-0300.260 | 100
P=0435 | X=0399.500-0424.550 | Y=0290.940-0300.260 | 2.900
P=0435 | X=0448.730-0473.780 | Y=0290.940-0300.260 | 2.000
P=0435 | X=0497.230-0522.280 | Y=0290.940-0300.260 | 1.700
P=0435 | X=0113.090-0344.170 | Y=0294.820-0306.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0435 | X=0113.090-0354.200 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0435 | X=0113.090-0146.610 | Y=0323.860-0335.100 | ≤500m.
P=0435 | X=0113.090-0361.410 | Y=0341.860-0353.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0435 | X=0113.090-0362.150 | Y=0353.380-0364.620 | tỉnh 769 đoạn từ Nông trường cao su An Viễng đến Cầu
P=0435 | X=0113.090-0358.820 | Y=0364.900-0376.140 | Cái Hảo có hiện trạng là đường nhựa, bê tông xi măng:
P=0435 | X=0092.900-0344.640 | Y=0382.200-0396.520 | 101 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0435 | X=0399.500-0424.550 | Y=0387.200-0396.520 | 2.000
P=0435 | X=0448.730-0473.780 | Y=0387.200-0396.520 | 1.400
P=0435 | X=0497.230-0522.280 | Y=0387.200-0396.520 | 1.200
P=0435 | X=0113.090-0366.400 | Y=0399.720-0410.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0435 | X=0113.090-0208.040 | Y=0411.240-0422.480 | >500m đến ≤1.000m.
P=0435 | X=0113.090-0336.260 | Y=0428.760-0440.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0435 | X=0113.090-0361.410 | Y=0446.760-0458.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0435 | X=0113.090-0362.150 | Y=0458.300-0469.540 | tỉnh 769 đoạn từ Nông trường cao su An Viễng đến Cầu
P=0435 | X=0113.090-0358.820 | Y=0469.820-0481.060 | Cái Hảo có hiện trạng là đường nhựa, bê tông xi măng:
P=0435 | X=0092.900-0109.540 | Y=0483.460-0492.780 | 102
P=0435 | X=0399.500-0424.550 | Y=0483.460-0492.780 | 1.400
P=0435 | X=0456.890-0473.530 | Y=0483.460-0492.780 | 980
P=0435 | X=0505.390-0522.030 | Y=0483.460-0492.780 | 840
P=0435 | X=0113.090-0354.200 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0435 | X=0113.090-0155.230 | Y=0500.740-0510.060 | >1.000m.
P=0435 | X=0113.090-0336.730 | Y=0516.380-0527.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0435 | X=0113.090-0359.000 | Y=0534.410-0545.650 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0435 | X=0113.090-0367.170 | Y=0545.930-0557.170 | thông ra Đường tỉnh 769 đoạn từ Nông trường cao su An
P=0435 | X=0113.090-0365.010 | Y=0557.450-0568.690 | Viễng đến Cầu Cái Hảo có hiện trạng là đường nhựa, bê
P=0435 | X=0113.090-0173.250 | Y=0568.970-0580.210 | tông xi măng:
P=0435 | X=0092.900-0109.540 | Y=0576.850-0586.170 | 103
P=0435 | X=0399.500-0424.550 | Y=0576.850-0586.170 | 2.600
P=0435 | X=0448.730-0473.780 | Y=0576.850-0586.170 | 1.800
P=0435 | X=0497.230-0522.280 | Y=0576.850-0586.170 | 1.600
P=0435 | X=0113.090-0344.170 | Y=0586.250-0597.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0435 | X=0113.090-0354.200 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0435 | X=0113.090-0146.610 | Y=0615.290-0626.530 | ≤500m.
P=0435 | X=0113.090-0359.000 | Y=0633.310-0644.550 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0435 | X=0113.090-0367.170 | Y=0644.830-0656.070 | thông ra Đường tỉnh 769 đoạn từ Nông trường cao su An
P=0435 | X=0113.090-0365.010 | Y=0656.350-0667.590 | Viễng đến Cầu Cái Hảo có hiện trạng là đường nhựa, bê
P=0435 | X=0092.900-0173.250 | Y=0667.870-0679.310 | 104 tông xi măng:
P=0435 | X=0399.500-0424.540 | Y=0669.990-0679.310 | 1.800
P=0435 | X=0448.730-0473.780 | Y=0669.990-0679.310 | 1.300
P=0435 | X=0497.230-0522.280 | Y=0669.990-0679.310 | 1.100
P=0435 | X=0113.090-0344.640 | Y=0685.390-0696.630 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0435 | X=0113.090-0366.400 | Y=0702.930-0714.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0436 | X=0113.090-0208.040 | Y=0072.740-0083.980 | >500m đến ≤1.000m.
P=0436 | X=0113.090-0336.260 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0436 | X=0113.090-0359.000 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0436 | X=0113.090-0367.170 | Y=0119.810-0131.050 | thông ra Đường tỉnh 769 đoạn từ Nông trường cao su An
P=0436 | X=0113.090-0365.010 | Y=0131.330-0142.570 | Viễng đến Cầu Cái Hảo có hiện trạng là đường nhựa, bê
P=0436 | X=0113.090-0173.250 | Y=0142.850-0154.090 | tông xi măng:
P=0436 | X=0092.900-0109.540 | Y=0150.730-0160.050 | 105
