TABLE=034 | AREA=Xã Xuân Đông | SECTION=non-agricultural | SEGMENTS=1
P=1269 | X=0106.850-0412.550 | Y=0107.780-0119.020 | đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có hiện trạng là đường
P=1269 | X=0106.850-0209.960 | Y=0119.330-0130.570 | nhựa, bê tông xi măng:
P=1269 | X=0090.020-0338.400 | Y=0136.850-0150.930 | 563 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1269 | X=0424.970-0450.020 | Y=0141.610-0150.930 | 2.100
P=1269 | X=0461.210-0486.260 | Y=0141.610-0150.930 | 1.500
P=1269 | X=0497.230-0522.280 | Y=0141.610-0150.930 | 1.300
P=1269 | X=0106.850-0413.270 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1269 | X=0106.850-0148.530 | Y=0165.650-0176.890 | ≤1.000m.
P=1269 | X=0106.850-0330.020 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1269 | X=0106.850-0404.620 | Y=0200.950-0212.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vườn Ngô
P=1269 | X=0106.850-0412.550 | Y=0212.470-0223.710 | đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có hiện trạng là đường
P=1269 | X=0106.850-0209.960 | Y=0223.990-0235.230 | nhựa, bê tông xi măng:
P=1269 | X=0090.020-0106.660 | Y=0231.870-0241.190 | 564
P=1269 | X=0424.970-0450.020 | Y=0231.870-0241.190 | 1.400
P=1269 | X=0469.370-0486.010 | Y=0231.870-0241.190 | 980
P=1269 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 840
P=1269 | X=0106.850-0392.640 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1269 | X=0106.850-0330.490 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1269 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1269 | X=0106.850-0405.820 | Y=0288.340-0299.580 | Đường Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có
P=1269 | X=0106.850-0300.460 | Y=0299.860-0311.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1269 | X=0090.020-0106.660 | Y=0307.740-0317.060 | 565
P=1269 | X=0424.970-0450.020 | Y=0307.740-0317.060 | 2.900
P=1269 | X=0461.210-0486.260 | Y=0307.740-0317.060 | 2.000
P=1269 | X=0497.230-0522.280 | Y=0307.740-0317.060 | 1.700
P=1269 | X=0106.850-0337.960 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1269 | X=0106.850-0384.020 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1269 | X=0106.850-0392.110 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1269 | X=0106.850-0405.820 | Y=0363.940-0375.180 | Đường Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có
P=1269 | X=0106.850-0300.460 | Y=0375.480-0386.720 | hiện trạng là đường nhựa, bê tông xi măng:
P=1269 | X=0090.020-0338.400 | Y=0393.000-0407.320 | 566 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1269 | X=0424.970-0450.020 | Y=0398.000-0407.320 | 1.900
P=1269 | X=0461.210-0486.260 | Y=0398.000-0407.320 | 1.300
P=1269 | X=0497.230-0522.280 | Y=0398.000-0407.320 | 1.100
P=1269 | X=0106.850-0413.270 | Y=0410.520-0421.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1269 | X=0106.850-0148.530 | Y=0422.040-0433.280 | ≤1.000m.
P=1269 | X=0106.850-0330.020 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1269 | X=0106.850-0392.110 | Y=0457.340-0468.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1269 | X=0106.850-0405.820 | Y=0468.860-0480.100 | Đường Vườn Ngô đoạn từ Đường Lê Duẩn đến Đường tỉnh 777 có
P=1269 | X=0106.850-0300.460 | Y=0480.380-0491.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=1269 | X=0090.020-0106.660 | Y=0488.260-0497.580 | 567
P=1269 | X=0424.970-0450.020 | Y=0488.260-0497.580 | 1.300
P=1269 | X=0469.370-0486.010 | Y=0488.260-0497.580 | 910
P=1269 | X=0505.390-0522.030 | Y=0488.260-0497.580 | 780
P=1269 | X=0106.850-0392.640 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1269 | X=0106.850-0330.490 | Y=0515.420-0526.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1269 | X=0321.720-0401.960 | Y=0533.210-0544.450 | Đường vào Nghĩa
P=1269 | X=0090.020-0215.170 | Y=0544.490-0555.730 | 568 Đường 3 tháng 2 nối dài
P=1269 | X=0235.060-0310.760 | Y=0544.490-0555.730 | Đường Trần Phú
P=1269 | X=0321.720-0450.020 | Y=0546.370-0555.690 | trang giáo xứ Quảng 10.000
P=1269 | X=0461.210-0486.260 | Y=0546.370-0555.690 | 7.000
P=1269 | X=0497.230-0522.280 | Y=0546.370-0555.690 | 6.000
P=1269 | X=0321.720-0341.960 | Y=0557.890-0567.210 | Biên
P=1269 | X=0106.850-0399.800 | Y=0573.770-0585.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3 tháng 2
P=1269 | X=0106.850-0401.720 | Y=0585.290-0596.530 | nối dài đoạn từ Đường Trần Phú đến Đường vào Nghĩa trang giáo
P=1269 | X=0106.850-0384.030 | Y=0596.810-0608.050 | xứ Quảng Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=1269 | X=0090.020-0106.660 | Y=0604.690-0614.010 | 569
P=1269 | X=0424.970-0450.020 | Y=0604.690-0614.010 | 4.900
P=1269 | X=0461.210-0486.260 | Y=0604.690-0614.010 | 3.400
P=1269 | X=0497.230-0522.280 | Y=0604.690-0614.010 | 2.900
P=1269 | X=0106.850-0337.930 | Y=0614.330-0625.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1269 | X=0106.850-0384.020 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1269 | X=0106.850-0399.800 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3 tháng 2
P=1269 | X=0106.850-0401.720 | Y=0661.150-0672.390 | nối dài đoạn từ Đường Trần Phú đến Đường vào Nghĩa trang giáo
P=1269 | X=0106.850-0384.030 | Y=0672.670-0683.910 | xứ Quảng Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=1269 | X=0090.020-0106.660 | Y=0680.550-0689.870 | 570
P=1269 | X=0424.970-0450.020 | Y=0680.550-0689.870 | 3.300
P=1269 | X=0461.210-0486.260 | Y=0680.550-0689.870 | 2.300
P=1269 | X=0497.230-0522.280 | Y=0680.550-0689.870 | 2.000
P=1269 | X=0106.850-0338.400 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1269 | X=0106.850-0413.270 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1270 | X=0106.850-0148.530 | Y=0072.500-0083.740 | ≤1.000m.
P=1270 | X=0106.850-0330.020 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1270 | X=0106.850-0399.800 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3 tháng 2
P=1270 | X=0106.850-0401.720 | Y=0119.330-0130.570 | nối dài đoạn từ Đường Trần Phú đến Đường vào Nghĩa trang giáo
P=1270 | X=0106.850-0384.030 | Y=0130.850-0142.090 | xứ Quảng Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=1270 | X=0090.020-0106.660 | Y=0138.730-0148.050 | 571
P=1270 | X=0424.970-0450.020 | Y=0138.730-0148.050 | 2.100
P=1270 | X=0461.210-0486.260 | Y=0138.730-0148.050 | 1.500
P=1270 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 1.300
P=1270 | X=0106.850-0392.640 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1270 | X=0106.850-0330.490 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1270 | X=0106.850-0392.110 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1270 | X=0106.850-0403.910 | Y=0194.930-0206.170 | Đường 3 tháng 2 nối dài đoạn từ Đường Trần Phú đến Đường vào
P=1270 | X=0106.850-0397.900 | Y=0206.470-0217.710 | Nghĩa trang giáo xứ Quảng Biên có hiện trạng là đường nhựa, bê
P=1270 | X=0090.020-0167.010 | Y=0217.990-0229.430 | 572 tông xi măng:
P=1270 | X=0424.970-0450.020 | Y=0220.110-0229.430 | 4.400
P=1270 | X=0461.210-0486.260 | Y=0220.110-0229.430 | 3.100
P=1270 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 2.600
P=1270 | X=0106.850-0337.930 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1270 | X=0106.850-0384.020 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1270 | X=0106.850-0392.110 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1270 | X=0106.850-0403.910 | Y=0282.340-0293.580 | Đường 3 tháng 2 nối dài đoạn từ Đường Trần Phú đến Đường vào
P=1270 | X=0106.850-0397.900 | Y=0293.860-0305.100 | Nghĩa trang giáo xứ Quảng Biên có hiện trạng là đường nhựa, bê
P=1270 | X=0106.850-0167.010 | Y=0305.380-0316.620 | tông xi măng:
P=1270 | X=0090.020-0338.400 | Y=0321.900-0334.140 | 573 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1270 | X=0424.970-0450.020 | Y=0321.900-0331.220 | 3.000
P=1270 | X=0461.210-0486.260 | Y=0321.900-0331.220 | 2.100
P=1270 | X=0497.230-0522.270 | Y=0321.900-0331.220 | 1.800
P=1270 | X=0106.850-0413.270 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1270 | X=0106.850-0148.530 | Y=0351.700-0362.940 | ≤1.000m.
P=1270 | X=0106.850-0330.020 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1270 | X=0106.850-0392.110 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1270 | X=0106.850-0403.910 | Y=0398.520-0409.760 | Đường 3 tháng 2 nối dài đoạn từ Đường Trần Phú đến Đường vào
P=1270 | X=0106.850-0397.900 | Y=0410.040-0421.280 | Nghĩa trang giáo xứ Quảng Biên có hiện trạng là đường nhựa, bê
P=1270 | X=0090.020-0167.010 | Y=0421.560-0433.000 | 574 tông xi măng:
P=1270 | X=0424.970-0450.020 | Y=0423.680-0433.000 | 1.900
P=1270 | X=0461.210-0486.260 | Y=0423.680-0433.000 | 1.300
P=1270 | X=0497.230-0522.280 | Y=0423.680-0433.000 | 1.100
P=1270 | X=0106.850-0392.680 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1270 | X=0106.850-0330.490 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1270 | X=0235.060-0315.300 | Y=0474.380-0485.620 | Đường vào Nghĩa
P=1270 | X=0321.720-0402.430 | Y=0482.020-0491.340 | Giáp ranh xã Bình
P=1270 | X=0090.020-0215.170 | Y=0485.900-0497.140 | 575 Đường 3 tháng 2 nối dài
P=1270 | X=0235.060-0294.370 | Y=0487.780-0497.100 | trang giáo xứ
P=1270 | X=0424.970-0450.020 | Y=0487.780-0497.100 | 8.500
P=1270 | X=0461.210-0486.260 | Y=0487.780-0497.100 | 6.000
P=1270 | X=0497.230-0522.280 | Y=0487.780-0497.100 | 5.100
P=1270 | X=0321.720-0343.630 | Y=0493.540-0502.860 | Minh
P=1270 | X=0235.060-0288.180 | Y=0499.300-0508.620 | Quảng Biên
P=1270 | X=0106.850-0399.820 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3 tháng 2
P=1270 | X=0106.850-0393.580 | Y=0526.460-0537.700 | nối dài đoạn từ Đường vào Nghĩa trang giáo xứ Quảng Biên đến
P=1270 | X=0106.850-0391.150 | Y=0538.010-0549.250 | Giáp ranh xã Bình Minh có hiện trạng là đường nhựa, bê tông xi
P=1270 | X=0090.020-0134.850 | Y=0549.530-0560.970 | 576 măng:
P=1270 | X=0424.970-0450.020 | Y=0551.650-0560.970 | 4.200
P=1270 | X=0461.210-0486.260 | Y=0551.650-0560.970 | 2.900
P=1270 | X=0497.230-0522.270 | Y=0551.650-0560.970 | 2.500
P=1270 | X=0106.850-0337.930 | Y=0567.050-0578.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1270 | X=0106.850-0384.020 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1270 | X=0106.850-0399.800 | Y=0602.330-0613.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3 tháng 2
P=1270 | X=0106.850-0393.580 | Y=0613.850-0625.090 | nối dài đoạn từ Đường vào Nghĩa trang giáo xứ Quảng Biên đến
P=1270 | X=0106.850-0391.150 | Y=0625.390-0636.630 | Giáp ranh xã Bình Minh có hiện trạng là đường nhựa, bê tông xi
P=1270 | X=0106.850-0134.850 | Y=0636.910-0648.150 | măng:
P=1270 | X=0090.020-0338.400 | Y=0653.430-0665.670 | 577 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1270 | X=0424.970-0450.020 | Y=0653.430-0662.750 | 3.100
P=1270 | X=0461.210-0486.260 | Y=0653.430-0662.750 | 2.200
P=1270 | X=0497.230-0522.280 | Y=0653.430-0662.750 | 1.900
P=1270 | X=0106.850-0413.270 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1270 | X=0106.850-0148.530 | Y=0683.470-0694.710 | ≤1.000m.
P=1270 | X=0106.850-0330.020 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1271 | X=0106.850-0399.800 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3 tháng 2
P=1271 | X=0106.850-0393.590 | Y=0090.020-0101.260 | nối dài đoạn từ Đường vào Nghĩa trang giáo xứ Quảng Biên đến
P=1271 | X=0106.850-0391.150 | Y=0101.540-0112.780 | Giáp ranh xã Bình Minh có hiện trạng là đường nhựa, bê tông xi
P=1271 | X=0090.020-0134.850 | Y=0113.060-0124.500 | 578 măng:
P=1271 | X=0424.970-0450.020 | Y=0115.180-0124.500 | 2.000
P=1271 | X=0461.210-0486.260 | Y=0115.180-0124.500 | 1.400
P=1271 | X=0497.230-0522.280 | Y=0115.180-0124.500 | 1.200
P=1271 | X=0106.850-0392.640 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1271 | X=0106.850-0330.490 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1271 | X=0106.850-0392.110 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1271 | X=0106.850-0397.130 | Y=0177.170-0188.410 | Đường 3 tháng 2 nối dài đoạn từ Đường vào Nghĩa trang giáo xứ
P=1271 | X=0106.850-0390.940 | Y=0188.690-0199.930 | Quảng Biên đến Giáp ranh xã Bình Minh có hiện trạng là đường
P=1271 | X=0090.020-0209.960 | Y=0200.230-0211.670 | 579 nhựa, bê tông xi măng:
P=1271 | X=0424.970-0450.020 | Y=0202.350-0211.670 | 3.800
P=1271 | X=0461.210-0486.260 | Y=0202.350-0211.670 | 2.700
P=1271 | X=0497.230-0522.280 | Y=0202.350-0211.670 | 2.300
P=1271 | X=0106.850-0337.930 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1271 | X=0106.850-0384.040 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1271 | X=0106.850-0392.110 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1271 | X=0106.850-0397.130 | Y=0264.550-0275.790 | Đường 3 tháng 2 nối dài đoạn từ Đường vào Nghĩa trang giáo xứ
P=1271 | X=0106.850-0390.940 | Y=0276.070-0287.310 | Quảng Biên đến Giáp ranh xã Bình Minh có hiện trạng là đường
P=1271 | X=0106.850-0209.960 | Y=0287.620-0298.860 | nhựa, bê tông xi măng:
P=1271 | X=0090.020-0338.400 | Y=0304.140-0316.380 | 580 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1271 | X=0424.970-0450.020 | Y=0304.140-0313.460 | 2.800
P=1271 | X=0461.210-0486.260 | Y=0304.140-0313.460 | 2.000
P=1271 | X=0497.230-0522.280 | Y=0304.140-0313.460 | 1.700
P=1271 | X=0106.850-0413.270 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1271 | X=0106.850-0148.530 | Y=0333.940-0345.180 | ≤1.000m.
P=1271 | X=0106.850-0330.020 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1271 | X=0106.850-0392.110 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1271 | X=0106.850-0397.130 | Y=0380.760-0392.000 | Đường 3 tháng 2 nối dài đoạn từ Đường vào Nghĩa trang giáo xứ
P=1271 | X=0106.850-0390.940 | Y=0392.280-0403.520 | Quảng Biên đến Giáp ranh xã Bình Minh có hiện trạng là đường
P=1271 | X=0090.020-0209.960 | Y=0403.800-0415.240 | 581 nhựa, bê tông xi măng:
P=1271 | X=0424.970-0450.020 | Y=0405.920-0415.240 | 1.800
P=1271 | X=0461.210-0486.260 | Y=0405.920-0415.240 | 1.300
P=1271 | X=0497.230-0522.280 | Y=0405.920-0415.240 | 1.100
P=1271 | X=0106.850-0392.640 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1271 | X=0106.850-0330.490 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1271 | X=0106.850-0217.990 | Y=0456.620-0467.860 | Đường liên xã Bắc Sơn -
P=1271 | X=0235.060-0400.750 | Y=0458.500-0467.820 | Ranh giới xã Bình Hết Công ty Sông
P=1271 | X=0090.020-0106.660 | Y=0464.260-0473.580 | 582
P=1271 | X=0424.970-0450.020 | Y=0464.260-0473.580 | 2.700
P=1271 | X=0461.210-0486.260 | Y=0464.260-0473.580 | 1.900
P=1271 | X=0497.230-0522.280 | Y=0464.260-0473.580 | 1.600
P=1271 | X=0106.850-0207.760 | Y=0470.020-0479.340 | Bình Minh - Sông Trầu
P=1271 | X=0235.060-0256.970 | Y=0470.020-0479.340 | Minh
P=1271 | X=0321.720-0348.670 | Y=0470.020-0479.340 | Gianh
P=1271 | X=0106.850-0407.180 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã Bắc
P=1271 | X=0106.850-0399.350 | Y=0497.420-0508.660 | Sơn - Bình Minh - Sông Trầu đoạn từ Ranh giới xã Bình Minh đến
P=1271 | X=0106.850-0394.280 | Y=0508.940-0520.180 | Hết Công ty Sông Gianh có hiện trạng là đường nhựa, bê tông xi
P=1271 | X=0090.020-0134.850 | Y=0520.220-0531.660 | 583 măng:
P=1271 | X=0424.970-0450.020 | Y=0522.340-0531.660 | 1.500
P=1271 | X=0461.210-0486.260 | Y=0522.340-0531.660 | 1.100
P=1271 | X=0505.390-0522.030 | Y=0522.340-0531.660 | 900
P=1271 | X=0106.850-0337.930 | Y=0537.770-0549.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1271 | X=0106.850-0384.020 | Y=0555.290-0566.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1271 | X=0106.850-0407.180 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã Bắc
P=1271 | X=0106.850-0399.350 | Y=0584.570-0595.810 | Sơn - Bình Minh - Sông Trầu đoạn từ Ranh giới xã Bình Minh đến
P=1271 | X=0106.850-0394.280 | Y=0596.090-0607.330 | Hết Công ty Sông Gianh có hiện trạng là đường nhựa, bê tông xi
P=1271 | X=0106.850-0134.850 | Y=0607.610-0618.850 | măng:
P=1271 | X=0090.020-0338.400 | Y=0624.150-0636.390 | 584 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1271 | X=0424.970-0450.020 | Y=0624.150-0633.470 | 1.100
P=1271 | X=0469.370-0486.010 | Y=0624.150-0633.470 | 770
P=1271 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 660
P=1271 | X=0106.850-0413.270 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1271 | X=0106.850-0148.530 | Y=0654.190-0665.430 | ≤1.000m.
P=1271 | X=0106.850-0330.020 | Y=0671.710-0682.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1271 | X=0106.850-0407.180 | Y=0689.470-0700.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã Bắc
P=1271 | X=0090.020-0106.660 | Y=0697.110-0706.430 | 585
P=1271 | X=0433.130-0449.770 | Y=0697.110-0706.430 | 620
P=1271 | X=0469.370-0486.010 | Y=0697.110-0706.430 | 430
P=1271 | X=0505.390-0522.030 | Y=0697.110-0706.430 | 370
P=1271 | X=0106.850-0399.350 | Y=0700.770-0712.010 | Sơn - Bình Minh - Sông Trầu đoạn từ Ranh giới xã Bình Minh đến
P=1272 | X=0106.850-0394.280 | Y=0072.500-0083.740 | Hết Công ty Sông Gianh có hiện trạng là đường nhựa, bê tông xi
P=1272 | X=0106.850-0134.850 | Y=0085.900-0095.220 | măng:
P=1272 | X=0106.850-0392.640 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1272 | X=0106.850-0330.490 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1272 | X=0106.850-0392.110 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1272 | X=0106.850-0404.620 | Y=0148.370-0159.610 | Đường liên xã Bắc Sơn - Bình Minh - Sông Trầu đoạn từ Ranh giới
P=1272 | X=0106.850-0400.070 | Y=0159.650-0170.890 | xã Bình Minh đến Hết Công ty Sông Gianh có hiện trạng là đường
P=1272 | X=0090.020-0209.960 | Y=0171.170-0182.610 | 586 nhựa, bê tông xi măng:
P=1272 | X=0424.970-0450.020 | Y=0173.290-0182.610 | 1.400
P=1272 | X=0469.370-0486.010 | Y=0173.290-0182.610 | 980
P=1272 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 840
P=1272 | X=0106.850-0337.930 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1272 | X=0106.850-0384.020 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1272 | X=0106.850-0392.110 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1272 | X=0106.850-0404.620 | Y=0235.510-0246.750 | Đường liên xã Bắc Sơn - Bình Minh - Sông Trầu đoạn từ Ranh giới
P=1272 | X=0106.850-0400.070 | Y=0247.030-0258.270 | xã Bình Minh đến Hết Công ty Sông Gianh có hiện trạng là đường
P=1272 | X=0106.850-0209.960 | Y=0258.550-0269.790 | nhựa, bê tông xi măng:
P=1272 | X=0090.020-0338.400 | Y=0275.070-0287.310 | 587 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1272 | X=0433.130-0449.770 | Y=0275.070-0284.390 | 990
P=1272 | X=0469.370-0486.010 | Y=0275.070-0284.390 | 690
P=1272 | X=0505.390-0522.030 | Y=0275.070-0284.390 | 590
P=1272 | X=0106.850-0413.270 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1272 | X=0106.850-0148.530 | Y=0305.140-0316.380 | ≤1.000m.
P=1272 | X=0106.850-0330.020 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1272 | X=0106.850-0392.110 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1272 | X=0106.850-0404.620 | Y=0351.700-0362.940 | Đường liên xã Bắc Sơn - Bình Minh - Sông Trầu đoạn từ Ranh giới
P=1272 | X=0106.850-0400.070 | Y=0363.220-0374.460 | xã Bình Minh đến Hết Công ty Sông Gianh có hiện trạng là đường
P=1272 | X=0090.020-0209.960 | Y=0374.760-0386.200 | 588 nhựa, bê tông xi măng:
P=1272 | X=0433.130-0449.770 | Y=0376.880-0386.200 | 560
P=1272 | X=0469.370-0486.010 | Y=0376.880-0386.200 | 390
P=1272 | X=0505.390-0522.030 | Y=0376.880-0386.200 | 340
P=1272 | X=0106.850-0392.640 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1272 | X=0106.850-0330.490 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1272 | X=0106.850-0217.990 | Y=0427.560-0438.800 | Đường liên xã Bắc Sơn -
P=1272 | X=0235.060-0411.980 | Y=0427.560-0438.800 | Hết Công ty Sông Đường Trảng Bom -
P=1272 | X=0090.020-0106.660 | Y=0435.200-0444.520 | 589
P=1272 | X=0424.970-0450.020 | Y=0435.200-0444.520 | 3.900
P=1272 | X=0461.210-0486.260 | Y=0435.200-0444.520 | 2.700
P=1272 | X=0497.230-0522.280 | Y=0435.200-0444.520 | 2.300
P=1272 | X=0106.850-0207.760 | Y=0440.960-0450.280 | Bình Minh - Sông Trầu
P=1272 | X=0235.060-0262.010 | Y=0440.960-0450.280 | Gianh
P=1272 | X=0321.720-0373.630 | Y=0440.960-0450.280 | Thanh Bình
P=1272 | X=0106.850-0407.180 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã Bắc
P=1272 | X=0106.850-0403.180 | Y=0468.380-0479.620 | Sơn - Bình Minh - Sông Trầu đoạn từ Hết Công ty Sông Gianh đến
P=1272 | X=0106.850-0398.140 | Y=0479.900-0491.140 | Đường Trảng Bom - Thanh Bình có hiện trạng là đường nhựa, bê
P=1272 | X=0090.020-0167.010 | Y=0491.420-0502.860 | 590 tông xi măng:
P=1272 | X=0424.970-0450.020 | Y=0493.540-0502.860 | 2.000
P=1272 | X=0461.210-0486.260 | Y=0493.540-0502.860 | 1.400
P=1272 | X=0497.230-0522.280 | Y=0493.540-0502.860 | 1.200
P=1272 | X=0106.850-0337.930 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1272 | X=0106.850-0384.020 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
