TABLE=032 | AREA=Xã Xuân Đường | SECTION=non-agricultural | SEGMENTS=1
P=1144 | X=0108.290-0381.800 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1144 | X=0108.290-0381.820 | Y=0439.080-0450.320 | ra Đường Bàu Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường
P=1144 | X=0108.290-0385.900 | Y=0450.620-0461.860 | tỉnh 773 đến Giáp ranh xã Long Phước có hiện trạng là đường
P=1144 | X=0108.290-0211.400 | Y=0462.140-0473.380 | nhựa, bê tông xi măng:
P=1144 | X=0093.380-0104.500 | Y=0470.020-0479.340 | 77
P=1144 | X=0405.260-0430.310 | Y=0470.020-0479.340 | 1.400
P=1144 | X=0461.690-0478.330 | Y=0470.020-0479.340 | 980
P=1144 | X=0505.630-0522.270 | Y=0470.020-0479.340 | 840
P=1144 | X=0108.290-0349.380 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1144 | X=0108.290-0150.430 | Y=0493.060-0502.380 | >1.000m.
P=1144 | X=0108.290-0331.930 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1144 | X=0220.630-0300.360 | Y=0526.220-0537.460 | Đường Bàu Cạn -
P=1144 | X=0301.800-0384.210 | Y=0533.860-0543.180 | Giáp ranh xã Long
P=1144 | X=0093.380-0183.490 | Y=0537.770-0549.010 | 78 Đường Cầu Mên
P=1144 | X=0220.630-0294.100 | Y=0539.650-0548.970 | Suối Trầu - Cẩm
P=1144 | X=0405.260-0430.310 | Y=0539.650-0548.970 | 4.400
P=1144 | X=0453.290-0478.340 | Y=0539.650-0548.970 | 3.100
P=1144 | X=0497.230-0522.280 | Y=0539.650-0548.970 | 2.600
P=1144 | X=0301.800-0330.210 | Y=0545.410-0554.730 | Thành
P=1144 | X=0220.630-0252.420 | Y=0549.290-0560.530 | Đường
P=1144 | X=0108.290-0377.750 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1144 | X=0108.290-0377.270 | Y=0578.570-0589.810 | Mên đoạn từ Đường Bàu Cạn - Suối Trầu - Cẩm Đường đến
P=1144 | X=0108.290-0368.600 | Y=0590.090-0601.330 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=1144 | X=0093.380-0168.450 | Y=0601.610-0613.050 | 79 tông xi măng:
P=1144 | X=0405.260-0430.310 | Y=0603.730-0613.050 | 2.200
P=1144 | X=0453.290-0478.340 | Y=0603.730-0613.050 | 1.500
P=1144 | X=0497.230-0522.280 | Y=0603.730-0613.050 | 1.300
P=1144 | X=0108.290-0339.370 | Y=0619.150-0630.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1144 | X=0108.290-0385.460 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1144 | X=0108.290-0377.750 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1144 | X=0108.290-0377.270 | Y=0665.950-0677.190 | Mên đoạn từ Đường Bàu Cạn - Suối Trầu - Cẩm Đường đến
P=1144 | X=0093.380-0368.600 | Y=0677.470-0691.550 | 80 Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=1144 | X=0405.260-0430.310 | Y=0682.230-0691.550 | 1.700
P=1144 | X=0453.290-0478.340 | Y=0682.230-0691.550 | 1.200
P=1144 | X=0497.230-0522.280 | Y=0682.230-0691.550 | 1.000
P=1144 | X=0108.290-0168.450 | Y=0688.750-0699.990 | tông xi măng:
P=1144 | X=0108.290-0339.840 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1145 | X=0108.290-0361.600 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1145 | X=0108.290-0203.240 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1145 | X=0108.290-0331.460 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1145 | X=0108.290-0377.750 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1145 | X=0108.290-0377.270 | Y=0136.850-0148.090 | Mên đoạn từ Đường Bàu Cạn - Suối Trầu - Cẩm Đường đến
P=1145 | X=0108.290-0368.600 | Y=0148.370-0159.610 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=1145 | X=0108.290-0168.450 | Y=0159.650-0170.890 | tông xi măng:
P=1145 | X=0093.380-0104.500 | Y=0167.530-0176.850 | 81
P=1145 | X=0405.260-0430.310 | Y=0167.530-0176.850 | 1.500
P=1145 | X=0453.290-0478.340 | Y=0167.530-0176.850 | 1.100
P=1145 | X=0505.630-0522.270 | Y=0167.530-0176.850 | 900
P=1145 | X=0108.290-0349.380 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1145 | X=0108.290-0150.430 | Y=0190.570-0199.890 | >1.000m.
P=1145 | X=0108.290-0331.930 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1145 | X=0108.290-0381.800 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1145 | X=0108.290-0366.620 | Y=0235.510-0246.750 | ra Đường Cầu Mên đoạn từ Đường Bàu Cạn - Suối Trầu -
P=1145 | X=0108.290-0370.750 | Y=0247.030-0258.270 | Cẩm Đường đến Giáp ranh xã Long Thành có hiện trạng là
P=1145 | X=0093.380-0244.040 | Y=0258.550-0269.990 | 82 đường nhựa, bê tông xi măng:
P=1145 | X=0405.260-0430.310 | Y=0260.670-0269.990 | 2.000
P=1145 | X=0453.290-0478.340 | Y=0260.670-0269.990 | 1.400
P=1145 | X=0497.230-0522.280 | Y=0260.670-0269.990 | 1.200
P=1145 | X=0108.290-0339.370 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1145 | X=0108.290-0385.460 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1145 | X=0108.290-0381.800 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1145 | X=0108.290-0366.620 | Y=0322.900-0334.140 | ra Đường Cầu Mên đoạn từ Đường Bàu Cạn - Suối Trầu -
P=1145 | X=0108.290-0370.750 | Y=0334.420-0345.660 | Cẩm Đường đến Giáp ranh xã Long Thành có hiện trạng là
P=1145 | X=0108.290-0244.040 | Y=0345.700-0356.940 | đường nhựa, bê tông xi măng:
P=1145 | X=0093.380-0339.840 | Y=0362.460-0374.460 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1145 | X=0405.260-0430.310 | Y=0362.460-0371.780 | 1.500
P=1145 | X=0453.290-0478.340 | Y=0362.460-0371.780 | 1.100
P=1145 | X=0505.630-0522.270 | Y=0362.460-0371.780 | 900
P=1145 | X=0108.290-0361.600 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1145 | X=0108.290-0203.240 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1145 | X=0108.290-0331.460 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1145 | X=0108.290-0381.800 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1145 | X=0108.290-0366.620 | Y=0439.080-0450.320 | ra Đường Cầu Mên đoạn từ Đường Bàu Cạn - Suối Trầu -
P=1145 | X=0108.290-0370.750 | Y=0450.620-0461.860 | Cẩm Đường đến Giáp ranh xã Long Thành có hiện trạng là
P=1145 | X=0108.290-0244.040 | Y=0462.140-0473.380 | đường nhựa, bê tông xi măng:
P=1145 | X=0093.380-0104.500 | Y=0470.020-0479.340 | 84
P=1145 | X=0405.260-0430.310 | Y=0470.020-0479.340 | 1.400
P=1145 | X=0461.690-0478.330 | Y=0470.020-0479.340 | 980
P=1145 | X=0505.630-0522.270 | Y=0470.020-0479.340 | 840
P=1145 | X=0108.290-0349.380 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1145 | X=0108.290-0150.450 | Y=0493.060-0502.380 | >1.000m.
P=1145 | X=0108.290-0331.930 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
