TABLE=055 | AREA=Xã Phú Lý | SECTION=non-agricultural | SEGMENTS=1
P=1832 | X=0108.530-0327.560 | Y=0223.510-0234.750 | Đường Trảng Tranh đoạn từ Đường tỉnh 761 đến
P=1832 | X=0108.530-0333.800 | Y=0235.030-0246.270 | Đường Lý Lịch 2 - Bình Chánh (xã Phú Lý) có hiện
P=1832 | X=0108.530-0280.310 | Y=0246.550-0257.790 | trạng là đường nhựa, bê tông xi măng:
P=1832 | X=0093.620-0104.740 | Y=0254.430-0263.750 | 72
P=1832 | X=0389.420-0406.060 | Y=0254.430-0263.750 | 280
P=1832 | X=0450.410-0467.050 | Y=0254.430-0263.750 | 200
P=1832 | X=0505.390-0522.030 | Y=0254.430-0263.750 | 170
P=1832 | X=0108.530-0339.640 | Y=0264.070-0275.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1832 | X=0108.530-0321.780 | Y=0281.620-0292.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1832 | X=0108.530-0169.650 | Y=0293.140-0304.380 | thông ≤500m.
P=1832 | X=0108.530-0322.760 | Y=0310.900-0322.140 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1832 | X=0108.530-0327.560 | Y=0322.420-0333.660 | Đường Trảng Tranh đoạn từ Đường tỉnh 761 đến
P=1832 | X=0108.530-0333.810 | Y=0333.700-0344.940 | Đường Lý Lịch 2 - Bình Chánh (xã Phú Lý) có hiện
P=1832 | X=0108.530-0280.310 | Y=0345.220-0356.460 | trạng là đường nhựa, bê tông xi măng:
P=1832 | X=0093.620-0340.120 | Y=0361.980-0373.980 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1832 | X=0389.420-0406.060 | Y=0361.980-0371.300 | 220
P=1832 | X=0450.410-0467.050 | Y=0361.980-0371.300 | 150
P=1832 | X=0505.390-0522.030 | Y=0361.980-0371.300 | 130
P=1832 | X=0108.530-0321.780 | Y=0380.280-0391.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1832 | X=0108.530-0243.350 | Y=0391.800-0403.040 | thông từ >500m đến ≤1.000m.
P=1832 | X=0108.530-0331.720 | Y=0409.320-0420.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1832 | X=0108.530-0322.760 | Y=0427.080-0438.320 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1832 | X=0108.530-0327.560 | Y=0438.600-0449.840 | Đường Trảng Tranh đoạn từ Đường tỉnh 761 đến
P=1832 | X=0108.530-0333.810 | Y=0450.140-0461.380 | Đường Lý Lịch 2 - Bình Chánh (xã Phú Lý) có hiện
P=1832 | X=0108.530-0280.310 | Y=0461.660-0472.900 | trạng là đường nhựa, bê tông xi măng:
P=1832 | X=0093.620-0104.740 | Y=0469.540-0478.860 | 74
P=1832 | X=0389.420-0406.060 | Y=0469.540-0478.860 | 200
P=1832 | X=0450.410-0467.050 | Y=0469.540-0478.860 | 140
P=1832 | X=0505.390-0522.030 | Y=0469.540-0478.860 | 120
P=1832 | X=0108.530-0321.780 | Y=0479.180-0490.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1832 | X=0108.530-0178.510 | Y=0492.340-0501.660 | thông >1.000m.
P=1832 | X=0108.530-0332.170 | Y=0507.980-0519.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1832 | X=0108.530-0341.240 | Y=0525.740-0536.980 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1832 | X=0108.530-0341.490 | Y=0537.290-0548.530 | và thông ra Đường Trảng Tranh đoạn từ Đường tỉnh
P=1832 | X=0108.530-0337.790 | Y=0548.810-0560.050 | 761 đến Đường Lý Lịch 2 - Bình Chánh (xã Phú Lý)
P=1832 | X=0108.530-0315.380 | Y=0560.330-0571.570 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1832 | X=0093.620-0104.740 | Y=0568.210-0577.530 | 75
P=1832 | X=0389.420-0406.060 | Y=0568.210-0577.530 | 250
P=1832 | X=0450.410-0467.050 | Y=0568.210-0577.530 | 180
P=1832 | X=0505.390-0522.030 | Y=0568.210-0577.530 | 150
P=1832 | X=0108.530-0339.610 | Y=0577.850-0589.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1832 | X=0108.530-0321.780 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1832 | X=0108.530-0169.650 | Y=0606.890-0618.130 | thông ≤500m.
P=1832 | X=0108.530-0341.240 | Y=0624.670-0635.910 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1832 | X=0108.530-0341.490 | Y=0636.190-0647.430 | và thông ra Đường Trảng Tranh đoạn từ Đường tỉnh
P=1832 | X=0108.530-0337.790 | Y=0647.710-0658.950 | 761 đến Đường Lý Lịch 2 - Bình Chánh (xã Phú Lý)
P=1832 | X=0108.530-0315.400 | Y=0659.230-0670.470 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1832 | X=0093.620-0104.740 | Y=0667.110-0676.430 | 76
P=1832 | X=0389.420-0406.060 | Y=0667.110-0676.430 | 200
P=1832 | X=0450.410-0467.050 | Y=0667.110-0676.430 | 140
P=1832 | X=0505.390-0522.030 | Y=0667.110-0676.430 | 120
P=1832 | X=0108.530-0340.110 | Y=0676.510-0687.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1832 | X=0108.530-0321.780 | Y=0694.030-0705.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1832 | X=0108.530-0243.350 | Y=0705.570-0716.810 | thông từ >500m đến ≤1.000m.
P=1833 | X=0108.530-0331.700 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1833 | X=0108.530-0341.240 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1833 | X=0108.530-0341.490 | Y=0107.780-0119.020 | và thông ra Đường Trảng Tranh đoạn từ Đường tỉnh
P=1833 | X=0108.530-0337.770 | Y=0119.330-0130.570 | 761 đến Đường Lý Lịch 2 - Bình Chánh (xã Phú Lý)
P=1833 | X=0108.530-0315.400 | Y=0130.850-0142.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1833 | X=0093.620-0104.740 | Y=0138.730-0148.050 | 77
P=1833 | X=0389.420-0406.060 | Y=0138.730-0148.050 | 180
P=1833 | X=0450.410-0467.050 | Y=0138.730-0148.050 | 130
P=1833 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 110
P=1833 | X=0108.530-0321.780 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1833 | X=0108.530-0178.550 | Y=0161.530-0170.850 | thông >1.000m.
P=1833 | X=0108.530-0332.170 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1833 | X=0192.070-0262.270 | Y=0194.930-0206.170 | Đường tỉnh 761
P=1833 | X=0108.530-0343.890 | Y=0206.470-0217.710 | Đường Lý Lịch 2- (Đoạn tiếp theo Ranh code 62 của
P=1833 | X=0093.620-0104.740 | Y=0214.110-0223.430 | 78
P=1833 | X=0389.420-0406.060 | Y=0214.110-0223.430 | 560
P=1833 | X=0450.410-0467.050 | Y=0214.110-0223.430 | 390
P=1833 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 340
P=1833 | X=0192.070-0305.240 | Y=0217.990-0229.230 | đến cầu suối Hồ Trị An
P=1833 | X=0108.530-0161.410 | Y=0219.870-0229.190 | Bình Chánh
P=1833 | X=0192.070-0213.190 | Y=0231.390-0240.710 | Kóp)
P=1833 | X=0108.530-0322.760 | Y=0247.270-0258.510 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1833 | X=0108.530-0335.480 | Y=0258.790-0270.030 | Đường Lý Lịch 2 - Bình Chánh đoạn từ Đường tỉnh
P=1833 | X=0108.530-0326.130 | Y=0270.310-0281.550 | 761 (Đoạn tiếp theo đến cầu suối Kóp) đến Ranh
P=1833 | X=0108.530-0341.090 | Y=0281.860-0293.100 | code 62 của Hồ Trị An có hiện trạng là đường nhựa,
P=1833 | X=0093.620-0182.640 | Y=0295.260-0304.820 | 79 bê tông xi măng:
P=1833 | X=0389.420-0406.060 | Y=0295.500-0304.820 | 280
P=1833 | X=0450.410-0467.050 | Y=0295.500-0304.820 | 200
P=1833 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 170
P=1833 | X=0108.530-0339.610 | Y=0310.900-0322.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1833 | X=0108.530-0321.780 | Y=0328.420-0339.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1833 | X=0108.530-0169.650 | Y=0339.700-0350.940 | thông ≤500m.
P=1833 | X=0108.530-0322.760 | Y=0357.460-0368.700 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1833 | X=0108.530-0335.480 | Y=0369.000-0380.240 | Đường Lý Lịch 2 - Bình Chánh đoạn từ Đường tỉnh
P=1833 | X=0108.530-0326.130 | Y=0380.520-0391.760 | 761 (Đoạn tiếp theo đến cầu suối Kóp) đến Ranh
P=1833 | X=0108.530-0341.090 | Y=0392.040-0403.280 | code 62 của Hồ Trị An có hiện trạng là đường nhựa,
P=1833 | X=0108.530-0182.610 | Y=0403.560-0414.800 | bê tông xi măng:
P=1833 | X=0093.620-0104.740 | Y=0414.560-0423.880 | 80
P=1833 | X=0389.420-0406.060 | Y=0414.560-0423.880 | 220
P=1833 | X=0450.410-0467.050 | Y=0414.560-0423.880 | 150
P=1833 | X=0505.390-0522.030 | Y=0414.560-0423.880 | 130
P=1833 | X=0108.530-0340.100 | Y=0421.080-0432.320 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1833 | X=0108.530-0321.780 | Y=0438.600-0449.840 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1833 | X=0108.530-0243.380 | Y=0450.140-0461.380 | thông từ >500m đến ≤1.000m.
P=1833 | X=0108.530-0331.700 | Y=0467.660-0478.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1833 | X=0108.530-0322.760 | Y=0485.420-0496.660 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1833 | X=0108.530-0335.480 | Y=0496.940-0508.180 | Đường Lý Lịch 2 - Bình Chánh đoạn từ Đường tỉnh
P=1833 | X=0108.530-0326.130 | Y=0508.220-0519.460 | 761 (Đoạn tiếp theo đến cầu suối Kóp) đến Ranh
P=1833 | X=0108.530-0341.090 | Y=0519.740-0530.980 | code 62 của Hồ Trị An có hiện trạng là đường nhựa,
P=1833 | X=0093.620-0182.610 | Y=0531.260-0542.700 | 81 bê tông xi măng:
P=1833 | X=0389.420-0406.060 | Y=0533.380-0542.700 | 200
P=1833 | X=0450.410-0467.050 | Y=0533.380-0542.700 | 140
P=1833 | X=0505.390-0522.030 | Y=0533.380-0542.700 | 120
P=1833 | X=0108.530-0321.780 | Y=0548.810-0560.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1833 | X=0108.530-0178.510 | Y=0562.210-0571.530 | thông >1.000m.
P=1833 | X=0108.530-0332.170 | Y=0577.850-0589.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1833 | X=0108.530-0341.240 | Y=0595.610-0606.850 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1833 | X=0108.530-0334.950 | Y=0607.130-0618.370 | và thông ra Đường Lý Lịch 2 - Bình Chánh đoạn từ
P=1833 | X=0108.530-0333.240 | Y=0618.670-0629.910 | Đường tỉnh 761 (Đoạn tiếp theo đến cầu suối Kóp)
P=1833 | X=0108.530-0325.640 | Y=0630.190-0641.430 | đến Ranh code 62 của Hồ Trị An có hiện trạng là
P=1833 | X=0093.620-0244.280 | Y=0641.710-0653.150 | 82 đường nhựa, bê tông xi măng:
P=1833 | X=0389.420-0406.060 | Y=0643.830-0653.150 | 250
P=1833 | X=0450.410-0467.050 | Y=0643.830-0653.150 | 180
P=1833 | X=0505.390-0522.030 | Y=0643.830-0653.150 | 150
P=1833 | X=0108.530-0339.610 | Y=0659.230-0670.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1833 | X=0108.530-0321.800 | Y=0676.510-0687.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1833 | X=0108.530-0169.650 | Y=0688.030-0699.270 | thông ≤500m.
P=1833 | X=0093.620-0341.240 | Y=0705.810-0717.050 | 83 Các tuyến đường giao thông không đấu nối trực tiếp
P=1833 | X=0389.420-0406.060 | Y=0707.700-0717.020 | 200
P=1833 | X=0450.410-0467.050 | Y=0707.700-0717.020 | 140
P=1833 | X=0505.390-0522.030 | Y=0707.700-0717.020 | 120
P=1834 | X=0108.530-0334.950 | Y=0072.500-0083.740 | và thông ra Đường Lý Lịch 2 - Bình Chánh đoạn từ
P=1834 | X=0108.530-0333.220 | Y=0084.020-0095.260 | Đường tỉnh 761 (Đoạn tiếp theo đến cầu suối Kóp)
P=1834 | X=0108.530-0325.630 | Y=0095.540-0106.780 | đến Ranh code 62 của Hồ Trị An có hiện trạng là
P=1834 | X=0108.530-0244.280 | Y=0107.060-0118.300 | đường nhựa, bê tông xi măng:
P=1834 | X=0108.530-0340.080 | Y=0124.610-0135.850 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1834 | X=0108.530-0321.780 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1834 | X=0108.530-0243.350 | Y=0153.410-0164.650 | thông từ >500m đến ≤1.000m.
P=1834 | X=0108.530-0331.700 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1834 | X=0108.530-0341.240 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1834 | X=0108.530-0334.950 | Y=0200.230-0211.470 | và thông ra Đường Lý Lịch 2 - Bình Chánh đoạn từ
P=1834 | X=0108.530-0333.220 | Y=0211.750-0222.990 | Đường tỉnh 761 (Đoạn tiếp theo đến cầu suối Kóp)
P=1834 | X=0108.530-0325.640 | Y=0223.270-0234.510 | đến Ranh code 62 của Hồ Trị An có hiện trạng là
P=1834 | X=0093.620-0244.280 | Y=0234.790-0246.230 | 84 đường nhựa, bê tông xi măng:
P=1834 | X=0389.420-0406.060 | Y=0236.910-0246.230 | 180
P=1834 | X=0450.410-0467.050 | Y=0236.910-0246.230 | 130
P=1834 | X=0505.390-0522.030 | Y=0236.910-0246.230 | 110
P=1834 | X=0108.530-0321.780 | Y=0252.310-0263.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1834 | X=0108.530-0178.510 | Y=0265.710-0275.030 | thông >1.000m.
P=1834 | X=0108.530-0332.170 | Y=0281.380-0292.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1834 | X=0108.530-0163.800 | Y=0299.140-0310.380 | Đường Bình
P=1834 | X=0192.070-0322.920 | Y=0299.140-0310.380 | Đường Lý Lịch Đường ấp 4 -
P=1834 | X=0093.620-0104.740 | Y=0306.780-0316.100 | 85
P=1834 | X=0389.420-0406.060 | Y=0306.780-0316.100 | 560
P=1834 | X=0450.410-0467.050 | Y=0306.780-0316.100 | 390
P=1834 | X=0505.390-0522.030 | Y=0306.780-0316.100 | 340
P=1834 | X=0108.530-0315.550 | Y=0312.540-0321.860 | Chánh - Cây Cầy 2 - Bình Chánh Bình Chánh
P=1834 | X=0108.530-0322.760 | Y=0328.420-0339.660 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1834 | X=0108.530-0328.200 | Y=0339.700-0350.940 | Đường Bình Chánh - Cây Cầy đoạn từ Đường Lý
P=1834 | X=0108.530-0334.760 | Y=0351.220-0362.460 | Lịch 2 - Bình Chánh đến Đường ấp 4 - Bình Chánh
P=1834 | X=0108.530-0315.380 | Y=0362.740-0373.980 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1834 | X=0093.620-0104.740 | Y=0370.640-0379.960 | 86
P=1834 | X=0389.420-0406.060 | Y=0370.640-0379.960 | 280
P=1834 | X=0450.410-0467.050 | Y=0370.640-0379.960 | 200
P=1834 | X=0505.390-0522.030 | Y=0370.640-0379.960 | 170
P=1834 | X=0108.530-0339.610 | Y=0380.280-0391.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1834 | X=0108.530-0321.780 | Y=0397.800-0409.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1834 | X=0108.530-0169.650 | Y=0409.320-0420.560 | thông ≤500m.
P=1834 | X=0108.530-0322.760 | Y=0427.080-0438.320 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1834 | X=0108.530-0328.200 | Y=0438.600-0449.840 | Đường Bình Chánh - Cây Cầy đoạn từ Đường Lý
P=1834 | X=0108.530-0334.760 | Y=0450.140-0461.380 | Lịch 2 - Bình Chánh đến Đường ấp 4 - Bình Chánh
P=1834 | X=0108.530-0315.380 | Y=0461.660-0472.900 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1834 | X=0093.620-0340.120 | Y=0478.180-0490.420 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1834 | X=0389.420-0406.060 | Y=0478.180-0487.500 | 220
P=1834 | X=0450.410-0467.050 | Y=0478.180-0487.500 | 150
P=1834 | X=0505.390-0522.030 | Y=0478.180-0487.500 | 130
P=1834 | X=0108.530-0321.780 | Y=0496.460-0507.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1834 | X=0108.530-0243.380 | Y=0507.980-0519.220 | thông từ >500m đến ≤1.000m.
P=1834 | X=0108.530-0331.700 | Y=0525.500-0536.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1834 | X=0108.530-0322.760 | Y=0543.290-0554.530 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1834 | X=0108.530-0328.200 | Y=0554.810-0566.050 | Đường Bình Chánh - Cây Cầy đoạn từ Đường Lý
P=1834 | X=0108.530-0334.770 | Y=0566.330-0577.570 | Lịch 2 - Bình Chánh đến Đường ấp 4 - Bình Chánh
P=1834 | X=0108.530-0315.380 | Y=0577.850-0589.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1834 | X=0093.620-0104.740 | Y=0585.730-0595.050 | 88
P=1834 | X=0389.420-0406.060 | Y=0585.730-0595.050 | 200
P=1834 | X=0450.410-0467.050 | Y=0585.730-0595.050 | 140
P=1834 | X=0505.390-0522.030 | Y=0585.730-0595.050 | 120
P=1834 | X=0108.530-0321.780 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1834 | X=0108.530-0178.510 | Y=0608.770-0618.090 | thông >1.000m.
P=1834 | X=0108.530-0332.170 | Y=0624.430-0635.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1834 | X=0108.530-0341.240 | Y=0642.190-0653.430 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1834 | X=0108.530-0333.260 | Y=0653.710-0664.950 | và thông ra Đường Bình Chánh - Cây Cầy đoạn từ
P=1834 | X=0108.530-0327.000 | Y=0665.230-0676.470 | Đường Lý Lịch 2 - Bình Chánh đến Đường ấp 4 -
P=1834 | X=0093.620-0340.490 | Y=0675.750-0687.750 | 89 Bình Chánh có hiện trạng là đường nhựa, bê tông xi
P=1834 | X=0389.420-0406.060 | Y=0675.750-0685.070 | 250
P=1834 | X=0450.410-0467.050 | Y=0675.750-0685.070 | 180
P=1834 | X=0505.390-0522.030 | Y=0675.750-0685.070 | 150
P=1834 | X=0108.530-0136.530 | Y=0688.030-0699.270 | măng:
P=1834 | X=0108.530-0339.610 | Y=0705.570-0716.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1835 | X=0108.530-0321.780 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1835 | X=0108.530-0169.650 | Y=0090.020-0101.260 | thông ≤500m.
P=1835 | X=0108.530-0341.240 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1835 | X=0108.530-0333.260 | Y=0119.330-0130.570 | và thông ra Đường Bình Chánh - Cây Cầy đoạn từ
P=1835 | X=0108.530-0327.000 | Y=0130.850-0142.090 | Đường Lý Lịch 2 - Bình Chánh đến Đường ấp 4 -
P=1835 | X=0108.530-0340.490 | Y=0142.370-0153.610 | Bình Chánh có hiện trạng là đường nhựa, bê tông xi
P=1835 | X=0108.530-0136.530 | Y=0153.650-0164.890 | măng:
P=1835 | X=0093.620-0104.740 | Y=0164.650-0173.970 | 90
P=1835 | X=0389.420-0406.060 | Y=0164.650-0173.970 | 200
P=1835 | X=0450.410-0467.050 | Y=0164.650-0173.970 | 140
P=1835 | X=0505.390-0522.030 | Y=0164.650-0173.970 | 120
P=1835 | X=0108.530-0340.080 | Y=0171.170-0182.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1835 | X=0108.530-0323.000 | Y=0188.690-0199.930 | - Cứ bề rộng từ ≥3m đến <5m, cách đường giao
P=1835 | X=0108.530-0243.350 | Y=0200.230-0211.470 | thông từ >500m đến ≤1.000m.
P=1835 | X=0108.530-0331.700 | Y=0217.750-0228.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1835 | X=0108.530-0341.240 | Y=0235.510-0246.750 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1835 | X=0108.530-0333.260 | Y=0247.030-0258.270 | và thông ra Đường Bình Chánh - Cây Cầy đoạn từ
P=1835 | X=0108.530-0327.000 | Y=0258.550-0269.790 | Đường Lý Lịch 2 - Bình Chánh đến Đường ấp 4 -
P=1835 | X=0108.530-0340.490 | Y=0270.070-0281.310 | Bình Chánh có hiện trạng là đường nhựa, bê tông xi
P=1835 | X=0093.620-0136.530 | Y=0281.620-0293.060 | 91 măng:
P=1835 | X=0389.420-0406.060 | Y=0283.740-0293.060 | 180
P=1835 | X=0450.410-0467.050 | Y=0283.740-0293.060 | 130
P=1835 | X=0505.390-0522.030 | Y=0283.740-0293.060 | 110
P=1835 | X=0108.530-0321.780 | Y=0299.140-0310.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1835 | X=0108.530-0178.510 | Y=0312.540-0321.860 | thông >1.000m.
P=1835 | X=0108.530-0332.170 | Y=0327.940-0339.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1835 | X=0262.660-0344.600 | Y=0347.580-0356.900 | Bên phải: hết ranh
P=1835 | X=0262.660-0342.250 | Y=0357.220-0368.460 | thửa đất số 13, tờ
P=1835 | X=0262.660-0340.030 | Y=0368.760-0380.000 | bản đồ số 65, BĐ
P=1835 | X=0192.070-0247.390 | Y=0374.520-0385.760 | Đường Bình
P=1835 | X=0108.530-0191.910 | Y=0380.280-0391.520 | Đường Cây Cầy đi
P=1835 | X=0262.660-0327.360 | Y=0380.280-0391.520 | ĐC xã Phú Lý.
P=1835 | X=0093.620-0104.740 | Y=0387.920-0397.240 | 92
P=1835 | X=0192.070-0248.260 | Y=0387.920-0397.240 | Chánh - Cây
P=1835 | X=0389.420-0406.060 | Y=0387.920-0397.240 | 560
P=1835 | X=0450.410-0467.050 | Y=0387.920-0397.240 | 390
P=1835 | X=0505.390-0522.030 | Y=0387.920-0397.240 | 340
P=1835 | X=0108.530-0161.910 | Y=0393.680-0403.000 | Long Thành
P=1835 | X=0262.660-0339.560 | Y=0393.680-0403.000 | Bên trái: hết ranh
P=1835 | X=0192.070-0209.830 | Y=0399.440-0408.760 | Cầy
P=1835 | X=0262.660-0342.250 | Y=0403.320-0414.560 | thửa đất số 05, tờ
P=1835 | X=0262.660-0340.030 | Y=0414.840-0426.080 | bản đồ số 65, BĐ
P=1835 | X=0262.660-0324.550 | Y=0426.360-0437.600 | ĐC xã Phú Lý
P=1835 | X=0108.530-0322.760 | Y=0444.120-0455.360 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1835 | X=0108.530-0343.160 | Y=0455.660-0466.900 | Đường Cây Cầy đi Long Thành đoạn từ Đường Bình
P=1835 | X=0108.530-0342.680 | Y=0467.180-0478.420 | Chánh - Cây Cầy đến Bên phải: hết ranh thửa đất số
P=1835 | X=0108.530-0338.680 | Y=0478.460-0489.700 | 13, tờ bản đồ số 65, BĐ ĐC xã Phú Lý. Bên trái: hết
P=1835 | X=0108.530-0342.150 | Y=0489.980-0501.220 | ranh thửa đất số 05, tờ bản đồ số 65, BĐ ĐC xã Phú
P=1835 | X=0093.620-0104.740 | Y=0497.860-0507.180 | 93
P=1835 | X=0389.420-0406.060 | Y=0497.860-0507.180 | 280
P=1835 | X=0450.410-0467.050 | Y=0497.860-0507.180 | 200
P=1835 | X=0505.390-0522.030 | Y=0497.860-0507.180 | 170
P=1835 | X=0108.530-0328.810 | Y=0501.500-0512.740 | Lý có hiện trạng là đường nhựa, bê tông xi măng:
P=1835 | X=0108.530-0339.610 | Y=0519.020-0530.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1835 | X=0108.530-0321.780 | Y=0536.570-0547.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1835 | X=0108.530-0169.650 | Y=0548.090-0559.330 | thông ≤500m.
P=1835 | X=0108.530-0322.760 | Y=0565.850-0577.090 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1835 | X=0108.530-0343.160 | Y=0577.370-0588.610 | Đường Cây Cầy đi Long Thành đoạn từ Đường Bình
P=1835 | X=0108.530-0342.680 | Y=0588.890-0600.130 | Chánh - Cây Cầy đến Bên phải: hết ranh thửa đất số
P=1835 | X=0108.530-0338.680 | Y=0600.410-0611.650 | 13, tờ bản đồ số 65, BĐ ĐC xã Phú Lý. Bên trái: hết
P=1835 | X=0108.530-0342.150 | Y=0611.930-0623.170 | ranh thửa đất số 05, tờ bản đồ số 65, BĐ ĐC xã Phú
P=1835 | X=0093.620-0328.810 | Y=0623.470-0637.790 | 94 Lý có hiện trạng là đường nhựa, bê tông xi măng:
P=1835 | X=0389.420-0406.060 | Y=0628.470-0637.790 | 220
P=1835 | X=0450.410-0467.050 | Y=0628.470-0637.790 | 150
P=1835 | X=0505.390-0522.030 | Y=0628.470-0637.790 | 130
P=1835 | X=0108.530-0340.080 | Y=0640.750-0651.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1835 | X=0108.530-0321.780 | Y=0658.270-0669.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1835 | X=0108.530-0243.350 | Y=0669.790-0681.030 | thông từ >500m đến ≤1.000m.
P=1835 | X=0108.530-0331.700 | Y=0687.310-0698.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1835 | X=0093.620-0322.760 | Y=0705.090-0716.330 | 95 Các tuyến đường giao thông đấu nối trực tiếp ra
P=1835 | X=0389.420-0406.060 | Y=0706.980-0716.300 | 200
P=1835 | X=0450.410-0467.050 | Y=0706.980-0716.300 | 140
P=1835 | X=0505.390-0522.030 | Y=0706.980-0716.300 | 120
P=1836 | X=0108.530-0343.160 | Y=0072.500-0083.740 | Đường Cây Cầy đi Long Thành đoạn từ Đường Bình
P=1836 | X=0108.530-0342.680 | Y=0084.020-0095.260 | Chánh - Cây Cầy đến Bên phải: hết ranh thửa đất số
P=1836 | X=0108.530-0338.690 | Y=0095.540-0106.780 | 13, tờ bản đồ số 65, BĐ ĐC xã Phú Lý. Bên trái: hết
P=1836 | X=0108.530-0342.210 | Y=0107.060-0118.300 | ranh thửa đất số 05, tờ bản đồ số 65, BĐ ĐC xã Phú
P=1836 | X=0108.530-0328.810 | Y=0118.610-0129.850 | Lý có hiện trạng là đường nhựa, bê tông xi măng;
P=1836 | X=0108.530-0321.780 | Y=0136.130-0147.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
