TABLE=017 | AREA=Xã Đại Phước | SECTION=non-agricultural | SEGMENTS=1
P=0576 | X=0235.540-0266.820 | Y=0538.010-0549.250 | Vương
P=0576 | X=0322.200-0340.040 | Y=0539.890-0549.210 | Kèo
P=0576 | X=0106.850-0185.810 | Y=0543.770-0555.010 | Phước Khánh cũ)
P=0576 | X=0106.850-0406.280 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thái
P=0576 | X=0106.850-0390.940 | Y=0573.050-0584.290 | Bường (đường vào UBND xã Phước Khánh cũ) đoạn từ Đường
P=0576 | X=0106.850-0401.030 | Y=0584.570-0595.810 | Hùng Vương đến Giáp đường đê Ông Kèo có hiện trạng là đường
P=0576 | X=0090.020-0209.960 | Y=0596.090-0607.530 | 170 nhựa, bê tông xi măng:
P=0576 | X=0424.970-0450.020 | Y=0598.210-0607.530 | 3.200
P=0576 | X=0461.210-0486.260 | Y=0598.210-0607.530 | 2.200
P=0576 | X=0497.230-0522.280 | Y=0598.210-0607.530 | 1.900
P=0576 | X=0106.850-0337.930 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0576 | X=0106.850-0384.020 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0576 | X=0106.850-0406.280 | Y=0648.910-0660.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thái
P=0576 | X=0106.850-0390.940 | Y=0660.430-0671.670 | Bường (đường vào UBND xã Phước Khánh cũ) đoạn từ Đường
P=0576 | X=0090.020-0401.030 | Y=0671.950-0686.030 | 171 Hùng Vương đến Giáp đường đê Ông Kèo có hiện trạng là đường
P=0576 | X=0424.970-0450.020 | Y=0676.710-0686.030 | 2.600
P=0576 | X=0461.210-0486.260 | Y=0676.710-0686.030 | 1.800
P=0576 | X=0497.230-0522.280 | Y=0676.710-0686.030 | 1.600
P=0576 | X=0106.850-0209.960 | Y=0683.470-0694.710 | nhựa, bê tông xi măng:
P=0576 | X=0106.850-0338.400 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0577 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0577 | X=0106.850-0148.530 | Y=0090.020-0101.260 | ≤1.000m.
P=0577 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0577 | X=0106.850-0406.280 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thái
P=0577 | X=0106.850-0390.940 | Y=0136.850-0148.090 | Bường (đường vào UBND xã Phước Khánh cũ) đoạn từ Đường
P=0577 | X=0106.850-0401.030 | Y=0148.370-0159.610 | Hùng Vương đến Giáp đường đê Ông Kèo có hiện trạng là đường
P=0577 | X=0090.020-0209.960 | Y=0159.650-0171.330 | 172 nhựa, bê tông xi măng:
P=0577 | X=0424.970-0450.020 | Y=0162.010-0171.330 | 2.000
P=0577 | X=0461.210-0486.260 | Y=0162.010-0171.330 | 1.400
P=0577 | X=0497.230-0522.280 | Y=0162.010-0171.330 | 1.200
P=0577 | X=0106.850-0392.640 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0577 | X=0106.850-0330.490 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0577 | X=0106.850-0392.140 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0577 | X=0106.850-0404.510 | Y=0223.990-0235.230 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=0577 | X=0106.850-0403.900 | Y=0235.510-0246.750 | đoạn từ Đường Hùng Vương đến Giáp đường đê Ông Kèo có hiện
P=0577 | X=0090.020-0278.630 | Y=0247.030-0258.470 | 173 trạng là đường nhựa, bê tông xi măng:
P=0577 | X=0424.970-0450.020 | Y=0249.150-0258.470 | 2.900
P=0577 | X=0461.210-0486.260 | Y=0249.150-0258.470 | 2.000
P=0577 | X=0497.230-0522.280 | Y=0249.150-0258.470 | 1.700
P=0577 | X=0106.850-0337.930 | Y=0264.550-0275.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0577 | X=0106.850-0384.050 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0577 | X=0106.850-0392.110 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0577 | X=0106.850-0404.510 | Y=0311.380-0322.620 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=0577 | X=0106.850-0403.900 | Y=0322.900-0334.140 | đoạn từ Đường Hùng Vương đến Giáp đường đê Ông Kèo có hiện
P=0577 | X=0106.850-0278.630 | Y=0334.420-0345.660 | trạng là đường nhựa, bê tông xi măng:
P=0577 | X=0090.020-0338.400 | Y=0350.940-0362.940 | 174 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0577 | X=0424.970-0450.020 | Y=0350.940-0360.260 | 2.300
P=0577 | X=0461.210-0486.260 | Y=0350.940-0360.260 | 1.600
P=0577 | X=0497.230-0522.280 | Y=0350.940-0360.260 | 1.400
P=0577 | X=0106.850-0413.270 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0577 | X=0106.850-0148.530 | Y=0380.760-0392.000 | ≤1.000m.
P=0577 | X=0106.850-0330.020 | Y=0398.280-0409.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0577 | X=0106.850-0392.110 | Y=0416.040-0427.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0577 | X=0106.850-0404.510 | Y=0427.560-0438.800 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=0577 | X=0106.850-0403.900 | Y=0439.080-0450.320 | đoạn từ Đường Hùng Vương đến Giáp đường đê Ông Kèo có hiện
P=0577 | X=0090.020-0278.630 | Y=0450.620-0462.060 | 175 trạng là đường nhựa, bê tông xi măng:
P=0577 | X=0424.970-0450.020 | Y=0452.740-0462.060 | 1.800
P=0577 | X=0461.210-0486.260 | Y=0452.740-0462.060 | 1.300
P=0577 | X=0497.230-0522.280 | Y=0452.740-0462.060 | 1.100
P=0577 | X=0106.850-0392.640 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0577 | X=0106.850-0330.520 | Y=0485.660-0496.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0577 | X=0106.850-0223.600 | Y=0503.420-0514.660 | Đường Phạm Thái Bường
P=0577 | X=0235.540-0312.910 | Y=0509.180-0520.420 | Ngã tư đường đê
P=0577 | X=0090.020-0203.890 | Y=0514.940-0526.180 | 176 (đường vào UBND xã
P=0577 | X=0322.200-0404.580 | Y=0514.940-0526.180 | Sông Vàm Mương
P=0577 | X=0424.970-0450.020 | Y=0516.820-0526.140 | 8.500
P=0577 | X=0461.210-0486.260 | Y=0516.820-0526.140 | 6.000
P=0577 | X=0497.230-0522.280 | Y=0516.820-0526.140 | 5.100
P=0577 | X=0235.540-0275.210 | Y=0522.340-0531.660 | Ông Kèo
P=0577 | X=0106.850-0185.810 | Y=0526.220-0537.460 | Phước Khánh cũ)
P=0577 | X=0106.850-0406.280 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thái
P=0577 | X=0106.850-0389.920 | Y=0555.530-0566.770 | Bường (đường vào UBND xã Phước Khánh cũ) đoạn từ Ngã tư
P=0577 | X=0106.850-0401.500 | Y=0567.050-0578.290 | đường đê Ông Kèo đến Sông Vàm Mương có hiện trạng là đường
P=0577 | X=0090.020-0209.960 | Y=0578.570-0590.010 | 177 nhựa, bê tông xi măng:
P=0577 | X=0424.970-0450.020 | Y=0580.690-0590.010 | 2.900
P=0577 | X=0461.210-0486.260 | Y=0580.690-0590.010 | 2.000
P=0577 | X=0497.230-0522.280 | Y=0580.690-0590.010 | 1.700
P=0577 | X=0106.850-0337.930 | Y=0596.090-0607.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0577 | X=0106.850-0384.020 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0577 | X=0106.850-0406.280 | Y=0631.390-0642.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thái
P=0577 | X=0106.850-0389.920 | Y=0642.910-0654.150 | Bường (đường vào UBND xã Phước Khánh cũ) đoạn từ Ngã tư
P=0577 | X=0106.850-0401.500 | Y=0654.430-0665.670 | đường đê Ông Kèo đến Sông Vàm Mương có hiện trạng là đường
P=0577 | X=0090.020-0209.960 | Y=0665.950-0677.390 | 178 nhựa, bê tông xi măng:
P=0577 | X=0424.970-0450.020 | Y=0668.070-0677.390 | 2.400
P=0577 | X=0461.210-0486.260 | Y=0668.070-0677.390 | 1.700
P=0577 | X=0497.230-0522.280 | Y=0668.070-0677.390 | 1.400
P=0577 | X=0106.850-0338.400 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0577 | X=0106.850-0413.270 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0578 | X=0106.850-0148.530 | Y=0072.500-0083.740 | ≤1.000m.
P=0578 | X=0106.850-0330.020 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0578 | X=0106.850-0406.280 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thái
P=0578 | X=0106.850-0389.920 | Y=0119.330-0130.570 | Bường (đường vào UBND xã Phước Khánh cũ) đoạn từ Ngã tư
P=0578 | X=0106.850-0401.500 | Y=0130.850-0142.090 | đường đê Ông Kèo đến Sông Vàm Mương có hiện trạng là đường
P=0578 | X=0090.020-0209.960 | Y=0142.370-0153.810 | 179 nhựa, bê tông xi măng:
P=0578 | X=0424.970-0450.020 | Y=0144.490-0153.810 | 1.800
P=0578 | X=0461.210-0486.260 | Y=0144.490-0153.810 | 1.300
P=0578 | X=0497.230-0522.280 | Y=0144.490-0153.810 | 1.100
P=0578 | X=0106.850-0392.640 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0578 | X=0106.850-0330.490 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0578 | X=0106.850-0392.110 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0578 | X=0106.850-0404.510 | Y=0206.470-0217.710 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=0578 | X=0106.850-0403.190 | Y=0217.990-0229.230 | đoạn từ Ngã tư đường đê Ông Kèo đến Sông Vàm Mương có hiện
P=0578 | X=0090.020-0278.630 | Y=0229.510-0240.950 | 180 trạng là đường nhựa, bê tông xi măng:
P=0578 | X=0424.970-0450.020 | Y=0231.630-0240.950 | 2.600
P=0578 | X=0461.210-0486.250 | Y=0231.630-0240.950 | 1.800
P=0578 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 1.600
P=0578 | X=0106.850-0337.930 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0578 | X=0106.850-0384.020 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0578 | X=0106.850-0392.110 | Y=0282.340-0293.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0578 | X=0106.850-0404.510 | Y=0293.860-0305.100 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=0578 | X=0106.850-0403.190 | Y=0305.380-0316.620 | đoạn từ Ngã tư đường đê Ông Kèo đến Sông Vàm Mương có hiện
P=0578 | X=0106.850-0278.630 | Y=0316.900-0328.140 | trạng là đường nhựa, bê tông xi măng:
P=0578 | X=0090.020-0338.400 | Y=0333.420-0345.660 | 181 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0578 | X=0424.970-0450.020 | Y=0333.420-0342.740 | 2.200
P=0578 | X=0461.210-0486.260 | Y=0333.420-0342.740 | 1.500
P=0578 | X=0497.230-0522.280 | Y=0333.420-0342.740 | 1.300
P=0578 | X=0106.850-0413.270 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0578 | X=0106.850-0148.530 | Y=0363.220-0374.460 | ≤1.000m.
P=0578 | X=0106.850-0330.020 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0578 | X=0106.850-0392.110 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0578 | X=0106.850-0404.510 | Y=0410.040-0421.280 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=0578 | X=0106.850-0403.190 | Y=0421.560-0432.800 | đoạn từ Ngã tư đường đê Ông Kèo đến Sông Vàm Mương có hiện
P=0578 | X=0090.020-0278.630 | Y=0433.080-0444.520 | 182 trạng là đường nhựa, bê tông xi măng:
P=0578 | X=0424.970-0450.020 | Y=0435.200-0444.520 | 1.600
P=0578 | X=0461.210-0486.260 | Y=0435.200-0444.520 | 1.100
P=0578 | X=0505.390-0522.030 | Y=0435.200-0444.520 | 960
P=0578 | X=0106.850-0392.640 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0578 | X=0106.850-0330.490 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0578 | X=0106.850-0224.220 | Y=0485.900-0497.140 | Đường vào Trường THCS
P=0578 | X=0235.540-0415.580 | Y=0485.900-0497.140 | Đường Phạm Thái Hết Trường Tiểu học
P=0578 | X=0090.020-0106.660 | Y=0493.540-0502.860 | 183
P=0578 | X=0424.970-0450.020 | Y=0493.540-0502.860 | 5.800
P=0578 | X=0461.210-0486.260 | Y=0493.540-0502.860 | 4.100
P=0578 | X=0497.230-0522.280 | Y=0493.540-0502.860 | 3.500
P=0578 | X=0106.850-0169.100 | Y=0497.420-0508.660 | Phước Khánh
P=0578 | X=0235.540-0266.820 | Y=0497.420-0508.660 | Bường
P=0578 | X=0322.200-0384.450 | Y=0497.420-0508.660 | Phước Khánh
P=0578 | X=0106.850-0410.870 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào Trường
P=0578 | X=0106.850-0393.430 | Y=0526.460-0537.700 | THCS Phước Khánh đoạn từ Đường Phạm Thái Bường đến Hết
P=0578 | X=0106.850-0416.130 | Y=0538.010-0549.250 | Trường Tiểu học Phước Khánh có hiện trạng là đường nhựa, bê tông
P=0578 | X=0090.020-0144.680 | Y=0549.530-0560.970 | 184 xi măng:
P=0578 | X=0424.970-0450.020 | Y=0551.650-0560.970 | 2.600
P=0578 | X=0461.210-0486.260 | Y=0551.650-0560.970 | 1.800
P=0578 | X=0497.230-0522.280 | Y=0551.650-0560.970 | 1.600
P=0578 | X=0106.850-0337.930 | Y=0567.050-0578.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0578 | X=0106.850-0384.020 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0578 | X=0106.850-0410.870 | Y=0602.330-0613.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào Trường
P=0578 | X=0106.850-0393.430 | Y=0613.850-0625.090 | THCS Phước Khánh đoạn từ Đường Phạm Thái Bường đến Hết
P=0578 | X=0106.850-0416.130 | Y=0625.390-0636.630 | Trường Tiểu học Phước Khánh có hiện trạng là đường nhựa, bê tông
P=0578 | X=0106.850-0144.680 | Y=0636.910-0648.150 | xi măng:
P=0578 | X=0090.020-0338.400 | Y=0653.430-0665.670 | 185 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0578 | X=0424.970-0450.020 | Y=0653.430-0662.750 | 2.000
P=0578 | X=0461.210-0486.260 | Y=0653.430-0662.750 | 1.400
P=0578 | X=0497.230-0522.280 | Y=0653.430-0662.750 | 1.200
P=0578 | X=0106.850-0413.270 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0578 | X=0106.850-0148.530 | Y=0683.470-0694.710 | ≤1.000m.
P=0578 | X=0106.850-0330.020 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0579 | X=0106.850-0410.870 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào Trường
P=0579 | X=0106.850-0393.430 | Y=0090.020-0101.260 | THCS Phước Khánh đoạn từ Đường Phạm Thái Bường đến Hết
P=0579 | X=0106.850-0416.130 | Y=0101.540-0112.780 | Trường Tiểu học Phước Khánh có hiện trạng là đường nhựa, bê tông
P=0579 | X=0090.020-0144.680 | Y=0113.060-0124.500 | 186 xi măng:
P=0579 | X=0424.970-0450.020 | Y=0115.180-0124.500 | 1.500
P=0579 | X=0461.210-0486.260 | Y=0115.180-0124.500 | 1.100
P=0579 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 900
P=0579 | X=0106.850-0392.640 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0579 | X=0106.850-0330.490 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0579 | X=0106.850-0392.110 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0579 | X=0106.850-0411.800 | Y=0177.170-0188.410 | Đường vào Trường THCS Phước Khánh đoạn từ Đường Phạm Thái
P=0579 | X=0106.850-0389.970 | Y=0188.690-0199.930 | Bường đến Hết Trường Tiểu học Phước Khánh có hiện trạng là
P=0579 | X=0090.020-0242.600 | Y=0200.230-0211.670 | 187 đường nhựa, bê tông xi măng:
P=0579 | X=0424.970-0450.020 | Y=0202.350-0211.670 | 2.300
P=0579 | X=0461.210-0486.260 | Y=0202.350-0211.670 | 1.600
P=0579 | X=0497.230-0522.280 | Y=0202.350-0211.670 | 1.400
P=0579 | X=0106.850-0337.930 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0579 | X=0106.850-0384.020 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0579 | X=0106.850-0392.140 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0579 | X=0106.850-0411.800 | Y=0264.550-0275.790 | Đường vào Trường THCS Phước Khánh đoạn từ Đường Phạm Thái
P=0579 | X=0106.850-0389.970 | Y=0276.070-0287.310 | Bường đến Hết Trường Tiểu học Phước Khánh có hiện trạng là
P=0579 | X=0106.850-0242.600 | Y=0287.620-0298.860 | đường nhựa, bê tông xi măng:
P=0579 | X=0090.020-0338.400 | Y=0304.140-0316.380 | 188 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0579 | X=0424.970-0450.020 | Y=0304.140-0313.460 | 1.800
P=0579 | X=0461.210-0486.260 | Y=0304.140-0313.460 | 1.300
P=0579 | X=0497.230-0522.280 | Y=0304.140-0313.460 | 1.100
P=0579 | X=0106.850-0413.270 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0579 | X=0106.850-0148.530 | Y=0333.940-0345.180 | ≤1.000m.
P=0579 | X=0106.850-0330.020 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0579 | X=0106.850-0392.110 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0579 | X=0106.850-0411.800 | Y=0380.760-0392.000 | Đường vào Trường THCS Phước Khánh đoạn từ Đường Phạm Thái
P=0579 | X=0106.850-0389.970 | Y=0392.280-0403.520 | Bường đến Hết Trường Tiểu học Phước Khánh có hiện trạng là
P=0579 | X=0090.020-0242.600 | Y=0403.800-0415.240 | 189 đường nhựa, bê tông xi măng:
P=0579 | X=0424.970-0450.020 | Y=0405.920-0415.240 | 1.400
P=0579 | X=0469.370-0486.010 | Y=0405.920-0415.240 | 980
P=0579 | X=0505.390-0522.030 | Y=0405.920-0415.240 | 840
P=0579 | X=0106.850-0392.640 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0579 | X=0106.850-0330.490 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0579 | X=0322.200-0414.140 | Y=0456.620-0467.860 | Ranh Bến đò Phước
P=0579 | X=0106.850-0224.230 | Y=0468.140-0479.380 | Đường vào bến đò Phước
P=0579 | X=0235.540-0407.980 | Y=0468.140-0479.380 | Đường Phạm Thái Khánh (thửa đất số
P=0579 | X=0090.020-0106.660 | Y=0475.780-0485.100 | 190
P=0579 | X=0424.970-0450.020 | Y=0475.780-0485.100 | 6.100
P=0579 | X=0461.210-0486.260 | Y=0475.780-0485.100 | 4.300
P=0579 | X=0497.230-0522.280 | Y=0475.780-0485.100 | 3.700
P=0579 | X=0235.540-0266.820 | Y=0479.660-0490.900 | Bường
P=0579 | X=0322.200-0398.390 | Y=0479.660-0490.900 | 167, tờ BĐĐC số
P=0579 | X=0106.850-0135.740 | Y=0481.540-0490.860 | Khánh
P=0579 | X=0322.200-0409.580 | Y=0491.180-0502.420 | 194, xã Đại Phước)
P=0579 | X=0106.850-0407.510 | Y=0508.940-0520.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào bến đò
P=0579 | X=0106.850-0406.310 | Y=0520.220-0531.460 | Phước Khánh đoạn từ Đường Phạm Thái Bường đến Ranh Bến đò
P=0579 | X=0106.850-0408.220 | Y=0531.740-0542.980 | Phước Khánh (thửa đất số 167, tờ BĐĐC số 194, xã Đại Phước) có
P=0579 | X=0090.020-0300.460 | Y=0543.290-0554.730 | 191 hiện trạng là đường nhựa, bê tông xi măng:
P=0579 | X=0424.970-0450.020 | Y=0545.410-0554.730 | 2.600
P=0579 | X=0461.210-0486.260 | Y=0545.410-0554.730 | 1.800
P=0579 | X=0497.230-0522.280 | Y=0545.410-0554.730 | 1.600
P=0579 | X=0106.850-0337.930 | Y=0560.810-0572.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0579 | X=0106.850-0384.020 | Y=0578.330-0589.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0579 | X=0106.850-0407.510 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào bến đò
P=0579 | X=0106.850-0406.310 | Y=0607.610-0618.850 | Phước Khánh đoạn từ Đường Phạm Thái Bường đến Ranh Bến đò
P=0579 | X=0106.850-0408.220 | Y=0619.150-0630.390 | Phước Khánh (thửa đất số 167, tờ BĐĐC số 194, xã Đại Phước) có
P=0579 | X=0106.850-0300.460 | Y=0630.670-0641.910 | hiện trạng là đường nhựa, bê tông xi măng:
P=0579 | X=0090.020-0338.400 | Y=0647.190-0659.430 | 192 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0579 | X=0424.970-0450.020 | Y=0647.190-0656.510 | 2.000
P=0579 | X=0461.210-0486.260 | Y=0647.190-0656.510 | 1.400
P=0579 | X=0497.230-0522.280 | Y=0647.190-0656.510 | 1.200
P=0579 | X=0106.850-0413.270 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0579 | X=0106.850-0148.530 | Y=0677.230-0688.470 | ≤1.000m.
P=0579 | X=0106.850-0330.020 | Y=0694.510-0705.750 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0580 | X=0106.850-0407.510 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào bến đò
P=0580 | X=0106.850-0406.310 | Y=0090.020-0101.260 | Phước Khánh đoạn từ Đường Phạm Thái Bường đến Ranh Bến đò
P=0580 | X=0106.850-0408.230 | Y=0101.540-0112.780 | Phước Khánh (thửa đất số 167, tờ BĐĐC số 194, xã Đại Phước) có
P=0580 | X=0090.020-0300.460 | Y=0113.060-0124.500 | 193 hiện trạng là đường nhựa, bê tông xi măng:
P=0580 | X=0424.970-0450.020 | Y=0115.180-0124.500 | 1.500
P=0580 | X=0461.210-0486.260 | Y=0115.180-0124.500 | 1.100
P=0580 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 900
P=0580 | X=0106.850-0392.640 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0580 | X=0106.850-0330.490 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0580 | X=0106.850-0392.110 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0580 | X=0106.850-0412.550 | Y=0177.170-0188.410 | Đường vào bến đò Phước Khánh đoạn từ Đường Phạm Thái Bường
P=0580 | X=0106.850-0407.350 | Y=0188.690-0199.930 | đến Ranh Bến đò Phước Khánh (thửa đất số 167, tờ BĐĐC số 194,
P=0580 | X=0090.020-0381.400 | Y=0200.230-0211.670 | 194 xã Đại Phước) có hiện trạng là đường nhựa, bê tông xi măng:
P=0580 | X=0424.970-0450.020 | Y=0202.350-0211.670 | 2.300
P=0580 | X=0461.210-0486.260 | Y=0202.350-0211.670 | 1.600
P=0580 | X=0497.230-0522.280 | Y=0202.350-0211.670 | 1.400
P=0580 | X=0106.850-0337.930 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0580 | X=0106.850-0384.060 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0580 | X=0106.850-0392.110 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0580 | X=0106.850-0412.550 | Y=0264.550-0275.790 | Đường vào bến đò Phước Khánh đoạn từ Đường Phạm Thái Bường
P=0580 | X=0106.850-0407.350 | Y=0276.070-0287.310 | đến Ranh Bến đò Phước Khánh (thửa đất số 167, tờ BĐĐC số 194,
P=0580 | X=0106.850-0381.400 | Y=0287.620-0298.860 | xã Đại Phước) có hiện trạng là đường nhựa, bê tông xi măng:
P=0580 | X=0090.020-0338.400 | Y=0304.140-0316.380 | 195 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0580 | X=0424.970-0450.020 | Y=0304.140-0313.460 | 1.800
P=0580 | X=0461.210-0486.260 | Y=0304.140-0313.460 | 1.300
P=0580 | X=0497.230-0522.280 | Y=0304.140-0313.460 | 1.100
P=0580 | X=0106.850-0413.270 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0580 | X=0106.850-0148.530 | Y=0333.940-0345.180 | ≤1.000m.
P=0580 | X=0106.850-0330.020 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0580 | X=0106.850-0392.110 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0580 | X=0106.850-0412.550 | Y=0380.760-0392.000 | Đường vào bến đò Phước Khánh đoạn từ Đường Phạm Thái Bường
P=0580 | X=0106.850-0407.350 | Y=0392.280-0403.520 | đến Ranh Bến đò Phước Khánh (thửa đất số 167, tờ BĐĐC số 194,
