TABLE=032 | AREA=Xã Xuân Đường | SECTION=agricultural | SEGMENTS=1
P=1085 | X=0119.810-0380.140 | Y=0084.020-0095.260 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=1085 | X=0119.810-0179.970 | Y=0095.540-0106.780 | tông xi măng:
P=1085 | X=0119.810-0351.360 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1085 | X=0119.810-0373.120 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1085 | X=0119.810-0214.780 | Y=0142.130-0153.370 | >500m đến ≤1.000m.
P=1085 | X=0119.810-0342.980 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1085 | X=0119.810-0389.270 | Y=0177.170-0188.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1085 | X=0119.810-0388.790 | Y=0188.690-0199.930 | Mên đoạn từ Đường Bàu Cạn - Suối Trầu - Cẩm Đường đến
P=1085 | X=0119.810-0380.140 | Y=0200.230-0211.470 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=1085 | X=0119.810-0179.970 | Y=0211.750-0222.990 | tông xi măng:
P=1085 | X=0099.170-0110.290 | Y=0219.630-0228.950 | 81
P=1085 | X=0442.010-0458.650 | Y=0219.630-0228.950 | 230
P=1085 | X=0505.390-0522.030 | Y=0219.630-0228.950 | 230
P=1085 | X=0119.810-0360.920 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1085 | X=0119.810-0161.950 | Y=0242.670-0251.990 | >1.000m.
P=1085 | X=0119.810-0343.450 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1085 | X=0119.810-0393.320 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1085 | X=0119.810-0378.140 | Y=0287.620-0298.860 | ra Đường Cầu Mên đoạn từ Đường Bàu Cạn - Suối Trầu -
P=1085 | X=0119.810-0382.290 | Y=0299.140-0310.380 | Cẩm Đường đến Giáp ranh xã Long Thành có hiện trạng là
P=1085 | X=0119.810-0255.580 | Y=0310.660-0321.900 | đường nhựa, bê tông xi măng:
P=1085 | X=0099.170-0110.290 | Y=0318.540-0327.860 | 82
P=1085 | X=0442.010-0458.650 | Y=0318.540-0327.860 | 450
P=1085 | X=0505.390-0522.030 | Y=0318.540-0327.860 | 380
P=1085 | X=0119.810-0350.890 | Y=0327.940-0339.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1085 | X=0119.810-0360.920 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1085 | X=0119.810-0153.330 | Y=0356.980-0368.220 | ≤500m.
P=1085 | X=0119.810-0393.320 | Y=0374.760-0386.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1085 | X=0119.810-0378.140 | Y=0386.280-0397.520 | ra Đường Cầu Mên đoạn từ Đường Bàu Cạn - Suối Trầu -
P=1085 | X=0119.810-0382.290 | Y=0397.800-0409.040 | Cẩm Đường đến Giáp ranh xã Long Thành có hiện trạng là
P=1085 | X=0119.810-0255.580 | Y=0409.320-0420.560 | đường nhựa, bê tông xi măng:
P=1085 | X=0099.170-0351.360 | Y=0425.840-0438.080 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1085 | X=0442.010-0458.650 | Y=0425.840-0435.160 | 350
P=1085 | X=0505.390-0522.030 | Y=0425.840-0435.160 | 310
P=1085 | X=0119.810-0373.120 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1085 | X=0119.810-0214.780 | Y=0455.900-0467.140 | >500m đến ≤1.000m.
P=1085 | X=0119.810-0342.980 | Y=0473.420-0484.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1085 | X=0119.810-0393.320 | Y=0491.180-0502.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1085 | X=0119.810-0378.140 | Y=0502.460-0513.700 | ra Đường Cầu Mên đoạn từ Đường Bàu Cạn - Suối Trầu -
P=1085 | X=0119.810-0382.290 | Y=0513.980-0525.220 | Cẩm Đường đến Giáp ranh xã Long Thành có hiện trạng là
P=1085 | X=0119.810-0255.580 | Y=0525.500-0536.740 | đường nhựa, bê tông xi măng:
P=1085 | X=0099.170-0110.290 | Y=0533.380-0542.700 | 84
P=1085 | X=0442.010-0458.650 | Y=0533.380-0542.700 | 230
P=1085 | X=0505.390-0522.030 | Y=0533.380-0542.700 | 230
P=1085 | X=0119.810-0360.920 | Y=0543.050-0554.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1085 | X=0119.810-0161.950 | Y=0556.450-0565.770 | >1.000m.
P=1085 | X=0119.810-0343.450 | Y=0572.090-0583.330 | - Có bề rộng <3m, cách đường giao thông >200m.
